codi,comarca,total_homes,total_dones,total
01,alt camp,1133,1462,2594
02,alt emporda,3437,4210,7647
03,alt penedes,2240,3117,5357
04,alt urgell,378,421,799
05,alta ribagorca,49,43,91
06,anoia,2997,4592,7588
07,bages,4188,5314,9501
08,baix camp,4948,6654,11602
09,baix ebre,1935,2362,4297
10,baix emporda,2937,3490,6426
11,baix llobregat,16789,23585,40373
12,baix penedes,3212,4447,7658
13,barcelones,49322,60517,109838
14,bergueda,793,1130,1923
15,cerdanya,197,259,455
16,conca de barbera,360,439,799
17,garraf,3418,4855,8272
18,garrigues,351,400,751
19,garrotxa,934,1120,2054
20,girones,4312,5030,9342
21,maresme,10675,14414,25089
22,montsia,1652,2207,3859
23,noguera,819,1075,1894
24,osona,3138,4499,7637
25,pallars jussa,263,279,542
26,pallars sobira,103,115,217
27,pla d'urgell,642,876,1518
28,pla de l'estany,496,593,1089
29,priorat,175,229,403
30,ribera d'ebre,527,613,1139
31,ripolles,410,520,929
32,segarra,353,443,795
33,segria,5059,6341,11400
34,selva,3873,5072,8945
35,solsones,212,244,456
36,tarragones,6220,8193,14412
37,terra alta,166,208,374
38,urgell,738,1046,1783
39,aran,146,155,300
40,valles occidental,21024,29561,50585
41,valles oriental,8957,12830,21786
42,moianes,198,296,493
