codi,comarca,16-24,25+,total
01,alt camp,200,2370,2570
02,alt emporda,588,6581,7169
03,alt penedes,325,4953,5277
04,alt urgell,59,711,770
05,alta ribagorca,6,81,87
06,anoia,605,6604,7209
07,bages,642,8858,9499
08,baix camp,931,10302,11232
09,baix ebre,295,3825,4120
10,baix emporda,472,5710,6182
11,baix llobregat,3011,35735,38745
12,baix penedes,635,6712,7346
13,barcelones,6912,99559,106470
14,bergueda,115,1703,1818
15,cerdanya,29,424,452
16,conca de barbera,48,690,738
17,garraf,516,7652,8167
18,garrigues,39,652,691
19,garrotxa,163,1907,2069
20,girones,801,8297,9098
21,maresme,1536,22756,24291
22,montsia,258,3297,3555
23,noguera,157,1634,1790
24,osona,583,6781,7364
25,pallars jussa,57,516,572
26,pallars sobira,17,201,217
27,pla d'urgell,99,1303,1402
28,pla de l'estany,91,953,1044
29,priorat,20,359,379
30,ribera d'ebre,74,985,1059
31,ripolles,56,803,858
32,segarra,64,670,734
33,segria,864,9979,10843
34,selva,734,7996,8730
35,solsones,35,417,451
36,tarragones,1204,12781,13985
37,terra alta,25,344,368
38,urgell,123,1597,1720
39,aran,24,253,276
40,valles occidental,3754,45722,49476
41,valles oriental,1629,19835,21463
42,moianes,33,465,497
