codi,comarca,analfabetisme_total,educacio primaria incompleta_total,educacio primaria_total,educacio secundaria_total,formacio professional_total,graus universitaris_total,masters universitaris_total,doctorat universitari_total,total
01,alt camp,115,1545,4525,21705,3855,5170,580,185,37680
02,alt emporda,375,6900,15795,71045,6685,16335,1555,590,119280
03,alt penedes,205,2385,12235,49795,8580,14695,1480,555,89930
04,alt urgell,45,795,2085,9800,1470,2880,355,115,17545
05,alta ribagorca,10,145,390,1725,285,685,60,25,3325
06,anoia,365,3425,12295,58805,9890,14140,1415,435,100770
07,bages,415,5035,20170,84000,13160,24600,2545,805,150730
08,baix camp,1305,6775,18080,89320,14275,25290,3230,1060,159335
09,baix ebre,165,3565,9685,38595,4985,8355,1210,270,66830
10,baix emporda,630,4200,14310,65535,7855,18625,1785,655,113595
11,baix llobregat,2790,24755,80125,369285,74810,123100,11775,4655,691295
12,baix penedes,200,2485,11265,52900,8005,12090,985,410,88340
13,barcelones,6635,81805,218385,918120,159480,505855,62215,31275,1983770
14,bergueda,80,720,5020,18995,3440,5365,655,135,34410
15,cerdanya,15,380,1570,9105,1250,3035,330,105,15790
16,conca de barbera,20,610,2250,9895,1605,2500,285,75,17240
17,garraf,405,2900,14155,66830,10545,29480,2555,1230,128100
18,garrigues,25,625,2800,9280,1455,2100,240,65,16590
19,garrotxa,90,2055,6900,26780,4120,8110,840,285,49180
20,girones,785,6065,18030,85560,11470,31395,4375,1865,159545
21,maresme,1550,15145,40035,203045,33730,76795,7485,3130,380915
22,montsia,265,2420,8370,33925,5170,6740,855,195,57940
23,noguera,230,1495,4725,19025,2605,4500,510,125,33215
24,osona,385,4580,17440,75465,10970,22445,2595,840,134720
25,pallars jussa,20,505,1800,5735,1270,1980,245,70,11625
26,pallars sobira,0,135,690,3055,725,1285,145,45,6080
27,pla d'urgell,130,1190,4800,17840,2895,4015,440,115,31425
28,pla de l'estany,190,1110,3105,14155,2250,4835,810,260,26715
29,priorat,20,190,1030,4695,795,1260,125,55,8170
30,ribera d'ebre,55,720,3155,10625,1985,2470,290,65,19365
31,ripolles,80,985,3125,11860,2010,3305,340,115,21820
32,segarra,25,1130,2810,11315,1385,2480,255,65,19465
33,segria,755,7960,21015,97120,14750,30385,3915,1555,177455
34,selva,710,5630,17545,89530,10550,18950,1750,645,145310
35,solsones,30,730,1420,5990,1235,1795,215,60,11475
36,tarragones,955,7280,24470,117290,21195,37750,5375,2220,216535
37,terra alta,35,540,2000,5795,590,1035,150,25,10170
38,urgell,85,990,4680,17565,2565,4425,460,130,30900
39,aran,15,140,705,5100,865,1715,145,40,8725
40,valles occidental,3335,22925,86750,409375,73765,147370,16410,7870,767800
41,valles oriental,990,11380,39225,190945,34590,57120,5690,2040,341980
42,moianes,5,180,1460,6330,1005,2250,225,85,11540
