codi,comarca,espanyola,resta_ue,resta_d'europa,africa,america_del_nord_i_central,america_del_sud,asia_i_oceania,total,espanyola_pct,espanyola_ratio,resta_ue_pct,resta_ue_ratio,resta_d'europa_pct,resta_d'europa_ratio,africa_pct,africa_ratio,america_del_nord_i_central_pct,america_del_nord_i_central_ratio,america_del_sud_pct,america_del_sud_ratio,asia_i_oceania_pct,asia_i_oceania_ratio
01,alt camp,38847,1210,482,2978,226,666,286,44695,86.92,0.8691576238952903,2.71,0.027072379460789796,1.08,0.010784204049669985,6.66,0.06662937688779505,0.51,0.005056494014990491,1.49,0.014900995637095873,0.64,0.006398926054368498
02,alt emporda,107462,11632,2100,13631,2441,4235,1123,142624,75.35,0.7534636526811757,8.16,0.08155710118914068,1.47,0.014724029616333857,9.56,0.09557297509535562,1.71,0.0171149315683195,2.97,0.02969345972627328,0.79,0.007873850123401391
03,alt penedes,97269,1906,652,6362,681,1935,801,109606,88.74,0.887442293305111,1.74,0.01738955896575005,0.59,0.005948579457328978,5.8,0.058044267649581226,0.62,0.006213163512946372,1.77,0.017654143021367443,0.73,0.007307994087914895
04,alt urgell,17692,1004,217,400,173,623,122,20231,87.45,0.8744995304236073,4.96,0.04962681034056646,1.07,0.010726113390341555,1.98,0.019771637585883052,0.86,0.008551233255894419,3.08,0.03079432554001285,0.6,0.00603034946369433
05,alta ribagorca,3357,169,55,132,28,77,7,3825,87.76,0.8776470588235294,4.42,0.044183006535947714,1.44,0.01437908496732026,3.45,0.034509803921568626,0.73,0.007320261437908497,2.01,0.020130718954248367,0.18,0.0018300653594771241
06,anoia,111579,1957,579,5765,623,1552,969,123024,90.7,0.9069693718298869,1.59,0.015907465210040318,0.47,0.004706398751463129,4.69,0.046860775133307324,0.51,0.005064052542593315,1.26,0.012615424632592015,0.79,0.00787651190011705
07,bages,157832,4001,1293,11091,1524,3087,1747,180575,87.41,0.8740523328256957,2.22,0.022156998477087082,0.72,0.007160459642807698,6.14,0.061420462411740276,0.84,0.008439706493146891,1.71,0.01709538972726014,0.97,0.009674650422262218
08,baix camp,161591,9501,2366,12509,1243,5221,1696,194127,83.24,0.8323983783811628,4.89,0.04894218733097405,1.22,0.01218789761341802,6.44,0.064437198328929,0.64,0.006403024823955452,2.69,0.026894764767394542,0.87,0.008736548754166087
09,baix ebre,64683,4517,993,4771,480,950,1617,78011,82.92,0.8291522990347515,5.79,0.05790209073079437,1.27,0.012728974119034495,6.12,0.061158041814615885,0.62,0.006152978426119393,1.22,0.012177769801694632,2.07,0.020727846072989706
10,baix emporda,108368,7398,3218,11290,2369,2194,968,135805,79.8,0.7979676742387983,5.45,0.05447516659916792,2.37,0.023695740215750525,8.31,0.08313390523176614,1.74,0.017444129450314788,1.62,0.01615551710172674,0.71,0.007127867162475608
11,baix llobregat,743134,21812,5600,23196,7270,22132,11509,834653,89.04,0.8903508404091282,2.61,0.026133015756248407,0.67,0.006709375033696638,2.78,0.027791189871719146,0.87,0.008710206516959742,2.65,0.026516408615316785,1.38,0.01378896379693118
12,baix penedes,91010,4435,1237,6149,887,3122,963,107803,84.42,0.8442251143289148,4.11,0.041139856961309056,1.15,0.0114746342866154,5.7,0.05703922896394349,0.82,0.00822797139226181,2.9,0.028960233017634018,0.89,0.008932961049321448
13,barcelones,1827965,117616,31972,44766,55597,117439,119265,2314620,78.97,0.7897473451365667,5.08,0.05081438853893944,1.38,0.013813066507677286,1.93,0.019340539699821135,2.4,0.024019925516931506,5.07,0.05073791810318756,5.15,0.051526816496876376
14,bergueda,36035,955,191,1467,325,747,260,39980,90.13,0.9013256628314157,2.39,0.023886943471735866,0.48,0.004777388694347174,3.67,0.036693346673336666,0.81,0.008129064532266132,1.87,0.01868434217108554,0.65,0.0065032516258129065
