codi,comarca,rfdb_(miles_de_euros),rfdb_por_habitante_(euros),rfdb_por_habitante_(index_catalunya=100_por_habitante)
01,alt camp,700228,15550,88.6
02,alt emporda,1949301,13934,79.4
03,alt penedes,1831259,16626,94.7
04,alt urgell,276359,13732,78.3
05,alta ribagorca,57401,14665,83.6
06,anoia,1931146,15604,88.9
07,bages,3001099,16723,95.3
08,baix camp,2983063,15221,86.7
09,baix ebre,1102507,14057,80.1
10,baix emporda,1978690,14698,83.8
11,baix llobregat,15136738,18267,104.1
12,baix penedes,1605245,14778,84.2
13,barcelones,44296484,19353,110.3
14,bergueda,667228,16714,95.2
15,cerdanya,281008,14986,85.4
16,conca de barbera,322793,16220,92.4
17,garraf,2721589,18003,102.6
18,garrigues,267488,14054,80.1
19,garrotxa,973229,16839,96.0
20,girones,3211283,16757,95.5
21,maresme,8105973,17840,101.7
22,montsia,896430,12930,73.7
23,noguera,533526,13819,78.7
24,osona,2802965,17292,98.5
25,pallars jussa,192060,14748,84.0
26,pallars sobira,102376,14624,83.3
27,pla d'urgell,568568,15201,86.6
28,pla de l'estany,554195,17029,97.0
29,priorat,133854,14584,83.1
30,ribera d'ebre,328537,15179,86.5
31,ripolles,430005,17055,97.2
32,segarra,336464,14677,83.6
33,segria,3285560,15746,89.7
34,selva,2546953,14829,84.5
35,solsones,202454,14650,83.5
36,tarragones,3982679,15120,86.2
37,terra alta,157182,13927,79.4
38,urgell,538682,14520,82.7
39,aran,160974,15857,90.4
40,valles occidental,16972034,18107,103.2
41,valles oriental,7310175,17638,100.5
42,moianes,232504,16660,94.9
