codi,comarca,analfabetisme_dones,analfabetisme_homes,analfabetisme_total,doctorat universitari_dones,doctorat universitari_homes,doctorat universitari_total,educacio primaria_dones,educacio primaria_homes,educacio primaria_total,educacio primaria incompleta_dones,educacio primaria incompleta_homes,educacio primaria incompleta_total,educacio secundaria_dones,educacio secundaria_homes,educacio secundaria_total,formacio professional_dones,formacio professional_homes,formacio professional_total,graus universitaris_dones,graus universitaris_homes,graus universitaris_total,masters universitaris_dones,masters universitaris_homes,masters universitaris_total
01,alt camp,60,27,87,120,102,219,2367,2064,4428,783,567,1350,9993,11688,21675,1848,2265,4110,3177,2337,5517,489,327,813
02,alt emporda,210,129,336,312,402,714,9276,8577,17850,3024,2673,5697,32832,36633,69471,3567,3867,7431,10089,7350,17439,1206,858,2064
03,alt penedes,141,39,177,324,348,672,6471,5181,11655,1452,816,2271,23202,26940,50148,4440,4968,9411,9108,6666,15777,1215,774,1989
04,alt urgell,18,12,30,72,78,147,1158,1017,2175,372,249,621,4422,5286,9708,672,831,1506,1872,1218,3093,300,183,486
05,alta ribagorca,6,3,9,15,15,33,231,174,402,75,48,123,738,987,1725,150,198,348,435,294,732,48,30,81
06,anoia,252,66,318,237,273,510,6453,5394,11847,2013,1116,3132,28014,32763,60774,5058,5562,10620,8703,6363,15066,1188,747,1932
07,bages,255,66,321,435,504,939,10656,8184,18840,2856,1764,4617,39771,45030,84798,6930,7512,14442,14718,10959,25677,2016,1263,3282
08,baix camp,855,321,1179,645,615,1263,9948,8040,17988,3711,2214,5922,43206,46944,90147,7359,8082,15438,15294,11739,27033,2649,1644,4296
09,baix ebre,99,33,132,144,180,324,5580,4536,10119,1791,1329,3120,17244,20712,37956,2499,2901,5403,5226,3828,9057,1008,630,1635
10,baix emporda,402,162,564,381,474,858,7980,7524,15504,2079,1587,3666,30471,33795,64266,4299,4374,8673,11559,9168,20730,1449,927,2376
11,baix llobregat,1884,411,2292,2811,2943,5757,44583,32463,77046,14370,7827,22197,175872,191994,367869,37311,42690,80001,74346,57732,132075,9480,6546,16026
12,baix penedes,132,30,162,294,309,606,6666,5700,12363,1419,894,2316,25488,28335,53829,4305,4722,9024,7500,5955,13452,765,600,1365
13,barcelones,4089,1098,5187,18222,19488,37707,127794,88197,215991,45525,25683,71208,437238,449313,886554,78891,89043,167931,283341,233727,517074,44613,31881,76494
14,bergueda,57,6,63,87,105,189,2730,2082,4812,444,213,657,8718,10068,18786,1629,2013,3642,3342,2397,5742,504,351,855
15,cerdanya,12,9,24,60,102,162,1002,828,1833,168,102,273,4038,4863,8898,642,771,1410,1938,1605,3543,258,171,429
16,conca de barbera,12,6,18,45,54,99,1269,975,2241,336,201,534,4314,5469,9783,810,951,1761,1521,1098,2619,237,138,375
17,garraf,252,135,387,723,813,1536,8010,5967,13977,1386,792,2181,32208,34572,66777,5586,5934,11523,16905,14949,31848,1929,1428,3354
18,garrigues,15,9,24,42,27,75,1344,1308,2646,258,282,540,3942,5199,9141,693,879,1572,1365,912,2277,228,108,333
19,garrotxa,48,24,75,159,192,348,4056,3930,7986,978,924,1905,11706,13920,25629,2208,2322,4527,5178,3525,8697,741,447,1188
20,girones,549,303,855,1083,1161,2244,10065,9096,19158,2901,2454,5358,40056,44193,84249,5706,6435,12141,18885,13923,32808,3363,2238,5601
21,maresme,819,297,1116,1839,2070,3909,22311,17799,40113,8256,6369,14622,96228,105363,201588,17604,18681,36288,45903,36906,82809,5952,4203,10155
22,montsia,147,72,219,105,102,207,4695,3636,8334,1209,975,2187,15453,18642,34101,2661,2703,5367,4263,3057,7320,726,459,1182
23,noguera,87,72,159,66,87,153,2361,2238,4599,657,636,1290,8334,10854,19182,1239,1464,2703,2889,1872,4758,405,261,666
24,osona,249,66,318,516,537,1053,9153,8265,17421,2526,1704,4230,34566,41079,75645,5439,6321,11760,14259,9789,24051,2133,1230,3360
25,pallars jussa,6,3,9,36,45,81,945,849,1794,246,162,411,2469,3057,5526,531,750,1281,1230,900,2127,189,111,303
26,pallars sobira,3,0,3,36,39,75,351,303,651,72,48,120,1326,1659,2985,285,477,762,834,594,1425,132,72,201
27,pla d'urgell,93,51,147,54,72,126,2397,2250,4650,495,510,1002,7761,9837,17595,1389,1566,2955,2604,1668,4269,417,192,609
28,pla de l'estany,90,66,156,141,162,303,1665,1368,3033,480,492,972,6546,7593,14139,1137,1308,2445,3102,2130,5235,621,399,1017
29,priorat,12,6,21,33,42,75,558,468,1023,84,90,177,1977,2544,4521,360,498,861,762,588,1350,120,69,189
30,ribera d'ebre,30,27,57,33,42,75,1737,1431,3165,369,246,618,4605,5511,10116,897,1176,2076,1548,1113,2658,246,147,393
31,ripolles,48,27,75,69,72,141,1674,1230,2904,498,309,807,5604,6405,12006,900,1266,2166,2139,1560,3702,258,177,438
32,segarra,9,6,15,45,36,84,1431,1668,3102,465,471,936,4911,6114,11028,672,906,1578,1632,1065,2694,243,129,372
33,segria,480,237,720,837,924,1758,11130,10332,21462,3561,3219,6780,43842,52197,96039,7338,8148,15486,18495,13098,31590,2985,1884,4872
34,selva,444,303,747,390,396,786,9861,9057,18915,2751,2325,5076,41148,47799,88953,5691,5862,11550,11952,8667,20622,1536,951,2487
35,solsones,15,15,27,33,39,72,756,606,1362,357,273,633,2685,3249,5934,585,735,1320,1161,813,1971,174,105,279
36,tarragones,594,168,762,1236,1344,2580,13983,11646,25629,3891,2631,6519,55311,60696,116004,10542,12285,22827,22587,17769,40356,3966,2691,6654
37,terra alta,21,12,30,12,18,33,999,858,1860,264,195,459,2544,3189,5733,300,345,648,693,411,1101,111,81,192
38,urgell,51,21,72,96,81,177,2193,2055,4248,432,387,819,8109,9804,17910,1305,1509,2811,2880,1881,4764,414,231,642
39,aran,6,6,12,36,30,63,420,384,807,81,45,129,2244,2727,4977,399,513,915,1065,807,1869,123,78,198
40,valles occidental,2139,573,2715,4134,4899,9033,47721,34653,82371,13752,7506,21261,196455,213318,409770,37803,41358,79161,88242,70659,158898,12627,9156,21783
