codi,comarca,recursos._remuneracion_asalariados,recursos._excedente_bruto_explotacion,recursos._prestaciones_sociales,usos._cotizaciones_sociales,usos._impuestos
01,alt camp,593173,173872,240921,179399,96508
02,alt emporda,1583386,657018,598935,512052,329330
03,alt penedes,1652972,474524,592603,490413,277769
04,alt urgell,197416,91423,97949,63921,36509
05,alta ribagorca,42647,22887,18521,14839,8501
06,anoia,1696788,486069,651790,506399,282287
07,bages,2476425,682107,1129607,733868,462625
08,baix camp,2673489,786124,977987,809751,484351
09,baix ebre,879457,323935,392050,275172,155446
10,baix emporda,1607331,689956,608321,514827,352342
11,baix llobregat,13534309,3890264,4612811,3956360,2571756
12,baix penedes,1312514,462921,571986,406048,235821
13,barcelones,36156593,12537642,14486022,10838689,8616994
14,bergueda,454422,177582,291493,143506,82141
15,cerdanya,211457,131247,70517,72945,52641
16,conca de barbera,260563,87284,108004,80077,44074
17,garraf,2414220,832888,812974,724294,529977
18,garrigues,199056,81098,95717,65986,33160
19,garrotxa,832725,236445,319085,246963,147934
20,girones,2986923,837731,944858,878255,602061
21,maresme,6838929,2446202,2430651,2075576,1442106
22,montsia,690049,273157,319980,222477,111182
23,noguera,425318,158858,180643,138353,73637
24,osona,2435174,703086,869606,722990,432348
25,pallars jussa,141136,56847,75459,45973,27550
26,pallars sobira,76338,44018,31391,27279,14439
27,pla d'urgell,480832,141893,163877,147434,80651
28,pla de l'estany,495932,154105,151314,146441,91903
29,priorat,94095,47450,46794,32215,15869
30,ribera d'ebre,248566,86360,126346,77177,48320
31,ripolles,314266,121904,170576,98107,63175
32,segarra,296926,87902,100229,91516,46945
33,segria,2961208,787493,1047600,886421,583938
34,selva,2063512,724494,853605,659519,356642
35,solsones,156428,64507,68777,51273,27598
36,tarragones,3656818,1027691,1347972,1095165,711513
37,terra alta,94694,56645,61732,35248,14771
38,urgell,455009,140902,175954,140556,75366
39,aran,125690,59200,45755,43448,27134
40,valles occidental,15494579,4403453,5083026,4513779,2954908
41,valles oriental,6530722,1979605,2177147,1929047,1172642
42,moianes,198306,74843,69532,61459,37111
