codi,comarca,tipus_estudis,sexe,valor
01,alt camp,educacio_obligatoria,dones,12360
01,alt camp,educacio_obligatoria,homes,13752
01,alt camp,estudis_superiors,dones,5634
01,alt camp,estudis_superiors,homes,5031
01,alt camp,sense_educacio,dones,843
01,alt camp,sense_educacio,homes,594
02,alt emporda,educacio_obligatoria,dones,42108
02,alt emporda,educacio_obligatoria,homes,45210
02,alt emporda,estudis_superiors,dones,15174
02,alt emporda,estudis_superiors,homes,12477
02,alt emporda,sense_educacio,dones,3234
02,alt emporda,sense_educacio,homes,2802
03,alt penedes,sense_educacio,homes,855
03,alt penedes,sense_educacio,dones,1593
03,alt penedes,estudis_superiors,homes,12756
03,alt penedes,educacio_obligatoria,homes,32121
03,alt penedes,educacio_obligatoria,dones,29673
03,alt penedes,estudis_superiors,dones,15087
04,alt urgell,educacio_obligatoria,dones,5580
04,alt urgell,educacio_obligatoria,homes,6303
04,alt urgell,estudis_superiors,dones,2916
04,alt urgell,estudis_superiors,homes,2310
04,alt urgell,sense_educacio,dones,390
04,alt urgell,sense_educacio,homes,261
05,alta ribagorca,sense_educacio,dones,81
05,alta ribagorca,sense_educacio,homes,51
05,alta ribagorca,estudis_superiors,homes,537
05,alta ribagorca,estudis_superiors,dones,648
05,alta ribagorca,educacio_obligatoria,homes,1161
05,alta ribagorca,educacio_obligatoria,dones,969
06,anoia,educacio_obligatoria,dones,34467
06,anoia,educacio_obligatoria,homes,38157
06,anoia,estudis_superiors,dones,15186
06,anoia,estudis_superiors,homes,12945
06,anoia,sense_educacio,dones,2265
06,anoia,sense_educacio,homes,1182
07,bages,educacio_obligatoria,dones,50427
07,bages,estudis_superiors,homes,20238
07,bages,sense_educacio,dones,3111
07,bages,estudis_superiors,dones,24099
07,bages,educacio_obligatoria,homes,53214
07,bages,sense_educacio,homes,1830
08,baix camp,educacio_obligatoria,dones,53154
08,baix camp,educacio_obligatoria,homes,54984
08,baix camp,estudis_superiors,dones,25947
08,baix camp,sense_educacio,dones,4566
08,baix camp,estudis_superiors,homes,22080
08,baix camp,sense_educacio,homes,2535
09,baix ebre,educacio_obligatoria,homes,25248
09,baix ebre,estudis_superiors,dones,8877
09,baix ebre,estudis_superiors,homes,7539
09,baix ebre,sense_educacio,dones,1890
09,baix ebre,educacio_obligatoria,dones,22824
09,baix ebre,sense_educacio,homes,1362
10,baix emporda,sense_educacio,dones,2481
10,baix emporda,educacio_obligatoria,dones,38451
10,baix emporda,educacio_obligatoria,homes,41319
10,baix emporda,estudis_superiors,dones,17688
10,baix emporda,estudis_superiors,homes,14943
10,baix emporda,sense_educacio,homes,1749
11,baix llobregat,sense_educacio,homes,8238
11,baix llobregat,sense_educacio,dones,16254
11,baix llobregat,estudis_superiors,homes,109911
11,baix llobregat,educacio_obligatoria,homes,224457
11,baix llobregat,educacio_obligatoria,dones,220455
11,baix llobregat,estudis_superiors,dones,123948
12,baix penedes,sense_educacio,dones,1551
12,baix penedes,sense_educacio,homes,924
12,baix penedes,estudis_superiors,homes,11586
12,baix penedes,educacio_obligatoria,dones,32154
12,baix penedes,educacio_obligatoria,homes,34035
12,baix penedes,estudis_superiors,dones,12864
13,barcelones,educacio_obligatoria,dones,565032
13,barcelones,educacio_obligatoria,homes,537510
13,barcelones,estudis_superiors,dones,425067
13,barcelones,sense_educacio,dones,49614
13,barcelones,estudis_superiors,homes,374139
13,barcelones,sense_educacio,homes,26781
14,bergueda,educacio_obligatoria,dones,11448
14,bergueda,educacio_obligatoria,homes,12150
