codi,comarca,poblacio_estudiant,total_poblacio,pct_estudiants,ratio_estudiants
01,alt camp,2090,45469,4.6,0.04596538300820339
02,alt emporda,5896,143950,4.1,0.040958666203542896
03,alt penedes,4900,110810,4.42,0.04421983575489577
04,alt urgell,893,20458,4.37,0.04365040570925799
05,alta ribagorca,195,3989,4.89,0.04888443218851843
06,anoia,5609,125073,4.48,0.04484581004693259
07,bages,7761,180449,4.3,0.04300938215229788
08,baix camp,9794,197690,4.95,0.04954221255501037
09,baix ebre,3494,79945,4.37,0.043705047219963725
10,baix emporda,5693,138195,4.12,0.04119541227974963
11,baix llobregat,39481,832079,4.74,0.04744861966231572
12,baix penedes,4670,112260,4.16,0.04159985747372172
13,barcelones,98711,2259035,4.37,0.04369609147268635
14,bergueda,1471,40306,3.65,0.0364958070758696
15,cerdanya,777,19469,3.99,0.039909599876727105
16,conca de barbera,916,20211,4.53,0.04532185443570333
17,garraf,7094,156331,4.54,0.0453780760053988
18,garrigues,754,19027,3.96,0.039627897198717614
19,garrotxa,2202,59694,3.69,0.03688812946024726
20,girones,9142,197447,4.63,0.04630103268218813
21,maresme,22513,461427,4.88,0.0487899494394563
22,montsia,3311,69008,4.8,0.04797994435427776
23,noguera,1608,39188,4.1,0.041032969276309075
24,osona,6699,164779,4.07,0.04065445232705624
25,pallars jussa,521,13254,3.93,0.03930888788290327
26,pallars sobira,295,7217,4.09,0.04087571012886241
27,pla d'urgell,1632,37410,4.36,0.04362469927826784
28,pla de l'estany,1521,32893,4.62,0.04624084151643207
29,priorat,367,9311,3.94,0.03941574481795725
30,ribera d'ebre,923,21917,4.21,0.04211342793265502
31,ripolles,866,25578,3.39,0.033857221049339276
32,segarra,1011,23614,4.28,0.042813585161344966
33,segria,9522,211473,4.5,0.04502702472656084
34,selva,7380,176972,4.17,0.04170151210360961
35,solsones,576,13685,4.21,0.04208987943003288
36,tarragones,12698,263676,4.82,0.04815758734204099
37,terra alta,472,11419,4.13,0.04133461774235923
38,urgell,1718,37370,4.6,0.04597270537864597
39,aran,360,10243,3.51,0.03514595333398418
40,valles occidental,46768,938356,4.98,0.0498403590961213
41,valles oriental,19685,416758,4.72,0.047233646384712474
42,moianes,587,14388,4.08,0.04079788712816236
