codi,comarca,dones,homes,total
01,alt camp,22337,23132,45469
02,alt emporda,71693,72257,143950
03,alt penedes,55374,55436,110810
04,alt urgell,10217,10241,20458
05,alta ribagorca,1927,2062,3989
06,anoia,62004,63069,125073
07,bages,90965,89484,180449
08,baix camp,100140,97550,197690
09,baix ebre,39428,40517,79945
10,baix emporda,69057,69138,138195
11,baix llobregat,423386,408693,832079
12,baix penedes,56064,56196,112260
13,barcelones,1175889,1083146,2259035
14,bergueda,20148,20158,40306
15,cerdanya,9484,9985,19469
16,conca de barbera,9848,10363,20211
17,garraf,78928,77403,156331
18,garrigues,9058,9969,19027
19,garrotxa,29518,30176,59694
20,girones,99576,97871,197447
21,maresme,233746,227681,461427
22,montsia,34142,34866,69008
23,noguera,18803,20385,39188
24,osona,81869,82910,164779
25,pallars jussa,6460,6794,13254
26,pallars sobira,3489,3728,7217
27,pla d'urgell,18163,19247,37410
28,pla de l'estany,16508,16385,32893
29,priorat,4428,4883,9311
30,ribera d'ebre,10741,11176,21917
31,ripolles,12758,12820,25578
32,segarra,11232,12382,23614
33,segria,104450,107023,211473
34,selva,87344,89628,176972
35,solsones,6751,6934,13685
36,tarragones,133062,130614,263676
37,terra alta,5604,5815,11419
38,urgell,18375,18995,37370
39,aran,4985,5258,10243
40,valles occidental,477644,460712,938356
41,valles oriental,209094,207664,416758
42,moianes,6961,7427,14388
