codi,comarca,"poblacio_pensionista_de_jubilacio,_prejubilacio",poblacio_pensionista_d'invalidesa,poblacio_estudiant,poblacio_amb_una_altra_situacio_d'inactivitat,total_poblacio_inactiva,total_poblacio,pct_atur,ratio_atur
01,alt camp,7558,1094,2090,5614,16356,45469,12.35,0.12346873694165256
02,alt emporda,20492,2163,5896,27505,56056,143950,19.11,0.1910732893365752
03,alt penedes,16105,2289,4900,14457,37751,110810,13.05,0.13046656438949553
04,alt urgell,3528,477,893,4222,9120,20458,20.64,0.20637403460748852
05,alta ribagorca,592,102,195,569,1458,3989,14.26,0.14264226623213838
06,anoia,20332,3393,5609,14134,43468,125073,11.3,0.11300600449337588
07,bages,33629,5641,7761,20018,67049,180449,11.09,0.110934391434699
08,baix camp,28171,4373,9794,30283,72621,197690,15.32,0.15318427841570134
09,baix ebre,13779,1991,3494,12907,32171,79945,16.14,0.1614484958408906
10,baix emporda,21845,2071,5693,25838,55447,138195,18.7,0.1869676905821484
11,baix llobregat,117915,18117,39481,112806,288319,832079,13.56,0.13557126186335672
12,baix penedes,17420,3218,4670,18179,43487,112260,16.19,0.16193657580616427
13,barcelones,369532,41323,98711,379141,888707,2259035,16.78,0.1678331677021383
14,bergueda,9272,1601,1471,4226,16570,40306,10.48,0.10484791346201558
15,cerdanya,2674,245,777,3164,6860,19469,16.25,0.16251476706559145
16,conca de barbera,3903,388,916,2342,7549,20211,11.59,0.11587749245460392
17,garraf,22849,2986,7094,25616,58545,156331,16.39,0.16385745629465684
18,garrigues,3906,429,754,2439,7528,19027,12.82,0.12818626162821253
19,garrotxa,11537,906,2202,6432,21077,59694,10.77,0.10774952256508191
20,girones,26636,2965,9142,26291,65034,197447,13.32,0.13315472000081036
21,maresme,73183,8996,22513,63803,168495,461427,13.83,0.138273226317489
22,montsia,11309,1732,3311,11087,27439,69008,16.07,0.1606625318803617
23,noguera,6493,826,1608,5423,14350,39188,13.84,0.13838419924466674
24,osona,27551,3626,6699,17325,55201,164779,10.51,0.10514082498376613
25,pallars jussa,2849,311,521,1720,5401,13254,12.98,0.1297721442583371
26,pallars sobira,1259,158,295,791,2503,7217,10.96,0.1096023278370514
27,pla d'urgell,5309,846,1632,5011,12798,37410,13.39,0.13394814220796578
28,pla de l'estany,5272,424,1521,3327,10544,32893,10.11,0.10114614051621926
29,priorat,2035,178,367,1214,3794,9311,13.04,0.13038341746321555
30,ribera d'ebre,4265,493,923,3775,9456,21917,17.22,0.17224072637678514
31,ripolles,6168,602,866,2453,10089,25578,9.59,0.09590272890765501
32,segarra,3436,598,1011,2720,7765,23614,11.52,0.1151859066655374
33,segria,30638,4913,9522,30005,75078,211473,14.19,0.14188572536446734
34,selva,26182,3435,7380,33085,70082,176972,18.7,0.18695047804172413
35,solsones,2308,369,576,1589,4842,13685,11.61,0.11611253196930946
36,tarragones,36188,5829,12698,44132,98847,263676,16.74,0.16737207785312277
37,terra alta,2741,206,472,1448,4867,11419,12.68,0.12680620019266137
38,urgell,5935,798,1718,4740,13191,37370,12.68,0.12683971099812685
39,aran,1236,171,360,1344,3111,10243,13.12,0.13121155911354096
40,valles occidental,137239,22767,46768,110925,317699,938356,11.82,0.11821206450430327
41,valles oriental,59998,9142,19685,50652,139477,416758,12.15,0.12153815883558323
42,moianes,2524,310,587,1467,4888,14388,10.2,0.10195996663886572
