codi,comarca,total_repetixen,pct_repetidors_dones,ratio_repetidors_dones,pct_repetidors_homes,ratio_repetidors_homes
01,alt camp,125,2.0095693779904304,0.020095693779904306,3.971291866028708,0.03971291866028708
02,alt emporda,339,2.0861601085481682,0.02086160108548168,3.6635006784260513,0.036635006784260515
03,alt penedes,241,1.5510204081632653,0.015510204081632653,3.36734693877551,0.0336734693877551
04,alt urgell,50,1.6797312430011198,0.0167973124300112,3.9193729003359463,0.03919372900335946
05,alta ribagorca,13,3.5897435897435894,0.035897435897435895,3.076923076923077,0.03076923076923077
06,anoia,331,2.06810483152077,0.0206810483152077,3.833125334284186,0.03833125334284186
07,bages,331,1.6621569385388482,0.01662156938538848,2.602757376626723,0.026027573766267232
08,baix camp,526,1.929752909944864,0.01929752909944864,3.4408821727588323,0.03440882172758832
09,baix ebre,180,2.003434459072696,0.02003434459072696,3.1482541499713794,0.031482541499713794
10,baix emporda,302,1.9673282979097138,0.019673282979097137,3.3374319339539786,0.033374319339539785
11,baix llobregat,1736,1.5678427598085156,0.015678427598085156,2.8292089866011496,0.028292089866011498
12,baix penedes,305,2.3768736616702353,0.023768736616702354,4.154175588865097,0.041541755888650965
13,barcelones,4046,1.610762731610459,0.01610762731610459,2.488071238261187,0.02488071238261187
14,bergueda,48,0.6798096532970768,0.006798096532970768,2.583276682528892,0.02583276682528892
15,cerdanya,48,2.9601029601029603,0.029601029601029602,3.2175032175032174,0.032175032175032175
16,conca de barbera,26,1.0917030567685588,0.010917030567685589,1.7467248908296942,0.017467248908296942
17,garraf,338,1.6774739216239076,0.016774739216239076,3.0871158725683676,0.030871158725683676
18,garrigues,27,1.4588859416445623,0.014588859416445624,2.122015915119363,0.021220159151193633
19,garrotxa,101,1.544050862851953,0.015440508628519528,3.0426884650317896,0.030426884650317895
20,girones,443,1.8267337562896522,0.018267337562896523,3.01903303434697,0.030190330343469702
21,maresme,812,1.27037711544441,0.012703771154444099,2.3364278416914672,0.02336427841691467
22,montsia,170,2.1745696164300816,0.021745696164300814,2.9598308668076108,0.02959830866807611
23,noguera,63,1.1194029850746268,0.011194029850746268,2.798507462686567,0.027985074626865673
24,osona,329,2.0600089565606807,0.020600089565606806,2.851171816689058,0.02851171816689058
25,pallars jussa,33,1.9193857965451053,0.019193857965451054,4.414587332053743,0.044145873320537425
26,pallars sobira,3,0.3389830508474576,0.003389830508474576,0.6779661016949152,0.006779661016949152
27,pla d'urgell,87,1.531862745098039,0.015318627450980392,3.799019607843137,0.03799019607843137
28,pla de l'estany,41,0.8547008547008548,0.008547008547008548,1.8408941485864563,0.018408941485864562
29,priorat,15,0.8174386920980926,0.008174386920980926,3.2697547683923704,0.0326975476839237
30,ribera d'ebre,55,1.7334777898158178,0.01733477789815818,4.225352112676056,0.04225352112676056
31,ripolles,20,0.6928406466512702,0.006928406466512702,1.6166281755196306,0.016166281755196306
32,segarra,46,1.0880316518298714,0.010880316518298714,3.4619188921859543,0.03461918892185954
33,segria,613,2.3944549464398235,0.023944549464398234,4.043268220961982,0.040432682209619826
34,selva,337,1.4498644986449865,0.014498644986449864,3.116531165311653,0.03116531165311653
35,solsones,27,1.9097222222222223,0.019097222222222224,2.7777777777777777,0.027777777777777776
36,tarragones,717,2.3389510159080174,0.02338951015908017,3.307607497243661,0.03307607497243661
37,terra alta,5,0.423728813559322,0.00423728813559322,0.6355932203389831,0.006355932203389831
38,urgell,86,1.6880093131548313,0.016880093131548313,3.317811408614668,0.03317811408614668
40,valles occidental,2006,1.5544816968867603,0.015544816968867602,2.734775915155662,0.02734775915155662
41,valles oriental,701,1.143002286004572,0.01143002286004572,2.418084836169672,0.024180848361696722
42,moianes,16,1.5332197614991483,0.015332197614991482,1.192504258943782,0.01192504258943782
