codi,comarca,total_repetixen,poblacio_estudiant,pct_repetidors,ratio_repetidors
01,alt camp,125,2090,5.98,0.05980861244019139
02,alt emporda,339,5896,5.75,0.0574966078697422
03,alt penedes,241,4900,4.92,0.049183673469387755
04,alt urgell,50,893,5.6,0.055991041433370664
05,alta ribagorca,13,195,6.67,0.06666666666666667
06,anoia,331,5609,5.9,0.05901230165804956
07,bages,331,7761,4.26,0.042649143151655716
08,baix camp,526,9794,5.37,0.05370635082703696
09,baix ebre,180,3494,5.15,0.05151688609044076
10,baix emporda,302,5693,5.3,0.05304760231863692
11,baix llobregat,1736,39481,4.4,0.04397051746409665
12,baix penedes,305,4670,6.53,0.06531049250535331
13,barcelones,4046,98711,4.1,0.04098833969871646
14,bergueda,48,1471,3.26,0.03263086335825969
15,cerdanya,48,777,6.18,0.06177606177606178
16,conca de barbera,26,916,2.84,0.028384279475982533
17,garraf,338,7094,4.76,0.047645897941922755
18,garrigues,27,754,3.58,0.03580901856763926
19,garrotxa,101,2202,4.59,0.04586739327883742
20,girones,443,9142,4.85,0.04845766790636622
21,maresme,812,22513,3.61,0.03606804957135877
22,montsia,170,3311,5.13,0.05134400483237692
23,noguera,63,1608,3.92,0.03917910447761194
24,osona,329,6699,4.91,0.04911180773249739
25,pallars jussa,33,521,6.33,0.06333973128598848
26,pallars sobira,3,295,1.02,0.010169491525423728
27,pla d'urgell,87,1632,5.33,0.05330882352941176
28,pla de l'estany,41,1521,2.7,0.02695595003287311
29,priorat,15,367,4.09,0.04087193460490463
30,ribera d'ebre,55,923,5.96,0.059588299024918745
31,ripolles,20,866,2.31,0.023094688221709007
32,segarra,46,1011,4.55,0.04549950544015826
33,segria,613,9522,6.44,0.06437723167401806
34,selva,337,7380,4.57,0.0456639566395664
35,solsones,27,576,4.69,0.046875
36,tarragones,717,12698,5.65,0.056465585131516775
37,terra alta,5,472,1.06,0.01059322033898305
38,urgell,86,1718,5.01,0.050058207217694994
40,valles occidental,2006,46768,4.29,0.04289257612042422
41,valles oriental,701,19685,3.56,0.035610871221742446
42,moianes,16,587,2.73,0.027257240204429302
