codi,comarca,16-24,25+,total,any
01,alt camp,165,2262,2427,2022
02,alt emporda,394,5974,6368,2022
03,alt penedes,246,4753,4998,2022
04,alt urgell,53,688,740,2022
05,alta ribagorca,7,95,101,2022
06,anoia,464,6473,6937,2022
07,bages,520,8744,9263,2022
08,baix camp,727,9825,10551,2022
09,baix ebre,281,3617,3897,2022
10,baix emporda,254,4966,5220,2022
11,baix llobregat,1983,33837,35820,2022
12,baix penedes,459,6876,7335,2022
13,barcelones,4694,92007,96701,2022
14,bergueda,82,1690,1772,2022
15,cerdanya,29,440,468,2022
16,conca de barbera,42,710,751,2022
17,garraf,361,7375,7736,2022
18,garrigues,50,666,716,2022
19,garrotxa,125,1865,1989,2022
20,girones,706,8193,8899,2022
21,maresme,1115,20976,22090,2022
22,montsia,251,3230,3480,2022
23,noguera,158,1697,1854,2022
24,osona,436,6547,6982,2022
25,pallars jussa,30,498,527,2022
26,pallars sobira,14,196,209,2022
27,pla d'urgell,93,1426,1519,2022
28,pla de l'estany,81,963,1043,2022
29,priorat,16,313,329,2022
30,ribera d'ebre,59,917,976,2022
31,ripolles,51,787,837,2022
32,segarra,51,708,758,2022
33,segria,770,9606,10375,2022
34,selva,515,7972,8487,2022
35,solsones,40,424,463,2022
36,tarragones,912,12192,13103,2022
37,terra alta,16,345,360,2022
38,urgell,104,1507,1610,2022
39,aran,15,213,228,2022
40,valles occidental,2773,43622,46394,2022
41,valles oriental,1199,18622,19820,2022
42,moianes,29,498,527,2022
01,alt camp,228,2696,2923,2021
02,alt emporda,671,7752,8423,2021
03,alt penedes,330,5557,5886,2021
04,alt urgell,71,874,945,2021
05,alta ribagorca,11,132,143,2021
06,anoia,627,7564,8190,2021
07,bages,709,10074,10783,2021
08,baix camp,1071,12162,13233,2021
09,baix ebre,388,4322,4710,2021
10,baix emporda,474,6474,6947,2021
11,baix llobregat,2950,40908,43857,2021
12,baix penedes,688,8000,8688,2021
13,barcelones,7291,117005,124295,2021
14,bergueda,121,1904,2024,2021
15,cerdanya,43,585,628,2021
16,conca de barbera,63,848,910,2021
17,garraf,524,8784,9308,2021
18,garrigues,60,751,811,2021
19,garrotxa,156,2208,2363,2021
20,girones,982,9781,10762,2021
21,maresme,1584,25365,26949,2021
22,montsia,375,3877,4252,2021
23,noguera,188,1907,2095,2021
24,osona,588,7580,8167,2021
25,pallars jussa,50,608,657,2021
26,pallars sobira,22,278,300,2021
27,pla d'urgell,115,1635,1750,2021
28,pla de l'estany,98,1107,1205,2021
29,priorat,25,402,427,2021
30,ribera d'ebre,84,1111,1194,2021
31,ripolles,71,954,1024,2021
