codi,comarca,alumnes_homes_16_24_anys,alumnes_dones_16_24_anys,alumnes_total_16_24_anys,alumnes_homes_+25_anys,alumnes_dones_+25_anys,alumnes_total_+25_anys,any
01,alt camp,24,24,48,67,189,256,2022
02,alt emporda,235,66,301,628,334,962,2022
03,alt penedes,82,52,134,142,239,381,2022
04,alt urgell,19,23,42,121,258,379,2022
05,alta ribagorca,0,0,0,0,20,20,2022
06,anoia,27,20,47,60,152,212,2022
07,bages,110,76,186,619,481,1100,2022
08,baix camp,142,118,260,305,762,1067,2022
09,baix ebre,42,58,100,88,259,347,2022
10,baix emporda,109,123,232,430,759,1189,2022
11,baix llobregat,772,603,1375,2730,4158,6888,2022
12,baix penedes,51,77,128,100,327,427,2022
13,barcelones,2025,1982,4007,4683,10611,15294,2022
14,bergueda,40,30,70,65,125,190,2022
15,cerdanya,0,0,0,0,0,0,2022
16,conca de barbera,11,4,15,62,152,214,2022
17,garraf,116,96,212,283,601,884,2022
18,garrigues,0,0,0,0,0,0,2022
19,garrotxa,81,65,146,176,286,462,2022
20,girones,434,282,716,574,1120,1694,2022
21,maresme,449,264,713,1215,2164,3379,2022
22,montsia,47,44,91,86,278,364,2022
23,noguera,19,23,42,74,207,281,2022
24,osona,143,130,273,363,586,949,2022
25,pallars jussa,10,2,12,47,139,186,2022
26,pallars sobira,0,0,0,0,0,0,2022
27,pla d'urgell,57,50,107,152,432,584,2022
28,pla de l'estany,85,52,137,126,250,376,2022
29,priorat,0,0,0,0,0,0,2022
30,ribera d'ebre,42,19,61,112,224,336,2022
31,ripolles,13,11,24,30,90,120,2022
32,segarra,41,24,65,74,147,221,2022
33,segria,180,95,275,967,771,1738,2022
34,selva,144,132,276,421,929,1350,2022
35,solsones,28,17,45,82,165,247,2022
36,tarragones,238,181,419,863,1128,1991,2022
37,terra alta,0,0,0,0,0,0,2022
38,urgell,28,30,58,109,268,377,2022
39,aran,4,10,14,48,132,180,2022
40,valles occidental,782,668,1450,1910,4534,6444,2022
41,valles oriental,893,291,1184,1491,2063,3554,2022
42,moianes,0,0,0,0,0,0,2022
01,alt camp,24,24,48,67,189,256,2021
02,alt emporda,235,66,301,628,334,962,2021
03,alt penedes,82,52,134,142,239,381,2021
04,alt urgell,19,23,42,121,258,379,2021
05,alta ribagorca,0,0,0,0,20,20,2021
06,anoia,27,20,47,60,152,212,2021
07,bages,110,76,186,619,481,1100,2021
08,baix camp,142,118,260,305,762,1067,2021
09,baix ebre,42,58,100,88,259,347,2021
10,baix emporda,109,123,232,430,759,1189,2021
11,baix llobregat,772,603,1375,2730,4158,6888,2021
12,baix penedes,51,77,128,100,327,427,2021
13,barcelones,2025,1982,4007,4683,10611,15294,2021
14,bergueda,40,30,70,65,125,190,2021
15,cerdanya,0,0,0,0,0,0,2021
16,conca de barbera,11,4,15,62,152,214,2021
17,garraf,116,96,212,283,601,884,2021
18,garrigues,0,0,0,0,0,0,2021
19,garrotxa,81,65,146,176,286,462,2021
20,girones,434,282,716,574,1120,1694,2021
21,maresme,449,264,713,1215,2164,3379,2021
22,montsia,47,44,91,86,278,364,2021
23,noguera,19,23,42,74,207,281,2021
24,osona,143,130,273,363,586,949,2021
25,pallars jussa,10,2,12,47,139,186,2021
26,pallars sobira,0,0,0,0,0,0,2021
27,pla d'urgell,57,50,107,152,432,584,2021
28,pla de l'estany,85,52,137,126,250,376,2021
29,priorat,0,0,0,0,0,0,2021
30,ribera d'ebre,42,19,61,112,224,336,2021
31,ripolles,13,11,24,30,90,120,2021
32,segarra,41,24,65,74,147,221,2021
33,segria,180,95,275,967,771,1738,2021
34,selva,144,132,276,421,929,1350,2021
35,solsones,28,17,45,82,165,247,2021
36,tarragones,238,181,419,863,1128,1991,2021
37,terra alta,0,0,0,0,0,0,2021
38,urgell,28,30,58,109,268,377,2021
39,aran,4,10,14,48,132,180,2021
40,valles occidental,782,668,1450,1910,4534,6444,2021
41,valles oriental,893,291,1184,1491,2063,3554,2021
42,moianes,0,0,0,0,0,0,2021
01,alt camp,22,18,40,50,105,155,2020
02,alt emporda,212,96,308,608,275,883,2020
03,alt penedes,40,32,72,93,117,210,2020
04,alt urgell,32,13,45,81,163,244,2020
05,alta ribagorca,3,7,10,5,19,24,2020
06,anoia,18,13,31,53,53,106,2020
07,bages,101,77,178,622,320,942,2020
08,baix camp,157,154,311,274,502,776,2020
09,baix ebre,63,62,125,93,218,311,2020
10,baix emporda,117,108,225,395,572,967,2020
11,baix llobregat,666,517,1183,2595,3028,5623,2020
12,baix penedes,58,54,112,53,163,216,2020
13,barcelones,2076,1668,3744,4240,8347,12587,2020
14,bergueda,23,19,42,56,86,142,2020
15,cerdanya,0,0,0,0,0,0,2020
16,conca de barbera,27,12,39,35,79,114,2020
17,garraf,150,124,274,273,441,714,2020
18,garrigues,0,0,0,0,0,0,2020
19,garrotxa,184,79,263,182,212,394,2020
20,girones,459,218,677,411,741,1152,2020
21,maresme,433,248,681,1107,1613,2720,2020
22,montsia,40,13,53,51,151,202,2020
