codi,comarca,analfabetisme_dones,analfabetisme_homes,analfabetisme_total,doctorat universitari_dones,doctorat universitari_homes,doctorat universitari_total,educacio primaria_dones,educacio primaria_homes,educacio primaria_total,educacio primaria incompleta_dones,educacio primaria incompleta_homes,educacio primaria incompleta_total,educacio secundaria_dones,educacio secundaria_homes,educacio secundaria_total,formacio professional_dones,formacio professional_homes,formacio professional_total,graus universitaris_dones,graus universitaris_homes,graus universitaris_total,masters universitaris_dones,masters universitaris_homes,masters universitaris_total,any
01,alt camp,60.0,27.0,84,126.0,108.0,234,2214.0,1944.0,4155,720.0,501.0,1221,10146.0,11955.0,22095,1899.0,2325.0,4224,3270.0,2430.0,5703,546.0,366.0,909,2022
02,alt emporda,183.0,120.0,306,351.0,456.0,810,8817.0,8082.0,16902,2796.0,2535.0,5331,33339.0,37326.0,70659,3738.0,4005.0,7740,10440.0,7527.0,17967,1332.0,942.0,2274,2022
03,alt penedes,126.0,33.0,159,363.0,390.0,753,6192.0,4815.0,11010,1365.0,786.0,2154,23358.0,27279.0,50634,4662.0,5217.0,9879,9318.0,6876.0,16191,1365.0,855.0,2220,2022
04,alt urgell,18.0,12.0,30,90.0,87.0,177,1071.0,981.0,2055,345.0,234.0,582,4482.0,5268.0,9756,699.0,876.0,1572,1917.0,1260.0,3174,324.0,195.0,522,2022
05,alta ribagorca,6.0,3.0,9,18.0,15.0,36,210.0,156.0,366,66.0,45.0,111,753.0,1008.0,1761,156.0,207.0,363,444.0,315.0,756,57.0,33.0,87,2022
06,anoia,225.0,54.0,282,312.0,321.0,633,6177.0,4965.0,11142,1857.0,975.0,2832,28398.0,33426.0,61824,5268.0,5805.0,11073,8955.0,6537.0,15492,1311.0,816.0,2127,2022
07,bages,234.0,66.0,297,522.0,564.0,1089,10041.0,7554.0,17595,2730.0,1638.0,4368,40032.0,45435.0,85467,7128.0,7701.0,14826,14940.0,11079.0,26019,2208.0,1371.0,3576,2022
08,baix camp,792.0,288.0,1080,798.0,768.0,1563,9588.0,7641.0,17232,3441.0,2034.0,5475,44040.0,48039.0,92082,7593.0,8460.0,16053,15723.0,12132.0,27852,2949.0,1857.0,4803,2022
09,baix ebre,84.0,33.0,117,168.0,198.0,369,5334.0,4287.0,9621,1725.0,1287.0,3012,17610.0,21270.0,38880,2604.0,3036.0,5640,5355.0,3927.0,9276,1104.0,672.0,1776,2022
10,baix emporda,348.0,132.0,483,426.0,528.0,954,7593.0,7158.0,14745,1938.0,1503.0,3441,30933.0,34221.0,65154,4467.0,4467.0,8934,12102.0,9684.0,21786,1584.0,993.0,2577,2022
11,baix llobregat,1683.0,369.0,2049,3222.0,3297.0,6519,42549.0,30165.0,72717,13494.0,7200.0,20694,176586.0,193278.0,369858,38292.0,43824.0,82116,76050.0,58941.0,134994,10455.0,7167.0,17625,2022
12,baix penedes,117.0,21.0,138,369.0,381.0,750,6333.0,5247.0,11577,1338.0,807.0,2148,26298.0,29202.0,55500,4557.0,4977.0,9534,7938.0,6171.0,14106,879.0,660.0,1539,2022
13,barcelones,3582.0,891.0,4473,19872.0,20736.0,40608,120471.0,81522.0,201993,41955.0,23106.0,65058,437685.0,450378.0,888069,79854.0,89739.0,169593,286275.0,235305.0,521580,47457.0,34221.0,81681,2022
14,bergueda,51.0,6.0,57,102.0,123.0,228,2589.0,1950.0,4539,420.0,228.0,648,8772.0,10224.0,18993,1668.0,2070.0,3735,3489.0,2463.0,5952,555.0,375.0,930,2022
15,cerdanya,12.0,9.0,18,78.0,123.0,201,912.0,765.0,1677,165.0,108.0,273,4080.0,4923.0,9003,684.0,816.0,1497,1995.0,1713.0,3708,285.0,219.0,507,2022
16,conca de barbera,9.0,3.0,12,63.0,66.0,129,1167.0,867.0,2031,318.0,192.0,510,4365.0,5559.0,9927,819.0,978.0,1797,1572.0,1119.0,2694,252.0,159.0,414,2022
17,garraf,210.0,117.0,324,873.0,1005.0,1878,7653.0,5559.0,13212,1296.0,786.0,2082,32385.0,35001.0,67392,5826.0,6285.0,12111,17631.0,15651.0,33282,2217.0,1584.0,3798,2022
18,garrigues,12.0,9.0,21,51.0,36.0,84,1263.0,1191.0,2454,240.0,261.0,501,3999.0,5277.0,9282,708.0,894.0,1602,1350.0,927.0,2271,255.0,126.0,381,2022
19,garrotxa,45.0,24.0,69,180.0,204.0,384,3822.0,3771.0,7593,933.0,927.0,1863,11913.0,14238.0,26154,2304.0,2454.0,4761,5337.0,3639.0,8976,807.0,498.0,1302,2022
20,girones,561.0,339.0,900,1170.0,1239.0,2409,9417.0,8358.0,17775,2706.0,2373.0,5082,40674.0,44982.0,85656,5883.0,6621.0,12504,19326.0,14208.0,33531,3651.0,2412.0,6066,2022
21,maresme,702.0,228.0,930,2130.0,2340.0,4470,20979.0,16236.0,37215,7731.0,5742.0,13470,97077.0,106422.0,203499,18153.0,19335.0,37491,47283.0,37695.0,84984,6543.0,4593.0,11133,2022
22,montsia,132.0,60.0,192,117.0,120.0,234,4416.0,3396.0,7812,1164.0,993.0,2157,15678.0,18909.0,34584,2754.0,2838.0,5592,4410.0,3174.0,7587,798.0,498.0,1299,2022
23,noguera,78.0,69.0,147,69.0,81.0,147,2232.0,2058.0,4290,594.0,573.0,1167,8451.0,10944.0,19398,1290.0,1539.0,2829,2970.0,1905.0,4875,444.0,291.0,741,2022
24,osona,207.0,60.0,267,591.0,600.0,1191,8610.0,7620.0,16230,2325.0,1527.0,3852,35025.0,41856.0,76884,5613.0,6519.0,12138,14616.0,10002.0,24618,2325.0,1350.0,3675,2022
25,pallars jussa,9.0,3.0,12,45.0,54.0,99,888.0,810.0,1698,231.0,153.0,384,2484.0,3111.0,5595,549.0,777.0,1329,1281.0,951.0,2232,210.0,120.0,330,2022
26,pallars sobira,3.0,0.0,3,33.0,45.0,78,327.0,282.0,609,60.0,48.0,105,1326.0,1674.0,3006,291.0,507.0,798,867.0,633.0,1506,147.0,72.0,219,2022
27,pla d'urgell,87.0,42.0,132,66.0,84.0,150,2268.0,2118.0,4386,465.0,453.0,921,7878.0,10005.0,17883,1422.0,1635.0,3057,2673.0,1683.0,4356,444.0,219.0,666,2022
28,pla de l'estany,78.0,48.0,123,159.0,174.0,330,1560.0,1272.0,2835,456.0,453.0,909,6636.0,7647.0,14283,1149.0,1350.0,2499,3207.0,2196.0,5403,669.0,426.0,1098,2022
29,priorat,15.0,3.0,18,36.0,45.0,78,522.0,423.0,945,90.0,96.0,186,1968.0,2565.0,4533,372.0,516.0,888,792.0,594.0,1386,126.0,81.0,207,2022
30,ribera d'ebre,27.0,24.0,51,42.0,51.0,93,1635.0,1317.0,2949,345.0,228.0,573,4668.0,5601.0,10272,912.0,1233.0,2142,1566.0,1122.0,2685,261.0,168.0,429,2022
31,ripolles,42.0,24.0,69,87.0,81.0,168,1554.0,1164.0,2721,456.0,285.0,741,5619.0,6483.0,12105,933.0,1302.0,2238,2244.0,1620.0,3864,294.0,207.0,501,2022
32,segarra,12.0,6.0,15,45.0,39.0,87,1347.0,1560.0,2907,447.0,456.0,903,4980.0,6240.0,11220,708.0,969.0,1677,1665.0,1086.0,2754,270.0,144.0,417,2022
33,segria,438.0,204.0,642,948.0,1014.0,1962,10458.0,9771.0,20232,3333.0,3075.0,6408,44334.0,53049.0,97377,7608.0,8355.0,15969,18696.0,13302.0,31995,3243.0,2019.0,5265,2022
34,selva,429.0,294.0,723,516.0,495.0,1014,9246.0,8511.0,17760,2556.0,2259.0,4812,41925.0,48642.0,90567,5907.0,6147.0,12054,12405.0,8985.0,21387,1746.0,1056.0,2799,2022
35,solsones,15.0,15.0,27,36.0,45.0,81,690.0,561.0,1251,324.0,267.0,591,2721.0,3279.0,6003,609.0,780.0,1389,1191.0,849.0,2040,198.0,111.0,312,2022
36,tarragones,528.0,150.0,681,1395.0,1530.0,2928,13092.0,10320.0,23412,3606.0,2199.0,5805,56178.0,61530.0,117711,10869.0,12648.0,23517,23187.0,18138.0,41328,4314.0,2970.0,7287,2022
37,terra alta,18.0,12.0,30,18.0,21.0,39,960.0,819.0,1779,240.0,174.0,417,2592.0,3225.0,5814,306.0,375.0,681,705.0,423.0,1128,129.0,84.0,213,2022
38,urgell,51.0,21.0,72,102.0,84.0,189,2034.0,1926.0,3963,408.0,360.0,768,8193.0,10011.0,18201,1365.0,1527.0,2892,2952.0,1914.0,4866,450.0,261.0,711,2022
39,aran,6.0,6.0,9,33.0,36.0,72,378.0,351.0,732,75.0,39.0,114,2244.0,2718.0,4965,390.0,516.0,909,1068.0,816.0,1890,135.0,90.0,228,2022
40,valles occidental,1911.0,495.0,2406,4563.0,5196.0,9756,45075.0,31905.0,76983,12906.0,6948.0,19854,198396.0,215235.0,413634,39057.0,42687.0,81741,89778.0,71613.0,161388,13761.0,9960.0,23718,2022
