codi,comarca,poblacio_activa_16_a_24_anys,total,pct_activa,ratio_activa,any
01,alt camp,1539,45469,3.38,0.0338472365787679,2022
02,alt emporda,4728,143950,3.28,0.0328447377561653,2022
03,alt penedes,3915,110810,3.53,0.035330746322534,2022
04,alt urgell,609,20458,2.98,0.0297683057972431,2022
05,alta ribagorca,111,3989,2.78,0.0278265229380797,2022
06,anoia,4677,125073,3.74,0.0373941618095032,2022
07,bages,6681,180449,3.7,0.0370243115783406,2022
08,baix camp,6426,197690,3.25,0.032505437806667,2022
09,baix ebre,2574,79945,3.22,0.0321971355306773,2022
10,baix emporda,4017,138195,2.91,0.0290676218387061,2022
11,baix llobregat,30042,832079,3.61,0.0361047448619662,2022
12,baix penedes,3624,112260,3.23,0.0322822020309994,2022
13,barcelones,67518,2259035,2.99,0.0298879831432447,2022
14,bergueda,1341,40306,3.33,0.0332704808217138,2022
15,cerdanya,780,19469,4.01,0.0400636909959422,2022
16,conca de barbera,636,20211,3.15,0.0314680124684577,2022
17,garraf,4653,156331,2.98,0.0297637704613928,2022
18,garrigues,597,19027,3.14,0.0313764650233878,2022
19,garrotxa,2457,59694,4.12,0.0411599155694039,2022
20,girones,7950,197447,4.03,0.0402639695715812,2022
21,maresme,14688,461427,3.18,0.0318316873524956,2022
22,montsia,2082,69008,3.02,0.030170415024345,2022
23,noguera,1329,39188,3.39,0.0339134428906808,2022
24,osona,7221,164779,4.38,0.0438223317291645,2022
25,pallars jussa,384,13254,2.9,0.0289723856948845,2022
26,pallars sobira,228,7217,3.16,0.0315920742690868,2022
27,pla d'urgell,1320,37410,3.53,0.0352846832397754,2022
28,pla de l'estany,1311,32893,3.99,0.0398565044234335,2022
29,priorat,258,9311,2.77,0.0277091612071743,2022
30,ribera d'ebre,627,21917,2.86,0.0286079299174157,2022
31,ripolles,849,25578,3.32,0.0331925873797794,2022
32,segarra,972,23614,4.12,0.0411620225290082,2022
33,segria,7422,211473,3.51,0.0350966790086677,2022
34,selva,6093,176972,3.44,0.0344291752367606,2022
35,solsones,549,13685,4.01,0.04011691633175,2022
36,tarragones,8187,263676,3.1,0.0310494698038501,2022
37,terra alta,321,11419,2.81,0.0281110429985112,2022
38,urgell,1338,37370,3.58,0.0358041209526358,2022
39,aran,375,10243,3.66,0.0366103680562335,2022
40,valles occidental,34914,938356,3.72,0.0372076269560806,2022
41,valles oriental,16101,416758,3.86,0.0386339314422278,2022
42,moianes,612,14388,4.25,0.0425354462051709,2022
01,alt camp,1506,45078,3.34,0.0334087581525356,2021
02,alt emporda,4392,143397,3.06,0.0306282558212514,2021
03,alt penedes,3483,110198,3.16,0.0316067442240331,2021
04,alt urgell,546,20444,2.67,0.0267071023283114,2021
05,alta ribagorca,93,3960,2.35,0.0234848484848484,2021
06,anoia,4287,124130,3.45,0.0345363731571739,2021
07,bages,6156,180687,3.41,0.0340699662953062,2021
08,baix camp,5766,195096,2.96,0.0295546807725427,2021
09,baix ebre,2439,78967,3.09,0.030886319601859,2021
10,baix emporda,3699,137033,2.7,0.0269934979165602,2021
11,baix llobregat,27063,832374,3.25,0.0325130289989836,2021
12,baix penedes,3501,110157,3.18,0.0317819112720934,2021
13,barcelones,62103,2269922,2.74,0.0273590898718105,2021
14,bergueda,1239,39986,3.1,0.030985845045766,2021
15,cerdanya,621,19248,3.23,0.0322630922693266,2021
16,conca de barbera,591,20159,2.93,0.0293169304032938,2021
17,garraf,4275,154207,2.77,0.0277224769303598,2021
18,garrigues,588,19032,3.09,0.0308953341740227,2021
19,garrotxa,2175,59014,3.69,0.0368556613684888,2021
20,girones,7167,196278,3.65,0.0365145355057622,2021
21,maresme,13605,460187,2.96,0.0295640685199712,2021
22,montsia,2025,68523,2.96,0.0295521211855873,2021
23,noguera,1332,39143,3.4,0.0340290728865953,2021
24,osona,6660,163867,4.06,0.0406427163492344,2021
25,pallars jussa,360,13112,2.75,0.0274557657107992,2021
26,pallars sobira,207,7116,2.91,0.0290893760539629,2021
27,pla d'urgell,1188,37200,3.19,0.0319354838709677,2021
28,pla de l'estany,1224,32817,3.73,0.037297742023951,2021
29,priorat,249,9283,2.68,0.0268232252504578,2021
30,ribera d'ebre,549,21899,2.51,0.0250696378830083,2021
31,ripolles,762,25448,2.99,0.0299434140207481,2021
32,segarra,870,23455,3.71,0.0370923044127051,2021
33,segria,6846,210703,3.25,0.0324912317337674,2021
34,selva,5586,175335,3.19,0.0318590127470271,2021
35,solsones,492,13648,3.6,0.0360492379835873,2021
36,tarragones,7560,262868,2.88,0.0287596816653225,2021
37,terra alta,270,11405,2.37,0.0236738272687417,2021
38,urgell,1218,37239,3.27,0.0327076452106662,2021
39,aran,273,10361,2.63,0.0263488080301129,2021
40,valles occidental,32106,937386,3.43,0.034250564868688,2021
41,valles oriental,14415,415315,3.47,0.0347085946811456,2021
42,moianes,546,14219,3.84,0.0383993248470356,2021
