codi,comarca,poblacio_total_16_a_24_anys,poblacio_homes_16_a_24_anys,poblacio_dones_16_a_24_anys,any
01,alt camp,4336,2330,2006,2022
02,alt emporda,13680,7019,6661,2022
03,alt penedes,10923,5668,5255,2022
04,alt urgell,1786,949,837,2022
05,alta ribagorca,338,172,166,2022
06,anoia,12453,6555,5898,2022
07,bages,17076,8917,8159,2022
08,baix camp,19572,10055,9517,2022
09,baix ebre,7362,4013,3349,2022
10,baix emporda,12629,6580,6049,2022
11,baix llobregat,82330,42682,39648,2022
12,baix penedes,10489,5371,5118,2022
13,barcelones,199569,102273,97296,2022
14,bergueda,3354,1769,1585,2022
15,cerdanya,1902,1034,868,2022
16,conca de barbera,1877,1001,876,2022
17,garraf,15018,7741,7277,2022
18,garrigues,1597,886,711,2022
19,garrotxa,5754,3184,2570,2022
20,girones,20926,10943,9983,2022
21,maresme,44582,23479,21103,2022
22,montsia,6441,3476,2965,2022
23,noguera,3561,1916,1645,2022
24,osona,16380,8696,7684,2022
25,pallars jussa,1100,563,537,2022
26,pallars sobira,603,314,289,2022
27,pla d'urgell,3500,1841,1659,2022
28,pla de l'estany,3270,1685,1585,2022
29,priorat,737,405,332,2022
30,ribera d'ebre,1850,968,882,2022
31,ripolles,2031,1055,976,2022
32,segarra,2439,1341,1098,2022
33,segria,20470,10857,9613,2022
34,selva,17271,9220,8051,2022
35,solsones,1309,685,624,2022
36,tarragones,25422,13162,12260,2022
37,terra alta,921,481,440,2022
38,urgell,3639,1911,1728,2022
39,aran,872,477,395,2022
40,valles occidental,96038,49326,46712,2022
41,valles oriental,42521,22116,20405,2022
42,moianes,1403,755,648,2022
01,alt camp,4201,2224,1977,2021
02,alt emporda,13308,6800,6508,2021
03,alt penedes,10482,5389,5093,2021
04,alt urgell,1732,921,811,2021
05,alta ribagorca,300,146,154,2021
06,anoia,12011,6309,5702,2021
07,bages,16712,8739,7973,2021
08,baix camp,18806,9630,9176,2021
09,baix ebre,7203,3935,3268,2021
10,baix emporda,12386,6455,5931,2021
11,baix llobregat,79722,41223,38499,2021
12,baix penedes,10061,5159,4902,2021
13,barcelones,197645,101714,95931,2021
14,bergueda,3212,1683,1529,2021
15,cerdanya,1797,953,844,2021
16,conca de barbera,1815,967,848,2021
17,garraf,14534,7488,7046,2021
18,garrigues,1617,901,716,2021
19,garrotxa,5556,3021,2535,2021
20,girones,20432,10627,9805,2021
21,maresme,43455,22975,20480,2021
22,montsia,6157,3272,2885,2021
23,noguera,3539,1956,1583,2021
24,osona,15863,8367,7496,2021
25,pallars jussa,1076,548,528,2021
26,pallars sobira,576,304,272,2021
27,pla d'urgell,3418,1820,1598,2021
28,pla de l'estany,3244,1683,1561,2021
29,priorat,714,388,326,2021
30,ribera d'ebre,1806,931,875,2021
31,ripolles,1924,1011,913,2021
32,segarra,2367,1299,1068,2021
33,segria,19923,10611,9312,2021
34,selva,16912,9017,7895,2021
35,solsones,1245,652,593,2021
36,tarragones,24856,12933,11923,2021
37,terra alta,901,471,430,2021
38,urgell,3515,1849,1666,2021
