codi,comarca,dones,homes,total,any
01,alt camp,22337,23132,45469,2022
02,alt emporda,71693,72257,143950,2022
03,alt penedes,55374,55436,110810,2022
04,alt urgell,10217,10241,20458,2022
05,alta ribagorca,1927,2062,3989,2022
06,anoia,62004,63069,125073,2022
07,bages,90965,89484,180449,2022
08,baix camp,100140,97550,197690,2022
09,baix ebre,39428,40517,79945,2022
10,baix emporda,69057,69138,138195,2022
11,baix llobregat,423386,408693,832079,2022
12,baix penedes,56064,56196,112260,2022
13,barcelones,1175889,1083146,2259035,2022
14,bergueda,20148,20158,40306,2022
15,cerdanya,9484,9985,19469,2022
16,conca de barbera,9848,10363,20211,2022
17,garraf,78928,77403,156331,2022
18,garrigues,9058,9969,19027,2022
19,garrotxa,29518,30176,59694,2022
20,girones,99576,97871,197447,2022
21,maresme,233746,227681,461427,2022
22,montsia,34142,34866,69008,2022
23,noguera,18803,20385,39188,2022
24,osona,81869,82910,164779,2022
25,pallars jussa,6460,6794,13254,2022
26,pallars sobira,3489,3728,7217,2022
27,pla d'urgell,18163,19247,37410,2022
28,pla de l'estany,16508,16385,32893,2022
29,priorat,4428,4883,9311,2022
30,ribera d'ebre,10741,11176,21917,2022
31,ripolles,12758,12820,25578,2022
32,segarra,11232,12382,23614,2022
33,segria,104450,107023,211473,2022
34,selva,87344,89628,176972,2022
35,solsones,6751,6934,13685,2022
36,tarragones,133062,130614,263676,2022
37,terra alta,5604,5815,11419,2022
38,urgell,18375,18995,37370,2022
39,aran,4985,5258,10243,2022
40,valles occidental,477644,460712,938356,2022
41,valles oriental,209094,207664,416758,2022
42,moianes,6961,7427,14388,2022
01,alt camp,22207,22871,45078,2021
02,alt emporda,71368,72029,143397,2021
03,alt penedes,55158,55040,110198,2021
04,alt urgell,10207,10237,20444,2021
05,alta ribagorca,1927,2033,3960,2021
06,anoia,61580,62550,124130,2021
07,bages,91096,89591,180687,2021
08,baix camp,98999,96097,195096,2021
09,baix ebre,39037,39930,78967,2021
10,baix emporda,68445,68588,137033,2021
11,baix llobregat,423448,408926,832374,2021
12,baix penedes,54821,55336,110157,2021
13,barcelones,1181328,1088594,2269922,2021
14,bergueda,19989,19997,39986,2021
15,cerdanya,9424,9824,19248,2021
16,conca de barbera,9825,10334,20159,2021
17,garraf,77962,76245,154207,2021
18,garrigues,9045,9987,19032,2021
19,garrotxa,29285,29729,59014,2021
20,girones,98979,97299,196278,2021
21,maresme,232591,227596,460187,2021
22,montsia,33933,34590,68523,2021
23,noguera,18748,20395,39143,2021
24,osona,81411,82456,163867,2021
25,pallars jussa,6422,6690,13112,2021
26,pallars sobira,3459,3657,7116,2021
27,pla d'urgell,18096,19104,37200,2021
28,pla de l'estany,16438,16379,32817,2021
29,priorat,4430,4853,9283,2021
30,ribera d'ebre,10763,11136,21899,2021
31,ripolles,12723,12725,25448,2021
32,segarra,11174,12281,23455,2021
33,segria,104205,106498,210703,2021
34,selva,86595,88740,175335,2021
35,solsones,6752,6896,13648,2021
36,tarragones,132277,130591,262868,2021
37,terra alta,5590,5815,11405,2021
38,urgell,18344,18895,37239,2021
39,aran,5063,5298,10361,2021
40,valles occidental,476796,460590,937386,2021
41,valles oriental,208227,207088,415315,2021
42,moianes,6906,7313,14219,2021
01,alt camp,22027,22706,44733,2020
02,alt emporda,70677,71351,142028,2020
03,alt penedes,54846,54656,109502,2020
04,alt urgell,10072,10114,20186,2020
05,alta ribagorca,1862,1979,3841,2020
06,anoia,60971,61888,122859,2020
07,bages,90836,89129,179965,2020
08,baix camp,98298,95598,193896,2020
09,baix ebre,38622,39324,77946,2020
10,baix emporda,67555,67450,135005,2020
11,baix llobregat,422862,408785,831647,2020
12,baix penedes,53268,53929,107197,2020
13,barcelones,1190466,1094010,2284476,2020
14,bergueda,19905,19915,39820,2020
15,cerdanya,9080,9422,18502,2020
16,conca de barbera,9735,10229,19964,2020
17,garraf,76915,75049,151964,2020
18,garrigues,9015,9920,18935,2020
19,garrotxa,28998,29328,58326,2020
20,girones,98532,97031,195563,2020
21,maresme,231213,226109,457322,2020
22,montsia,33803,34510,68313,2020
23,noguera,18720,20295,39015,2020
24,osona,81034,81872,162906,2020
25,pallars jussa,6409,6738,13147,2020
26,pallars sobira,3361,3552,6913,2020
