codi,comarca,"poblacio_pensionista_de_jubilacio,_prejubilacio",poblacio_pensionista_d'invalidesa,poblacio_estudiant,poblacio_amb_una_altra_situacio_d'inactivitat,total_poblacio_inactiva,total_poblacio,pct_atur,ratio_atur,any
01,alt camp,7558,1094,2090,5614,16356,45469,12.35,0.1234687369416525,2022
02,alt emporda,20492,2163,5896,27505,56056,143950,19.11,0.1910732893365752,2022
03,alt penedes,16105,2289,4900,14457,37751,110810,13.05,0.1304665643894955,2022
04,alt urgell,3528,477,893,4222,9120,20458,20.64,0.2063740346074885,2022
05,alta ribagorca,592,102,195,569,1458,3989,14.26,0.1426422662321383,2022
06,anoia,20332,3393,5609,14134,43468,125073,11.3,0.1130060044933758,2022
07,bages,33629,5641,7761,20018,67049,180449,11.09,0.110934391434699,2022
08,baix camp,28171,4373,9794,30283,72621,197690,15.32,0.1531842784157013,2022
09,baix ebre,13779,1991,3494,12907,32171,79945,16.14,0.1614484958408906,2022
10,baix emporda,21845,2071,5693,25838,55447,138195,18.7,0.1869676905821484,2022
11,baix llobregat,117915,18117,39481,112806,288319,832079,13.56,0.1355712618633567,2022
12,baix penedes,17420,3218,4670,18179,43487,112260,16.19,0.1619365758061642,2022
13,barcelones,369532,41323,98711,379141,888707,2259035,16.78,0.1678331677021383,2022
14,bergueda,9272,1601,1471,4226,16570,40306,10.48,0.1048479134620155,2022
15,cerdanya,2674,245,777,3164,6860,19469,16.25,0.1625147670655914,2022
16,conca de barbera,3903,388,916,2342,7549,20211,11.59,0.1158774924546039,2022
17,garraf,22849,2986,7094,25616,58545,156331,16.39,0.1638574562946568,2022
18,garrigues,3906,429,754,2439,7528,19027,12.82,0.1281862616282125,2022
19,garrotxa,11537,906,2202,6432,21077,59694,10.77,0.1077495225650819,2022
20,girones,26636,2965,9142,26291,65034,197447,13.32,0.1331547200008103,2022
21,maresme,73183,8996,22513,63803,168495,461427,13.83,0.138273226317489,2022
22,montsia,11309,1732,3311,11087,27439,69008,16.07,0.1606625318803617,2022
23,noguera,6493,826,1608,5423,14350,39188,13.84,0.1383841992446667,2022
24,osona,27551,3626,6699,17325,55201,164779,10.51,0.1051408249837661,2022
25,pallars jussa,2849,311,521,1720,5401,13254,12.98,0.1297721442583371,2022
26,pallars sobira,1259,158,295,791,2503,7217,10.96,0.1096023278370514,2022
27,pla d'urgell,5309,846,1632,5011,12798,37410,13.39,0.1339481422079657,2022
28,pla de l'estany,5272,424,1521,3327,10544,32893,10.11,0.1011461405162192,2022
29,priorat,2035,178,367,1214,3794,9311,13.04,0.1303834174632155,2022
30,ribera d'ebre,4265,493,923,3775,9456,21917,17.22,0.1722407263767851,2022
31,ripolles,6168,602,866,2453,10089,25578,9.59,0.095902728907655,2022
32,segarra,3436,598,1011,2720,7765,23614,11.52,0.1151859066655374,2022
33,segria,30638,4913,9522,30005,75078,211473,14.19,0.1418857253644673,2022
34,selva,26182,3435,7380,33085,70082,176972,18.7,0.1869504780417241,2022
35,solsones,2308,369,576,1589,4842,13685,11.61,0.1161125319693094,2022
36,tarragones,36188,5829,12698,44132,98847,263676,16.74,0.1673720778531227,2022
37,terra alta,2741,206,472,1448,4867,11419,12.68,0.1268062001926613,2022
38,urgell,5935,798,1718,4740,13191,37370,12.68,0.1268397109981268,2022
39,aran,1236,171,360,1344,3111,10243,13.12,0.1312115591135409,2022
40,valles occidental,137239,22767,46768,110925,317699,938356,11.82,0.1182120645043032,2022
41,valles oriental,59998,9142,19685,50652,139477,416758,12.15,0.1215381588355832,2022
42,moianes,2524,310,587,1467,4888,14388,10.2,0.1019599666388657,2022
01,alt camp,7412,1109,1994,5576,16091,45078,12.37,0.1236967034917254,2021
02,alt emporda,20002,2157,5826,27485,55470,143397,19.17,0.1916706765134556,2021
03,alt penedes,15768,2313,5149,14165,37395,110198,12.85,0.1285413528376195,2021
04,alt urgell,3445,491,853,4243,9032,20444,20.75,0.2075425552729407,2021
05,alta ribagorca,583,101,171,580,1435,3960,14.65,0.1464646464646464,2021
06,anoia,19928,3410,5593,14111,43042,124130,11.37,0.1136792072826875,2021
07,bages,33142,5819,7676,20637,67274,180687,11.42,0.1142140829168672,2021
08,baix camp,27415,4388,9723,29913,71439,195096,15.33,0.1533245171607823,2021
09,baix ebre,13574,1933,3561,12215,31283,78967,15.47,0.1546848683627338,2021
10,baix emporda,21298,2111,5740,25739,54888,137033,18.78,0.1878306685250998,2021
11,baix llobregat,115387,18336,39116,113487,286326,832374,13.63,0.136341356169222,2021
12,baix penedes,16777,3172,4478,17568,41995,110157,15.95,0.1594814673602222,2021
13,barcelones,368308,43051,98974,383716,894049,2269922,16.9,0.1690436940123934,2021
14,bergueda,9154,1689,1441,4091,16375,39986,10.23,0.102310808783074,2021
15,cerdanya,2596,271,813,3318,6998,19248,17.24,0.1723815461346633,2021
16,conca de barbera,3833,401,905,2371,7510,20159,11.76,0.1176149610595763,2021
17,garraf,22043,3078,7091,24820,57032,154207,16.1,0.1609524859442178,2021
18,garrigues,3881,443,760,2456,7540,19032,12.9,0.1290458175704077,2021
19,garrotxa,11311,940,2270,6552,21073,59014,11.1,0.1110245026603856,2021
20,girones,25945,3044,9203,26666,64858,196278,13.59,0.135858323398445,2021
21,maresme,71498,9141,22312,64215,167166,460187,13.95,0.1395410995964684,2021
22,montsia,11177,1734,3124,10736,26771,68523,15.67,0.1566773200239335,2021
23,noguera,6420,840,1543,5503,14306,39143,14.06,0.1405870781493498,2021
24,osona,26980,3745,6692,17605,55022,163867,10.74,0.1074346878871279,2021
25,pallars jussa,2815,320,528,1637,5300,13112,12.48,0.1248474679682733,2021
26,pallars sobira,1222,165,310,765,2462,7116,10.75,0.107504215851602,2021
27,pla d'urgell,5278,847,1623,5090,12838,37200,13.68,0.1368279569892473,2021
28,pla de l'estany,5140,436,1485,3506,10567,32817,10.68,0.1068348721699119,2021
29,priorat,2008,170,369,1193,3740,9283,12.85,0.128514488850587,2021
30,ribera d'ebre,4210,496,952,3710,9368,21899,16.94,0.1694141284990182,2021
31,ripolles,6130,646,872,2398,10046,25448,9.42,0.0942313737818296,2021
32,segarra,3324,591,1052,2718,7685,23455,11.59,0.1158814751652099,2021
33,segria,30309,5022,9500,29828,74659,210703,14.16,0.1415641922516528,2021
34,selva,25493,3436,7366,33322,69617,175335,19.0,0.1900476231214532,2021
35,solsones,2274,389,605,1602,4870,13648,11.74,0.117379835873388,2021
36,tarragones,35132,5878,12797,44965,98772,262868,17.11,0.171055434666829,2021
37,terra alta,2765,204,501,1420,4890,11405,12.45,0.1245067952652345,2021
38,urgell,5850,778,1727,4707,13062,37239,12.64,0.126399742205752,2021
39,aran,1186,180,436,1616,3418,10361,15.6,0.1559695010134157,2021
40,valles occidental,134506,23300,46379,111502,315687,937386,11.89,0.1189499309782736,2021
41,valles oriental,58310,9354,19704,51593,138961,415315,12.42,0.12422618975958,2021
42,moianes,2474,324,620,1509,4927,14219,10.61,0.1061256065827414,2021
