codi,comarca,espanyola,resta_ue,resta_d'europa,africa,america_del_nord_i_central,america_del_sud,asia_i_oceania,total,espanyola_pct,espanyola_ratio,resta_ue_pct,resta_ue_ratio,resta_d'europa_pct,resta_d'europa_ratio,africa_pct,africa_ratio,america_del_nord_i_central_pct,america_del_nord_i_central_ratio,america_del_sud_pct,america_del_sud_ratio,asia_i_oceania_pct,asia_i_oceania_ratio,any
01,alt camp,39463,1320,491,2884,240,741,330,45469,86.79,0.8679100046185313,2.9,0.0290307682157074,1.08,0.0107985660559941,6.34,0.0634278299500758,0.53,0.0052783214937649,1.63,0.0162968176119993,0.73,0.0072576920539268,2022
02,alt emporda,108698,10998,2780,13567,2558,4222,1127,143950,75.51,0.7551094129906217,7.64,0.0764015283084404,1.93,0.0193122612018061,9.42,0.0942480027787426,1.78,0.0177700590482806,2.93,0.0293296283431747,0.78,0.0078291073289336,2022
03,alt penedes,98944,1801,792,5725,693,2022,833,110810,89.29,0.8929158018229402,1.63,0.0162530457539933,0.71,0.0071473693709953,5.17,0.0516650121830159,0.63,0.0062539481996209,1.82,0.0182474505911018,0.75,0.0075173720783322,2022
04,alt urgell,17783,944,301,457,182,668,123,20458,86.92,0.869244305406198,4.61,0.0461433180174015,1.47,0.014713070681396,2.23,0.0223384495063056,0.89,0.0088962752957278,3.27,0.0326522631733307,0.6,0.0060123179196402,2022
05,alta ribagorca,3473,179,62,140,37,89,9,3989,87.06,0.8706442717473051,4.49,0.0448734018551015,1.55,0.0155427425419904,3.51,0.0350965154173978,0.93,0.0092755076460265,2.23,0.0223113562296314,0.23,0.002256204562547,2022
06,anoia,113208,2018,664,5788,660,1789,946,125073,90.51,0.9051354009258592,1.61,0.0161345774067944,0.53,0.005308899602632,4.63,0.0462769742470397,0.53,0.0052769182797246,1.43,0.0143036466703445,0.76,0.0075635828676053,2022
07,bages,157910,3783,1322,10883,1659,3291,1601,180449,87.51,0.8750949021607213,2.1,0.0209643722048889,0.73,0.0073261697210846,6.03,0.0603106694966444,0.92,0.0091937334094397,1.82,0.0182378400545306,0.89,0.0088723129526902,2022
08,baix camp,164349,9127,2792,12747,1351,5517,1807,197690,83.13,0.831347058525975,4.62,0.0461682432090646,1.41,0.0141231220597905,6.45,0.0644797410086499,0.68,0.0068339319136021,2.79,0.0279073296575446,0.91,0.009140573625373,2022
09,baix ebre,65553,4137,1778,5045,503,1089,1840,79945,82.0,0.8199762336606417,5.17,0.0517480768028019,2.22,0.0222402901995121,6.31,0.0631058852961411,0.63,0.0062918256301207,1.36,0.0136218650322096,2.3,0.0230158233785727,2022
10,baix emporda,110768,6570,4472,10778,2406,2227,974,138195,80.15,0.8015340641846666,4.75,0.0475415174210355,3.24,0.0323600709142877,7.8,0.0779912442563044,1.74,0.0174101812656029,1.61,0.0161149100908137,0.7,0.0070480118672889,2022
11,baix llobregat,741791,20896,6745,21512,7329,22469,11337,832079,89.15,0.8914910723621194,2.51,0.025113000087732,0.81,0.0081062014544292,2.59,0.0258533144088481,0.88,0.0088080578887341,2.7,0.0270034455862964,1.36,0.0136249082118404,2022
12,baix penedes,94994,4342,1530,6198,868,3319,1009,112260,84.62,0.8461963299483343,3.87,0.0386780687689292,1.36,0.0136290753607696,5.52,0.055211117049706,0.77,0.0077320505968287,2.96,0.0295652948512381,0.9,0.0089880634241938,2022
13,barcelones,1797823,105540,39312,41800,52615,111410,110535,2259035,79.58,0.7958367178906037,4.67,0.0467190636709922,1.74,0.0174021208170745,1.85,0.0185034760417611,2.33,0.0232909184673986,4.93,0.0493175183208759,4.89,0.0489301847912936,2022
14,bergueda,36253,891,214,1433,333,907,275,40306,89.94,0.899444251476207,2.21,0.0221058899419441,0.53,0.0053093832183793,3.56,0.0355530194015779,0.83,0.0082617972510296,2.25,0.0225028531732248,0.68,0.006822805537637,2022
15,cerdanya,16758,736,251,361,237,1041,85,19469,86.08,0.860752991935898,3.78,0.0378036879141198,1.29,0.0128922903076686,1.85,0.0185422980122245,1.22,0.0121731984179978,5.35,0.0534696183676614,0.44,0.0043659150444296,2022
16,conca de barbera,17800,760,288,947,72,178,166,20211,88.07,0.8807085250606106,3.76,0.0376032853396665,1.42,0.0142496660234525,4.69,0.0468556726535055,0.36,0.0035624165058631,0.88,0.0088070852506061,0.82,0.0082133491662955,2022
17,garraf,132856,8930,3641,3492,1549,4294,1569,156331,84.98,0.8498378440616384,5.71,0.0571223877541882,2.33,0.0232903262948487,2.23,0.0223372203849524,0.99,0.0099084634525462,2.75,0.027467360920099,1.0,0.0100363971317269,2022
18,garrigues,16217,1237,78,1252,55,128,60,19027,85.23,0.8523151311294477,6.5,0.0650128764387449,0.41,0.0040994376412466,6.58,0.0658012298312923,0.29,0.0028906291060072,0.67,0.0067272822830714,0.32,0.0031534135701897,2022
19,garrotxa,49207,1910,777,2757,1283,1104,2656,59694,82.43,0.8243207022481321,3.2,0.0319965155627031,1.3,0.0130163835561362,4.62,0.0461855462860589,2.15,0.0214929473648942,1.85,0.0184943210372901,4.45,0.044493583944785,2022
20,girones,157744,6375,2058,16186,7974,4073,3037,197447,79.89,0.7989181907043409,3.23,0.0322871454111736,1.04,0.0104230502362659,8.2,0.0819764291176872,4.04,0.040385521177835,2.06,0.020628320511327,1.54,0.01538134284137,2022
21,maresme,405563,11786,4804,20445,3771,8948,6110,461427,87.89,0.8789320954343808,2.55,0.0255425018475295,1.04,0.0104111809668701,4.43,0.0443082004304039,0.82,0.008172473652387,1.94,0.0193920165053193,1.32,0.0132415311631092,2022
