codi,comarca,rfdb_(miles_de_euros),rfdb_por_habitante_(euros),rfdb_por_habitante_(index_catalunya=100_por_habitante),any
01,alt camp,747053,16512,90.0,2021
02,alt emporda,2059702,14339,78.1,2021
03,alt penedes,1958312,17716,96.5,2021
04,alt urgell,293835,14416,78.5,2021
05,alta ribagorca,60948,15345,83.6,2021
06,anoia,2057769,16506,89.9,2021
07,bages,3153459,17465,95.1,2021
08,baix camp,3189934,16245,88.5,2021
09,baix ebre,1174585,14784,80.5,2021
10,baix emporda,2116012,15378,83.8,2021
11,baix llobregat,15751847,18927,103.1,2021
12,baix penedes,1706031,15343,83.6,2021
13,barcelones,45953396,20293,110.6,2021
14,bergueda,711230,17716,96.5,2021
15,cerdanya,299295,15438,84.1,2021
16,conca de barbera,336940,16692,90.9,2021
17,garraf,2897774,18660,101.7,2021
18,garrigues,282591,14863,81.0,2021
19,garrotxa,1037755,17472,95.2,2021
20,girones,3400316,17270,94.1,2021
21,maresme,8492189,18427,100.4,2021
22,montsia,958485,13938,75.9,2021
23,noguera,562999,14381,78.3,2021
24,osona,2937321,17874,97.4,2021
25,pallars jussa,203144,15383,83.8,2021
26,pallars sobira,112200,15714,85.6,2021
27,pla d'urgell,587604,15736,85.7,2021
28,pla de l'estany,594220,18085,98.5,2021
29,priorat,141564,15298,83.3,2021
30,ribera d'ebre,338736,15458,84.2,2021
31,ripolles,451187,17685,96.3,2021
32,segarra,356668,15157,82.6,2021
33,segria,3483464,16502,89.9,2021
34,selva,2661839,15112,82.3,2021
35,solsones,216864,15864,86.4,2021
36,tarragones,4272332,16229,88.4,2021
37,terra alta,164612,14408,78.5,2021
38,urgell,572617,15345,83.6,2021
39,aran,164805,15982,87.1,2021
40,valles occidental,17936978,19125,104.2,2021
41,valles oriental,7714105,18543,101.0,2021
42,moianes,250635,17549,95.6,2021
01,alt camp,700228,15550,88.6,2020
02,alt emporda,1949301,13934,79.4,2020
03,alt penedes,1831259,16626,94.7,2020
04,alt urgell,276359,13732,78.3,2020
05,alta ribagorca,57401,14665,83.6,2020
06,anoia,1931146,15604,88.9,2020
07,bages,3001099,16723,95.3,2020
