codi,comarca,recursos._remuneracion_asalariados,recursos._excedente_bruto_explotacion,recursos._prestaciones_sociales,usos._cotizaciones_sociales,usos._impuestos,any
01,alt camp,593173,173872,240921,179399,96508,2021
02,alt emporda,1583386,657018,598935,512052,329330,2021
03,alt penedes,1652972,474524,592603,490413,277769,2021
04,alt urgell,197416,91423,97949,63921,36509,2021
05,alta ribagorca,42647,22887,18521,14839,8501,2021
06,anoia,1696788,486069,651790,506399,282287,2021
07,bages,2476425,682107,1129607,733868,462625,2021
08,baix camp,2673489,786124,977987,809751,484351,2021
09,baix ebre,879457,323935,392050,275172,155446,2021
10,baix emporda,1607331,689956,608321,514827,352342,2021
11,baix llobregat,13534309,3890264,4612811,3956360,2571756,2021
12,baix penedes,1312514,462921,571986,406048,235821,2021
13,barcelones,36156593,12537642,14486022,10838689,8616994,2021
14,bergueda,454422,177582,291493,143506,82141,2021
15,cerdanya,211457,131247,70517,72945,52641,2021
16,conca de barbera,260563,87284,108004,80077,44074,2021
17,garraf,2414220,832888,812974,724294,529977,2021
18,garrigues,199056,81098,95717,65986,33160,2021
19,garrotxa,832725,236445,319085,246963,147934,2021
20,girones,2986923,837731,944858,878255,602061,2021
21,maresme,6838929,2446202,2430651,2075576,1442106,2021
22,montsia,690049,273157,319980,222477,111182,2021
23,noguera,425318,158858,180643,138353,73637,2021
24,osona,2435174,703086,869606,722990,432348,2021
25,pallars jussa,141136,56847,75459,45973,27550,2021
26,pallars sobira,76338,44018,31391,27279,14439,2021
27,pla d'urgell,480832,141893,163877,147434,80651,2021
28,pla de l'estany,495932,154105,151314,146441,91903,2021
29,priorat,94095,47450,46794,32215,15869,2021
30,ribera d'ebre,248566,86360,126346,77177,48320,2021
31,ripolles,314266,121904,170576,98107,63175,2021
32,segarra,296926,87902,100229,91516,46945,2021
33,segria,2961208,787493,1047600,886421,583938,2021
34,selva,2063512,724494,853605,659519,356642,2021
35,solsones,156428,64507,68777,51273,27598,2021
36,tarragones,3656818,1027691,1347972,1095165,711513,2021
37,terra alta,94694,56645,61732,35248,14771,2021
38,urgell,455009,140902,175954,140556,75366,2021
39,aran,125690,59200,45755,43448,27134,2021
40,valles occidental,15494579,4403453,5083026,4513779,2954908,2021
41,valles oriental,6530722,1979605,2177147,1929047,1172642,2021
42,moianes,198306,74843,69532,61459,37111,2021
01,alt camp,549547,158967,237283,170612,90319,2020
02,alt emporda,1451220,590288,603165,481126,297021,2020
03,alt penedes,1514625,432157,585561,461966,260083,2020
04,alt urgell,183086,80550,96098,61099,33868,2020
05,alta ribagorca,41550,19002,18379,14397,7793,2020
06,anoia,1554453,443514,656201,481375,259235,2020
07,bages,2301889,621105,1117425,703503,414278,2020
