codi,comarca,total_repetixen,poblacio_estudiant,pct_repetidors,ratio_repetidors,any
01,alt camp,125,2090,5.98,0.0598086124401913,2022
02,alt emporda,339,5896,5.75,0.0574966078697422,2022
03,alt penedes,241,4900,4.92,0.0491836734693877,2022
04,alt urgell,50,893,5.6,0.0559910414333706,2022
05,alta ribagorca,13,195,6.67,0.0666666666666666,2022
06,anoia,331,5609,5.9,0.0590123016580495,2022
07,bages,331,7761,4.26,0.0426491431516557,2022
08,baix camp,526,9794,5.37,0.0537063508270369,2022
09,baix ebre,180,3494,5.15,0.0515168860904407,2022
10,baix emporda,302,5693,5.3,0.0530476023186369,2022
11,baix llobregat,1736,39481,4.4,0.0439705174640966,2022
12,baix penedes,305,4670,6.53,0.0653104925053533,2022
13,barcelones,4046,98711,4.1,0.0409883396987164,2022
14,bergueda,48,1471,3.26,0.0326308633582596,2022
15,cerdanya,48,777,6.18,0.0617760617760617,2022
16,conca de barbera,26,916,2.84,0.0283842794759825,2022
17,garraf,338,7094,4.76,0.0476458979419227,2022
18,garrigues,27,754,3.58,0.0358090185676392,2022
19,garrotxa,101,2202,4.59,0.0458673932788374,2022
20,girones,443,9142,4.85,0.0484576679063662,2022
21,maresme,812,22513,3.61,0.0360680495713587,2022
22,montsia,170,3311,5.13,0.0513440048323769,2022
23,noguera,63,1608,3.92,0.0391791044776119,2022
24,osona,329,6699,4.91,0.0491118077324973,2022
25,pallars jussa,33,521,6.33,0.0633397312859884,2022
26,pallars sobira,3,295,1.02,0.0101694915254237,2022
27,pla d'urgell,87,1632,5.33,0.0533088235294117,2022
28,pla de l'estany,41,1521,2.7,0.0269559500328731,2022
29,priorat,15,367,4.09,0.0408719346049046,2022
30,ribera d'ebre,55,923,5.96,0.0595882990249187,2022
31,ripolles,20,866,2.31,0.023094688221709,2022
32,segarra,46,1011,4.55,0.0454995054401582,2022
33,segria,613,9522,6.44,0.064377231674018,2022
34,selva,337,7380,4.57,0.0456639566395664,2022
35,solsones,27,576,4.69,0.046875,2022
36,tarragones,717,12698,5.65,0.0564655851315167,2022
37,terra alta,5,472,1.06,0.010593220338983,2022
38,urgell,86,1718,5.01,0.0500582072176949,2022
40,valles occidental,2006,46768,4.29,0.0428925761204242,2022
41,valles oriental,701,19685,3.56,0.0356108712217424,2022
42,moianes,16,587,2.73,0.0272572402044293,2022
01,alt camp,137,1994,6.87,0.0687061183550652,2021
02,alt emporda,316,5826,5.42,0.0542396155166495,2021
03,alt penedes,192,5149,3.73,0.0372887939405709,2021
04,alt urgell,44,853,5.16,0.0515826494724501,2021
05,alta ribagorca,10,171,5.85,0.0584795321637426,2021
06,anoia,309,5593,5.52,0.0552476309672805,2021
07,bages,270,7676,3.52,0.0351745700885878,2021
08,baix camp,466,9723,4.79,0.0479275943638794,2021
09,baix ebre,159,3561,4.47,0.0446503791069924,2021
10,baix emporda,187,5740,3.26,0.0325783972125435,2021
11,baix llobregat,1672,39116,4.27,0.0427446569178852,2021
12,baix penedes,289,4478,6.45,0.0645377400625279,2021
13,barcelones,3703,98974,3.74,0.0374138662679087,2021
14,bergueda,42,1441,2.91,0.0291464260929909,2021
15,cerdanya,44,813,5.41,0.054120541205412,2021
16,conca de barbera,27,905,2.98,0.0298342541436464,2021
17,garraf,334,7091,4.71,0.047101960231279,2021
18,garrigues,35,760,4.61,0.0460526315789473,2021
19,garrotxa,97,2270,4.27,0.0427312775330396,2021
20,girones,402,9203,4.37,0.0436814082364446,2021
21,maresme,800,22312,3.59,0.0358551452133381,2021
22,montsia,123,3124,3.94,0.0393725992317541,2021
23,noguera,80,1543,5.18,0.051847051198963,2021
24,osona,247,6692,3.69,0.0369097429766885,2021
25,pallars jussa,14,528,2.65,0.0265151515151515,2021
26,pallars sobira,5,310,1.61,0.0161290322580645,2021
27,pla d'urgell,105,1623,6.47,0.0646950092421441,2021
28,pla de l'estany,43,1485,2.9,0.0289562289562289,2021
29,priorat,14,369,3.79,0.037940379403794,2021
30,ribera d'ebre,33,952,3.47,0.0346638655462184,2021
31,ripolles,48,872,5.5,0.055045871559633,2021
32,segarra,52,1052,4.94,0.0494296577946768,2021
33,segria,536,9500,5.64,0.0564210526315789,2021
34,selva,308,7366,4.18,0.0418137387998913,2021
35,solsones,26,605,4.3,0.0429752066115702,2021
36,tarragones,701,12797,5.48,0.0547784637024302,2021
37,terra alta,5,501,1.0,0.0099800399201596,2021
38,urgell,65,1727,3.76,0.0376375217139548,2021
40,valles occidental,1906,46379,4.11,0.0410961857737338,2021
41,valles oriental,658,19704,3.34,0.0333942346731628,2021
42,moianes,13,620,2.1,0.0209677419354838,2021
