codi,comarca,tipus_estudis,sexe,valor,any
01,alt camp,educacio_obligatoria,dones,12360,2022
01,alt camp,educacio_obligatoria,homes,13899,2022
01,alt camp,estudis_superiors,dones,5841,2022
01,alt camp,estudis_superiors,homes,5229,2022
01,alt camp,sense_educacio,dones,780,2022
01,alt camp,sense_educacio,homes,528,2022
02,alt emporda,educacio_obligatoria,dones,42156,2022
02,alt emporda,educacio_obligatoria,homes,45408,2022
02,alt emporda,estudis_superiors,dones,15861,2022
02,alt emporda,estudis_superiors,homes,12930,2022
02,alt emporda,sense_educacio,dones,2979,2022
02,alt emporda,sense_educacio,homes,2655,2022
03,alt penedes,sense_educacio,homes,819,2022
03,alt penedes,sense_educacio,dones,1491,2022
03,alt penedes,estudis_superiors,homes,13338,2022
03,alt penedes,educacio_obligatoria,homes,32094,2022
03,alt penedes,educacio_obligatoria,dones,29550,2022
03,alt penedes,estudis_superiors,dones,15708,2022
04,alt urgell,educacio_obligatoria,dones,5553,2022
04,alt urgell,educacio_obligatoria,homes,6249,2022
04,alt urgell,estudis_superiors,dones,3030,2022
04,alt urgell,estudis_superiors,homes,2418,2022
04,alt urgell,sense_educacio,dones,363,2022
04,alt urgell,sense_educacio,homes,246,2022
05,alta ribagorca,sense_educacio,dones,72,2022
05,alta ribagorca,sense_educacio,homes,48,2022
05,alta ribagorca,estudis_superiors,homes,570,2022
05,alta ribagorca,estudis_superiors,dones,675,2022
05,alta ribagorca,educacio_obligatoria,homes,1164,2022
05,alta ribagorca,educacio_obligatoria,dones,963,2022
06,anoia,educacio_obligatoria,dones,34575,2022
06,anoia,educacio_obligatoria,homes,38391,2022
06,anoia,estudis_superiors,dones,15846,2022
06,anoia,estudis_superiors,homes,13479,2022
06,anoia,sense_educacio,dones,2082,2022
06,anoia,sense_educacio,homes,1029,2022
07,bages,educacio_obligatoria,dones,50073,2022
07,bages,estudis_superiors,homes,20715,2022
07,bages,sense_educacio,dones,2964,2022
07,bages,estudis_superiors,dones,24798,2022
07,bages,educacio_obligatoria,homes,52989,2022
07,bages,sense_educacio,homes,1704,2022
08,baix camp,educacio_obligatoria,dones,53628,2022
08,baix camp,educacio_obligatoria,homes,55680,2022
08,baix camp,estudis_superiors,dones,27063,2022
08,baix camp,sense_educacio,dones,4233,2022
08,baix camp,estudis_superiors,homes,23217,2022
08,baix camp,sense_educacio,homes,2322,2022
09,baix ebre,educacio_obligatoria,homes,25557,2022
09,baix ebre,estudis_superiors,dones,9231,2022
09,baix ebre,estudis_superiors,homes,7833,2022
09,baix ebre,sense_educacio,dones,1809,2022
09,baix ebre,educacio_obligatoria,dones,22944,2022
09,baix ebre,sense_educacio,homes,1320,2022
10,baix emporda,sense_educacio,dones,2286,2022
10,baix emporda,educacio_obligatoria,dones,38526,2022
10,baix emporda,educacio_obligatoria,homes,41379,2022
10,baix emporda,estudis_superiors,dones,18579,2022
10,baix emporda,estudis_superiors,homes,15672,2022
10,baix emporda,sense_educacio,homes,1635,2022
11,baix llobregat,sense_educacio,homes,7569,2022
11,baix llobregat,sense_educacio,dones,15177,2022
11,baix llobregat,estudis_superiors,homes,113229,2022
11,baix llobregat,educacio_obligatoria,homes,223443,2022
11,baix llobregat,educacio_obligatoria,dones,219135,2022
11,baix llobregat,estudis_superiors,dones,128019,2022
12,baix penedes,sense_educacio,dones,1455,2022
12,baix penedes,sense_educacio,homes,828,2022
12,baix penedes,estudis_superiors,homes,12189,2022
12,baix penedes,educacio_obligatoria,dones,32631,2022
12,baix penedes,educacio_obligatoria,homes,34449,2022
12,baix penedes,estudis_superiors,dones,13743,2022
13,barcelones,educacio_obligatoria,dones,558156,2022
13,barcelones,educacio_obligatoria,homes,531900,2022
13,barcelones,estudis_superiors,dones,433458,2022
13,barcelones,sense_educacio,dones,45537,2022
13,barcelones,estudis_superiors,homes,380001,2022
13,barcelones,sense_educacio,homes,23997,2022
14,bergueda,educacio_obligatoria,dones,11361,2022
14,bergueda,educacio_obligatoria,homes,12174,2022
14,bergueda,estudis_superiors,homes,5031,2022
14,bergueda,sense_educacio,dones,471,2022
14,bergueda,sense_educacio,homes,234,2022
14,bergueda,estudis_superiors,dones,5814,2022
15,cerdanya,estudis_superiors,homes,2871,2022
15,cerdanya,sense_educacio,homes,117,2022
15,cerdanya,educacio_obligatoria,dones,4992,2022
15,cerdanya,educacio_obligatoria,homes,5688,2022
15,cerdanya,estudis_superiors,dones,3042,2022
15,cerdanya,sense_educacio,dones,177,2022
16,conca de barbera,sense_educacio,dones,327,2022
16,conca de barbera,estudis_superiors,homes,2322,2022
16,conca de barbera,estudis_superiors,dones,2706,2022
16,conca de barbera,educacio_obligatoria,dones,5532,2022
16,conca de barbera,educacio_obligatoria,homes,6426,2022
16,conca de barbera,sense_educacio,homes,195,2022
17,garraf,estudis_superiors,dones,26547,2022
17,garraf,estudis_superiors,homes,24525,2022
17,garraf,educacio_obligatoria,homes,40560,2022
17,garraf,sense_educacio,dones,1506,2022
17,garraf,sense_educacio,homes,903,2022
17,garraf,educacio_obligatoria,dones,40038,2022
18,garrigues,educacio_obligatoria,dones,5262,2022
18,garrigues,sense_educacio,dones,252,2022
18,garrigues,estudis_superiors,homes,1983,2022
18,garrigues,sense_educacio,homes,270,2022
18,garrigues,educacio_obligatoria,homes,6468,2022
18,garrigues,estudis_superiors,dones,2364,2022
19,garrotxa,estudis_superiors,dones,8628,2022
