Renta familiar disponible bruta (RFBD). Por principales componentes. Comarcas y Aran, y ámbitos
2018
Unidades: Milers d'euros.
Fuente: Idescat. Estadística Renta familiar disponible bruta. Comarcas y municipios.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15918&t=201800&lang=es
;Recursos. Remuneración asalariados;Recursos. Excedente bruto explotación;Recursos. Prestaciones sociales;Usos. Cotizaciones sociales;Usos. Impuestos
Alt Camp;544469;186056;191794;161595;89680
Alt Empordà;1449595;674267;450761;448546;295196
Alt Penedès;1449403;492449;471889;421447;255331
Alt Urgell;177640;97022;80091;56810;32616
Alta Ribagorça;38552;24013;14531;12735;8260
Anoia;1487687;503141;524160;435651;247723
Aran;118819;61535;30922;37889;25219
Bages;2227763;712938;938301;643897;387042
Baix Camp;2402598;794932;759257;704630;427065
Baix Ebre;754579;332915;320500;235373;131926
Baix Empordà;1430361;680758;472696;442854;295777
Baix Llobregat;12447738;4037191;3660998;3498563;2326682
Baix Penedès;1109494;448815;436009;332564;208993
Barcelonès;33570867;13089035;11909486;9646773;7862419
Berguedà;408349;187481;250884;127277;71579
Cerdanya;183666;122983;52911;60443;44035
Conca de Barberà;234684;92383;88411;71385;38683
Garraf;2136053;839066;623025;617156;461136
Garrigues;169209;88939;81950;58011;28408
Garrotxa;728685;244067;264201;212892;128591
Gironès;2636404;845393;745204;755591;485366
Maresme;6076225;2506860;1903890;1788078;1248148
Moianès;169060;76674;54799;51562;32157
Montsià;598359;284454;256651;193020;94133
Noguera;368288;171203;150416;120315;61371
Osona;2142142;736634;706762;627088;382777
Pallars Jussà;119894;61236;63065;39415;23677
Pallars Sobirà;68693;43358;24894;23642;12186
Pla d'Urgell;416705;151744;133201;127649;70156
Pla de l'Estany;429015;156092;119785;124991;75626
Priorat;81990;51840;38979;28105;14870
Ribera d'Ebre;229107;93445;106526;70826;45080
Ripollès;288837;122756;145597;87635;56220
Segarra;265050;96241;80676;81101;47316
Segrià;2566905;856032;852207;764947;450062
Selva;1888386;722025;633018;569220;316778
Solsonès;138128;67424;55655;44943;25159
Tarragonès;3292779;1029799;1043706;949704;613119
Terra Alta;85915;61843;52915;32474;13390
Urgell;387511;151862;145314;120581;64409
Vallès Occidental;13794975;4538318;4061841;3914362;2805098
Vallès Oriental;5740136;2032496;1719996;1655940;1010689
Catalunya;104854716;38567713;34717874;30397679;21314151
Metropolità;71680034;26229374;23271109;20519211;15263763
Comarques Gironines;8851283;3445358;2831263;2641730;1653555
Camp de Tarragona;6556520;2155009;2122146;1915419;1183417
Terres de l'Ebre;1667960;772658;736592;531692;284529
Ponent;4173668;1516021;1443764;1272602;721722
Comarques Centrals;5035349;1755675;1991503;1479274;887987
Alt Pirineu i Aran;707264;410147;266414;230934;145994
Penedès;6182638;2283471;2055084;1806818;1173183

