Ârea territorial codi;Àrea territorial;Comarca codi;Comarca;Municipi codi;Municipi;Districte codi;Naturalesa;Titularitat;Estudis;Nivell;Sexe;Concert;Resultat de l'avaluació;N Avaluats estudi
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ASSOCIACIONS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;DONA;SI;Alumnes avaluats;3
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ASSOCIACIONS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;DONA;SI;No promocionen;1
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ASSOCIACIONS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;DONA;SI;Promocionen al mes de juny;1
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ASSOCIACIONS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;DONA;SI;Promocionen amb pendents;1
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ASSOCIACIONS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;HOME;SI;Alumnes avaluats;9
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ASSOCIACIONS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;HOME;SI;No promocionen;1
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ASSOCIACIONS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;HOME;SI;Promocionen al mes de juny;2
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ASSOCIACIONS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;HOME;SI;Promocionen amb pendents;6
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ASSOCIACIONS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;2;DONA;SI;Alumnes avaluats;5
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ASSOCIACIONS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;2;DONA;SI;Promocionen al mes de juny;1
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ASSOCIACIONS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;2;DONA;SI;Promocionen amb pendents;4
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ASSOCIACIONS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;2;HOME;SI;Alumnes avaluats;7
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ASSOCIACIONS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;2;HOME;SI;No promocionen;1
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ASSOCIACIONS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;2;HOME;SI;Promocionen al mes de juny;5
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ASSOCIACIONS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;2;HOME;SI;Promocionen amb pendents;1
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ASSOCIACIONS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;3;DONA;SI;Alumnes avaluats;1
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ASSOCIACIONS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;3;DONA;SI;Promocionen amb pendents;1
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ASSOCIACIONS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;3;HOME;SI;Alumnes avaluats;10
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ASSOCIACIONS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;3;HOME;SI;Promocionen al mes de juny;2
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ASSOCIACIONS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;3;HOME;SI;Promocionen al mes de setembre;3
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ASSOCIACIONS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;3;HOME;SI;Promocionen amb pendents;5
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ASSOCIACIONS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;4;DONA;SI;Alumnes avaluats;4
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ASSOCIACIONS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;4;DONA;SI;Promocionen al mes de juny;1
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ASSOCIACIONS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;4;DONA;SI;S'ha expedit certificat;3
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ASSOCIACIONS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;4;HOME;SI;Alumnes avaluats;7
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ASSOCIACIONS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;4;HOME;SI;Promocionen al mes de juny;5
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ASSOCIACIONS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;4;HOME;SI;S'ha expedit certificat;2
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;FUNDACIONS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;DONA;SI;Alumnes avaluats;48
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;FUNDACIONS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;DONA;SI;Promocionen al mes de juny;40
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;FUNDACIONS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;DONA;SI;Promocionen al mes de setembre;2
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;FUNDACIONS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;DONA;SI;Promocionen amb pendents;6
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;FUNDACIONS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;HOME;SI;Alumnes avaluats;57
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;FUNDACIONS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;HOME;SI;No promocionen;1
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;FUNDACIONS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;HOME;SI;Promocionen al mes de juny;37
