Formació d'adults. Centres, personal docent i alumnes per sexe i grups d'edat. Comarques i Aran;;;;;;;;;;;;;;
Curs 2018/2019;;;;;;;;;;;;;;
Font: Departament d'Ensenyament. Servei d'indicadors i estadística.;;;;;;;;;;;;;;
Institut d'Estadística de Catalunya;;;;;;;;;;;;;;
https://www.idescat.cat/indicadors/?id=aec&n=15741&t=201900;;;;;;;;;;;;;;
comarca;Centres;Personal docent;Alumnes (homes). 16-24;Alumnes (homes). 25-64;Alumnes (homes). 65 i més;Alumnes (homes). Total;Alumnes (dones). 16-24;Alumnes (dones). 25-64;Alumnes (dones). 65 i més;Alumnes (dones). Total;Alumnes (total). 16-24;Alumnes (total). 25-64;Alumnes (total). 65 i més;Alumnes (total). Total
Alt Camp;1;7;32;42;12;86;33;137;51;221;65;179;63;307
Alt Empordà;4;33;144;513;14;671;81;196;16;293;225;709;30;964
Alt Penedès;3;16;53;38;19;110;41;73;20;134;94;111;39;244
Alt Urgell;1;6;13;63;19;95;21;204;29;254;34;267;48;349
Alta Ribagorça;1;1;5;3;0;8;3;15;0;18;8;18;0;26
Anoia;1;6;36;35;3;74;24;45;4;73;60;80;7;147
Aran;1;3;4;41;1;46;5;107;8;120;9;148;9;166
Bages;3;32;89;429;30;548;93;403;45;541;182;832;75;1089
Baix Camp;4;39;184;287;39;510;143;481;60;684;327;768;99;1194
Baix Ebre;2;16;61;89;28;178;51;209;36;296;112;298;64;474
Baix Empordà;5;34;192;431;57;680;147;630;85;862;339;1061;142;1542
Baix Llobregat;19;192;887;2611;320;3818;726;3375;627;4728;1613;5986;947;8546
Baix Penedès;2;13;86;48;3;137;65;125;15;205;151;173;18;342
Barcelonès;52;499;2140;3696;1209;7045;1856;7945;2513;12314;3996;11641;3722;19359
Berguedà;1;6;17;47;5;69;9;84;4;97;26;131;9;166
Cerdanya;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Conca de Barberà;1;4;6;31;12;49;11;74;23;108;17;105;35;157
Garraf;3;25;138;227;27;392;120;539;63;722;258;766;90;1114
Garrigues;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Garrotxa;1;11;112;154;14;280;56;254;39;349;168;408;53;629
Gironès;4;52;461;491;30;982;307;1091;44;1442;768;1582;74;2424
Maresme;14;95;513;935;86;1534;309;1545;195;2049;822;2480;281;3583
Moianès;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Montsià;2;9;72;76;17;165;28;202;18;248;100;278;35;413
Noguera;1;4;23;74;10;107;26;155;39;220;49;229;49;327
Osona;6;43;136;285;19;440;92;462;44;598;228;747;63;1038
Pallars Jussà;1;3;8;45;9;62;12;102;12;126;20;147;21;188
Pallars Sobirà;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pla d'Urgell;1;9;32;105;54;191;50;364;78;492;82;469;132;683
Pla de l'Estany;1;7;59;93;6;158;51;187;11;249;110;280;17;407
Priorat;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ribera d'Ebre;1;8;21;117;15;153;33;171;13;217;54;288;28;370
Ripollès;1;4;11;28;14;53;15;84;5;104;26;112;19;157
Segarra;1;4;28;80;8;116;14;127;17;158;42;207;25;274
Segrià;4;89;215;1188;94;1497;86;578;161;825;301;1766;255;2322
Selva;5;42;230;344;29;603;175;648;56;879;405;992;85;1482
Solsonès;1;7;14;64;11;89;18;112;26;156;32;176;37;245
Tarragonès;8;80;392;737;87;1216;257;889;170;1316;649;1626;257;2532
Terra Alta;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Urgell;1;6;30;68;27;125;33;183;47;263;63;251;74;388
Vallès Occidental;19;166;766;1479;409;2654;731;3497;881;5109;1497;4976;1290;7763
Vallès Oriental;17;140;871;1760;240;2871;354;1791;311;2456;1225;3551;551;5327
Catalunya;193;1711;8081;16754;2977;27812;6076;27084;5766;38926;14157;43838;8743;66738
