Població de 15 anys o més segons nivell de formació ampliat assolit. Comarques i Aran, àmbits i províncies;;;;;;;;;;;;
2018;;;;;;;;;;;;
Font: Idescat. Estadística dels estudis de la població.;;;;;;;;;;;;
Institut d'Estadística de Catalunya;;;;;;;;;;;;
https://www.idescat.cat/indicadors/?id=aec&n=15743&t=201800;;;;;;;;;;;;
comarca;Analfabets;Educació primària incompleta;Educació primària;Primera etapa d'educació secundària i similar;Segona etapa d'educació secundària amb orientació general;Segona etapa d'educació secundària amb orientació professional;Ensenyament de grau superior de formació professional i similars;Graus universitaris de fins a 240 crèdits i similars;Graus universitaris de més de 240 crèdits i similars;Màster universitari i similars;Doctorat universitari;Total
Alt Camp;120;1540;4530;13375;3950;4115;3785;2830;2315;565;185;37310
Alt Empordà;385;6630;15960;41995;17905;10575;6590;8670;7345;1505;575;118130
Alt Penedès;220;2365;12485;27875;10445;11075;8355;7875;6670;1430;540;89340
Alt Urgell;50;805;2120;5415;2640;1765;1415;1545;1295;360;110;17520
Alta Ribagorça;10;155;405;925;480;310;275;370;330;65;25;3340
Anoia;370;3500;12360;34370;11455;11880;9535;7655;6090;1360;410;98975
Aran;15;150;710;2520;1530;1005;840;925;725;140;35;8595
Bages;400;4875;20380;49380;17185;16090;12915;13225;10835;2410;780;148475
Baix Camp;1280;6765;17930;51385;20520;16490;13895;12920;11755;3125;1000;157070
Baix Ebre;185;3460;9885;23505;8185;6960;4860;4645;3735;1200;260;66885
Baix Empordà;630;4105;14510;39780;14370;10520;7630;10425;8015;1765;635;112385
Baix Llobregat;2950;25060;80570;195290;89485;79810;73240;66350;54120;11150;4510;682535
Baix Penedès;200;2435;11160;30500;10765;10200;7685;6685;4890;940;390;85840
Barcelonès;7210;82505;224005;437820;310675;153215;157745;219455;274195;58285;30685;1955800
Berguedà;85;750;5200;11610;3215;3830;3390;2950;2295;625;130;34075
Cerdanya;15;325;1580;4835;2550;1565;1170;1495;1475;310;110;15430
Conca de Barberà;20;610;2365;5855;1920;2070;1600;1255;1205;290;70;17255
Garraf;450;2925;14150;33940;20550;11685;10275;15115;13540;2375;1165;126165
Garrigues;25;595;2940;5840;1615;1730;1415;1225;885;235;60;16560
Garrotxa;95;1985;7050;15775;5535;4790;3965;4360;3620;815;275;48265
Gironès;775;5920;18070;45325;23575;14320;11175;15590;15550;4290;1820;156405
Maresme;1675;14875;40415;109480;52990;37790;32885;39880;35450;7210;3035;375675
Moianès;5;170;1530;3410;1510;1240;990;1195;975;215;90;11335
Montsià;295;2380;8565;21345;6295;5795;5055;3760;2950;845;185;57470
Noguera;235;1470;4865;12260;3380;3190;2580;2635;1910;505;115;33145
Osona;360;4440;17885;42875;15825;15040;10645;12050;10050;2475;820;132465
Pallars Jussà;15;520;1855;3010;1415;1255;1265;1060;895;235;65;11585
Pallars Sobirà;5;145;735;1430;925;690;715;645;605;135;45;6075
Pla d'Urgell;135;1145;4935;11220;3375;3045;2860;2265;1755;430;110;31280
Pla de l'Estany;180;1055;3135;8405;2875;2775;2205;2545;2190;800;255;26415
Priorat;15;185;1095;2930;905;830;785;655;620;115;55;8195
Ribera d'Ebre;45;710;3245;6735;1640;2215;1980;1420;1040;290;65;19390
Ripollès;80;1010;3215;7110;2425;2210;1970;1720;1550;330;115;21740
Segarra;25;1025;2845;7260;2130;1830;1320;1330;1140;245;65;19215
Segrià;780;7730;21030;58240;22260;15655;14445;16265;13780;3805;1500;175495
Selva;685;5505;17520;52580;21050;14560;10190;10220;8165;1660;625;142755
Solsonès;35;730;1425;3370;1300;1250;1215;1015;750;205;65;11365
Tarragonès;1015;6755;24250;65985;26810;22665;20815;18825;18005;5185;2160;212465
Terra Alta;30;540;2075;3845;775;1120;575;525;500;155;20;10160
Urgell;80;920;4750;9985;4130;3120;2540;2440;1925;455;125;30470
Vallès Occidental;3525;23120;87375;219790;100865;82645;72000;74370;71755;15850;7680;758970
Vallès Oriental;1035;11435;39580;102630;45770;40110;33715;29745;26300;5380;1970;337665
Catalunya;25740;243315;770670;1831210;897195;633020;562500;630125;633185;139770;62930;6429670
Metropolità;16405;157010;472405;1065860;600210;393920;369895;430205;462165;97930;47910;4113905
Comarques Gironines;2825;26215;79450;210975;87735;59750;43725;53530;46435;11170;4295;626095
Camp de Tarragona;2450;15850;50175;139525;54105;46165;40880;36490;33900;9285;3470;432290
Terres de l'Ebre;555;7090;23770;55430;16895;16095;12470;10350;8225;2495;530;153905
Ponent;1280;12885;41360;104805;36895;28570;25165;26155;21390;5680;1975;306160
Comarques Centrals;885;10945;45960;109800;38610;37095;28845;30030;24555;5875;1850;334450
Alt Pirineu i Aran;110;2095;7400;18135;9535;6590;5675;6045;5320;1240;390;62540
Penedès;1240;11220;50150;126680;53210;44835;35855;37330;31195;6100;2505;400320
Barcelona;18290;176020;555930;1268585;679895;464390;425705;489775;512190;108740;51805;4751325
Girona;2840;26460;80655;214845;89930;61010;44580;54760;47635;11435;4395;638545
Lleida;1410;15460;48985;122325;45610;35160;31185;32070;26345;6880;2335;367765
Tarragona;3205;25375;85100;225450;81765;72465;61035;53525;47010;12715;4395;672035
