comarca;poblacio_total_16_a_24_anys;poblacio_homes_16_a_24_anys;poblacio_dones_16_a_24_anys
Alt Camp;3941;2013;1928
Alt Empordà;12458;6455;6003
Alt Penedès;9375;4738;4637
Alt Urgell;1754;913;841
Alta Ribagorça;300;150;150
Anoia;10468;5413;5055
Aran;837;436;401
Bages;14845;7656;7189
Baix Camp;16823;8462;8361
Baix Ebre;6698;3485;3213
Baix Empordà;11543;5946;5597
Baix Llobregat;71266;36716;34550
Baix Penedès;8773;4522;4251
Barcelonès;184674;93975;90699
Berguedà;3005;1562;1443
Cerdanya;1582;861;721
Conca de Barberà;1651;888;763
Garraf;12629;6483;6146
Garrigues;1445;765;680
Garrotxa;4899;2557;2342
Gironès;18481;9535;8946
Maresme;39035;20340;18695
Moianès;1231;647;584
Montsià;5583;2822;2761
Noguera;3304;1785;1519
Osona;14611;7569;7042
Pallars Jussà;1031;560;471
Pallars Sobirà;542;267;275
Pla d'Urgell;3152;1603;1549
Pla de l'Estany;2977;1542;1435
Priorat;707;377;330
Ribera d'Ebre;1855;936;919
Ripollès;1791;932;859
Segarra;2225;1174;1051
Segrià;18346;9491;8855
Selva;15248;8097;7151
Solsonès;1176;621;555
Tarragonès;22463;11493;10970
Terra Alta;841;438;403
Urgell;3208;1656;1552
Vallès Occidental;84309;43389;40920
Vallès Oriental;36890;19117;17773
Catalunya;657924;338358;319566
Metropolità;416515;213714;202801
Comarques Gironines;67388;35055;32333
Camp de Tarragona;45580;23231;22349
Terres de l'Ebre;14974;7679;7295
Ponent;31675;16472;15203
Comarques Centrals;34931;18076;16855
Alt Pirineu i Aran;6041;3187;2854
Penedès;40826;20947;19879
Barcelona;482340;247606;234734
Girona;68697;35764;32933
Lleida;37562;19555;18007
Tarragona;69328;35434;33894
