Població a 1 de gener. Per nacionalitat. Comarques i Aran, àmbits i províncies;;;;;;;;
2018;;;;;;;;
Unitats: Persones.;;;;;;;;
Font: Idescat. Padró municipal d'habitants.;;;;;;;;
Institut d'Estadística de Catalunya;;;;;;;;
https://www.idescat.cat/indicadors/?id=aec&n=15236&t=201800;;;;;;;;
comarca;Espanyola;Resta UE;Resta d'Europa;Àfrica;Amèrica del Nord i Central;Amèrica del Sud;Àsia i Oceania;Total
Alt Camp;38948;1214;448;2609;165;474;207;44065
Alt Empordà;106913;12101;2045;12760;1960;3758;1032;140569
Alt Penedès;96818;1884;616;5987;505;1635;677;108122
Alt Urgell;17958;1052;217;333;106;446;112;20224
Alta Ribagorça;3364;176;55;98;14;61;6;3774
Anoia;109805;1769;538;4677;430;1057;813;119089
Aran;8479;865;65;249;73;220;32;9983
Bages;157710;3743;1146;9298;924;2243;1421;176485
Baix Camp;159713;8934;2108;11253;1016;4267;1550;188841
Baix Ebre;65181;4569;1057;4443;372;821;1425;77868
Baix Empordà;107782;7227;3046;10847;1883;1834;842;133461
Baix Llobregat;740451;20469;4876;21232;5341;17415;9384;819168
Baix Penedès;88324;3989;979;5545;662;2149;761;102409
Barcelonès;1852363;98685;27795;39022;43105;91703;101969;2254642
Berguedà;36162;865;178;1146;199;399;155;39104
Cerdanya;15493;768;251;324;134;844;68;17882
Conca de Barberà;17891;811;248;756;56;174;167;20103
Garraf;129078;9598;1210;3340;1128;3437;1312;149103
Garrigues;16497;1234;51;841;37;74;37;18771
Garrotxa;48705;1679;563;2020;827;532;2287;56613
Gironès;153684;6846;1764;15270;7084;3453;2685;190786
Maresme;398032;10743;3150;20189;2801;7464;5445;447824
Moianès;12411;234;54;288;44;234;167;13432
Montsià;56287;5803;806;2262;194;954;777;67083
Noguera;32473;2764;265;2582;73;396;155;38708
Osona;135651;3608;696;13042;661;1918;2758;158334
Pallars Jussà;11565;574;95;495;94;227;41;13091
Pallars Sobirà;6240;452;16;85;32;94;15;6934
Pla d'Urgell;30059;2902;238;2972;37;363;169;36740
Pla de l'Estany;27515;949;144;2236;437;410;315;32006
Priorat;8239;541;42;351;29;86;8;9296
Ribera d'Ebre;18793;1568;177;1086;52;130;158;21964
Ripollès;22914;393;87;932;230;317;127;25000
Segarra;16883;2094;1402;2033;83;224;103;22822
Segrià;171510;13129;1509;16368;885;3176;2061;208638
Selva;137417;9968;4990;8133;1765;3107;3649;169029
Solsonès;11965;618;69;573;26;101;40;13392
Tarragonès;211389;9969;3492;15290;1590;6625;4435;252790
Terra Alta;10193;965;36;60;60;40;129;11483
Urgell;29881;2187;596;2912;142;351;174;36243
Vallès Occidental;825191;17718;4083;30560;8182;22203;9968;917905
Vallès Oriental;372039;6753;1907;14082;1897;6684;2927;406289
Catalunya;6517966;282410;73110;288581;85335;192100;160563;7600065
Metropolità;4191740;154409;41827;125132;61336;145520;129727;4849691
Comarques Gironines;604930;39163;12639;52198;14186;13411;10937;747464
Camp de Tarragona;436180;21469;6338;30259;2856;11626;6367;515095
Terres de l'Ebre;150454;12905;2076;7851;678;1945;2489;178398
Ponent;297303;24310;4061;27708;1257;4584;2699;361922
Comarques Centrals;354847;9212;2181;24727;1850;4865;4517;402199
Alt Pirineu i Aran;63099;3887;699;1584;453;1892;274;71888
Penedès;419413;17055;3289;19122;2719;8257;3553;473408
Barcelona;4865569;176066;46253;162850;65222;156398;136992;5609350
Girona;617227;39817;12878;52513;14312;14203;10997;761947
Lleida;360212;28164;4586;29563;1605;5779;2957;432866
Tarragona;674958;38363;9393;43655;4196;15720;9617;795902
