Paro registrado. Por sexo y grupos de edad. Hombres. Medias anuales. Comarcas y Aran, ámbitos y provincias;;;
2019;;;
Unidades: Personas.;;;
Fuente: Departamento de Trabajo, Asuntos Sociales y Familias.;;;
Institut d'Estadística de Catalunya;;;
https://www.idescat.cat/indicadors/?id=aec&n=15957&t=201900&lang=es;;;
comarca;Total_homes;Total_dones;Total
Alt Camp;1094.1;1475.3;2569.4
Alt Empordà;3172.2;3996.8;7169
Alt Penedès;2173.3;3103.4;5276.7
Alt Urgell;351.5;418.2;769.7
Alta Ribagorça;42.8;43.7;86.5
Anoia;2842.1;4366.2;7208.3
Aran;128.4;147;275.4
Bages;4114.9;5383.8;9498.7
Baix Camp;4706.7;6525.1;11231.8
Baix Ebre;1836.2;2283.5;4119.7
Baix Empordà;2732.5;3448.7;6181.2
Baix Llobregat;16165.3;22578.7;38744
Baix Penedès;3051.3;4294.6;7345.9
Barcelonès;47792.7;58676.9;106469.6
Berguedà;742.6;1074.4;1817
Cerdanya;185.4;266.2;451.6
Conca de Barberà;336;401.9;737.9
Garraf;3400.7;4765.8;8166.5
Garrigues;333.9;356.3;690.2
Garrotxa;936.3;1132.7;2069
Gironès;4185.9;4911.4;9097.3
Maresme;10317.1;13973.7;24290.8
Moianès;195.8;301.1;496.9
Montsià;1467.9;2086.8;3554.7
Noguera;758.4;1031.4;1789.8
Osona;2984.4;4379.1;7363.5
Pallars Jussà;281.4;289.7;571.1
Pallars Sobirà;105.5;111.3;216.8
Pla d'Urgell;604.1;797.3;1401.4
Pla de l'Estany;484.4;558.7;1043.1
Priorat;162.5;216.2;378.7
Ribera d'Ebre;497.9;560.5;1058.4
Ripollès;377.2;479.9;857.1
Segarra;320;412.9;732.9
Segrià;4710.2;6132;10842.2
Selva;3749.1;4980.7;8729.8
Solsonès;208;242.8;450.8
Tarragonès;5904.2;8080.4;13984.6
Terra Alta;160.8;207.3;368.1
Urgell;689.8;1029.2;1719
Vallès Occidental;20417.2;29058.3;49475.5
Vallès Oriental;8705.8;12757.2;21463
Cataluña;163426.6;217337;380763.6
Metropolità;103461.8;137126.5;240588.3
Comarques Gironines;15637.7;19508.8;35146.5
Camp de Tarragona;12203.4;16699;28902.4
Terres de l'Ebre;3962.8;5138.1;9100.9
Ponent;7416.3;9759.2;17175.5
Comarques Centrals;8274.7;11434.6;19709.3
Alt Pirineu i Aran;1095.1;1276;2371.1
Penedès;11374.8;16394.8;27769.6
Barcelona;119875.7;160463.4;280339.1
Girona;15767;19682.5;35449.5
Lleida;8566.3;11059.4;19625.7
Tarragona;19217.5;26131.7;45349.2
