Població de 15 anys o més segons nivell de formació ampliat assolit. Comarques i Aran, àmbits i províncies;;;;;;;;;;;;
2019;;;;;;;;;;;;
Font: Idescat. Estadística dels estudis de la població.;;;;;;;;;;;;
Nota: (p) Dada provisional.;;;;;;;;;;;;
Institut d'Estadística de Catalunya;;;;;;;;;;;;
https://www.idescat.cat/indicadors/?id=aec&n=15743&t=201900;;;;;;;;;;;;
comarca;Analfabets;Educació primària incompleta;Educació primària;Primera etapa d'educació secundària i similar;Segona etapa d'educació secundària amb orientació general;Segona etapa d'educació secundària amb orientació professional;Ensenyament de grau superior de formació professional i similars;Graus universitaris de fins a 240 crèdits i similars;Graus universitaris de més de 240 crèdits i similars;Màster universitari i similars;Doctorat universitari;Total
Alt Camp;115;1545;4525;13570;3935;4200;3855;2815;2355;580;185;37680
Alt Empordà;375;6900;15795;42130;17755;11160;6685;8725;7610;1555;590;119275
Alt Penedès;205;2385;12235;28235;10410;11150;8580;7915;6780;1480;555;89920
Alt Urgell;45;795;2085;5380;2630;1790;1470;1555;1325;355;115;17550
Alta Ribagorça;10;145;390;910;495;320;285;350;335;60;25;3325
Anoia;365;3425;12295;35190;11370;12245;9890;7820;6320;1415;435;100775
Aran;15;140;705;2565;1505;1030;865;955;760;145;40;8725
Bages;415;5035;20170;50360;17195;16445;13160;13405;11195;2545;805;150735
Baix Camp;1305;6775;18080;52000;20550;16770;14275;13135;12155;3230;1060;159335
Baix Ebre;165;3565;9685;23470;8055;7070;4985;4585;3770;1210;270;66830
Baix Empordà;630;4200;14310;40275;14550;10710;7855;10360;8265;1785;655;113595
Baix Llobregat;2790;24755;80125;199105;89660;80520;74810;66640;56460;11775;4655;691290
Baix Penedès;200;2485;11265;31405;10875;10620;8005;6925;5165;985;410;88345
Barcelonès;6635;81805;218385;449015;314700;154405;159480;217905;287950;62215;31275;1983765
Berguedà;80;720;5020;11880;3180;3935;3440;2985;2380;655;135;34420
Cerdanya;15;380;1570;4935;2550;1620;1250;1535;1500;330;105;15790
Conca de Barberà;20;610;2250;5900;1895;2100;1605;1265;1235;285;75;17245
Garraf;405;2900;14155;34555;20295;11980;10545;15185;14295;2555;1230;128095
Garrigues;25;625;2800;5895;1615;1770;1455;1210;890;240;65;16590
Garrotxa;90;2055;6900;16265;5595;4920;4120;4410;3700;840;285;49180
Gironès;785;6065;18030;46870;24040;14650;11470;15470;15925;4375;1865;159540
Maresme;1550;15145;40035;111390;53065;38590;33730;40065;36730;7485;3130;380920
Moianès;5;180;1460;3560;1465;1305;1005;1240;1010;225;85;11540
Montsià;265;2420;8370;21695;6275;5955;5170;3770;2970;855;195;57930
Noguera;230;1495;4725;12405;3445;3175;2605;2585;1915;510;125;33210
Osona;385;4580;17440;44325;15875;15265;10970;12085;10360;2595;840;134720
Pallars Jussà;20;505;1800;3075;1435;1225;1270;1070;910;245;70;11625
Pallars Sobirà;0;135;690;1435;915;705;725;655;630;145;45;6080
Pla d'Urgell;130;1190;4800;11410;3320;3110;2895;2260;1755;440;115;31420
Pla de l'Estany;190;1110;3105;8490;2840;2825;2250;2585;2250;810;260;26715
Priorat;20;190;1030;2935;890;870;795;650;610;125;55;8170
Ribera d'Ebre;55;720;3155;6770;1600;2255;1985;1420;1050;290;65;19360
Ripollès;80;985;3125;7180;2400;2280;2010;1735;1570;340;115;21820
Segarra;25;1130;2810;7285;2155;1875;1385;1325;1155;255;65;19460
Segrià;755;7960;21015;59245;21975;15900;14750;16350;14035;3915;1555;177460
Selva;710;5630;17545;53440;20860;15230;10550;10415;8535;1750;645;145310
Solsonès;30;730;1420;3415;1315;1260;1235;1010;785;215;60;11475
Tarragonès;955;7280;24470;67310;26835;23145;21195;19090;18660;5375;2220;216535
Terra Alta;35;540;2000;3865;780;1150;590;525;510;150;25;10175
Urgell;85;990;4680;10240;4155;3170;2565;2450;1975;460;130;30905
Vallès Occidental;3335;22925;86750;224855;101785;82735;73765;74245;73125;16410;7870;767800
Vallès Oriental;990;11380;39225;104775;45610;40560;34590;29905;27215;5690;2040;341980
Catalunya;24545;244515;760415;1869015;901840;641995;574115;630580;658135;146905;64550;6516610
Metropolità;15305;156035;464970;1090010;605235;397185;376700;429185;481820;103635;49010;4169085
Comarques Gironines;2855;26940;78810;214650;88035;61770;44940;53700;47865;11450;4415;635435
Camp de Tarragona;2415;16400;50355;141720;54100;47085;41725;36955;35015;9600;3595;438965
Terres de l'Ebre;520;7245;23205;55800;16705;16430;12730;10300;8305;2510;555;154295
Ponent;1255;13380;40830;106475;36670;29005;25650;26175;21725;5825;2050;309045
Comarques Centrals;915;11215;45055;112665;38620;37840;29485;30305;25390;6170;1895;339560
Alt Pirineu i Aran;110;2100;7235;18310;9530;6685;5865;6120;5460;1275;400;63095
Penedès;1175;11195;49950;129385;52950;45995;37020;37845;32555;6435;2625;407130
Barcelona;17160;175240;547295;1297360;684540;469125;433985;489300;533730;115025;53050;4815810
Girona;2870;27245;80015;218630;90235;63085;45875;54985;49095;11740;4500;648280
Lleida;1380;15900;48275;124100;45390;35650;31800;32115;26830;7045;2435;370915
Tarragona;3135;26130;84825;228925;81680;74135;62460;54180;48480;13095;4560;681605
