Població a 1 de gener. Per nacionalitat. Comarques i Aran, àmbits i províncies;;;;;;;;
2019;;;;;;;;
Unitats: Persones.;;;;;;;;
Font: Idescat, a partir del Padró continu de l'INE.;;;;;;;;
Institut d'Estadística de Catalunya;;;;;;;;
https://www.idescat.cat/indicadors/?id=aec&n=15236&t=201900;;;;;;;;
comarca;Espanyola;Resta UE;Resta d'Europa;Àfrica;Amèrica del Nord i Central;Amèrica del Sud;Àsia i Oceania;Total
Alt Camp;38831;1222;467;2767;191;569;249;44296
Alt Empordà;107134;11865;2054;13157;2167;3892;1070;141339
Alt Penedès;96742;1868;652;6127;573;1725;724;108411
Alt Urgell;17822;1044;212;345;150;504;100;20177
Alta Ribagorça;3365;171;61;121;19;59;6;3802
Anoia;110665;1818;569;5045;500;1233;908;120738
Aran;8479;932;69;236;84;256;37;10093
Bages;158068;3918;1204;10302;1194;2616;1583;178885
Baix Camp;160486;9154;2230;11798;1097;4605;1603;190973
Baix Ebre;64823;4497;1014;4496;421;864;1481;77596
Baix Empordà;108009;7288;3160;10922;2123;1994;863;134359
Baix Llobregat;741282;21336;5249;22262;6176;19203;10455;825963
Baix Penedès;89708;4164;1113;5788;774;2596;848;104991
Barcelonès;1840756;106423;29691;41443;48499;101846;109779;2278437
Berguedà;36153;880;180;1245;236;553;199;39446
Cerdanya;15612;762;276;350;163;953;76;18192
Conca de Barberà;17757;813;249;848;57;154;164;20042
Garraf;129942;9702;1294;3509;1229;3757;1454;150887
Garrigues;16401;1260;63;918;45;102;44;18833
Garrotxa;48698;1806;615;2239;1016;687;2529;57590
Gironès;154282;6997;1833;16276;7838;3759;2923;193908
Maresme;399480;11269;3415;21305;3106;8199;5916;452690
Moianès;12463;257;66;322;47;245;203;13603
Montsià;56239;5864;787;2477;240;974;855;67436
Noguera;32242;2779;263;2764;88;456;178;38770
Osona;136233;3736;772;14054;759;2175;3092;160821
Pallars Jussà;11423;581;94;534;102;303;43;13080
Pallars Sobirà;6256;432;17;83;32;95;17;6932
Pla d'Urgell;29879;2794;244;3175;45;382;174;36693
Pla de l'Estany;27558;954;145;2389;478;455;314;32293
Priorat;8180;512;44;371;33;97;8;9245
Ribera d'Ebre;18511;1613;171;1198;64;133;175;21865
Ripollès;22780;401;94;1003;286;371;152;25087
Segarra;16840;2126;1414;2233;82;252;105;23052
Segrià;171311;12919;1566;17216;1020;3544;2242;209818
Selva;137811;10493;5253;8655;2002;3511;3892;171617
Solsonès;12038;626;60;554;34;115;42;13469
Tarragonès;212278;10249;3620;16442;1839;7602;4700;256730
Terra Alta;10083;1055;33;67;66;48;138;11490
Urgell;29925;2342;631;3080;154;386;175;36693
Vallès Occidental;825892;18238;4357;32114;9470;24299;10867;925237
Vallès Oriental;373353;6980;2019;14508;2247;7353;3178;409638
Catalunya;6515790;294140;77320;304738;96746;212922;173561;7675217
Metropolità;4184431;164297;44754;131685;69509;160959;140241;4895876
Comarques Gironines;606272;39804;13154;54641;15910;14669;11743;756193
Camp de Tarragona;437532;21950;6610;32226;3217;13027;6724;521286
Terres de l'Ebre;149656;13029;2005;8238;791;2019;2649;178387
Ponent;296598;24220;4181;29386;1434;5122;2918;363859
Comarques Centrals;355847;9553;2305;26878;2265;5675;5083;407606
Alt Pirineu i Aran;62957;3922;729;1669;550;2170;279;72276
Penedès;422497;17365;3582;20015;3070;9281;3924;479734
Barcelona;4860870;186418;49474;172225;74042;173198;148352;5664579
Girona;618736;40461;13414;54982;16062;15579;11810;771044
Lleida;359288;28118;4704;31279;1860;6503;3178;434930
Tarragona;676896;39143;9728;46252;4782;17642;10221;804664
