Curs;Codi àrea territorial;Àrea territorial;Codi comarca;Comarca;Codi municipi;Municipi;Codi districte;Naturalesa;Titularitat;Estudi;Nivell;Sexe;Concert;Resultat de l'avaluació;Nombre alumnes
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;DONA;;Alumnes avaluats;2
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;DONA;;Alumnes avaluats;43
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;DONA;;Alumnes avaluats;83
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;DONA;;No promocionen;2
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;DONA;;Promocionen al mes de juny;83
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;DONA;;Promocionen al mes de setembre;11
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;DONA;;Promocionen amb pendents;32
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;HOME;;Alumnes avaluats;7
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;HOME;;Alumnes avaluats;62
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;HOME;;Alumnes avaluats;97
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;HOME;;No promocionen;7
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;HOME;;Promocionen al mes de juny;97
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;HOME;;Promocionen al mes de setembre;10
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;HOME;;Promocionen amb pendents;52
