Formació d'adults. Centres, personal docent i alumnes per sexe i grups d'edat. Comarques i Aran;;;;;;;;;;;;;;
Curs 2020/2021;;;;;;;;;;;;;;
Font: Departament d'Educació. Servei d'indicadors i estadística.;;;;;;;;;;;;;;
Institut d'Estadística de Catalunya;;;;;;;;;;;;;;
https://www.idescat.cat/indicadors/?id=aec&n=15741&t=202100;;;;;;;;;;;;;;
comarca;Centres;Personal docent;Alumnes (homes). 16-24;Alumnes (homes). 25-64;Alumnes (homes). 65 i més;Alumnes (homes). Total;Alumnes (dones). 16-24;Alumnes (dones). 25-64;Alumnes (dones). 65 i més;Alumnes (dones). Total;Alumnes (total). 16-24;Alumnes (total). 25-64;Alumnes (total). 65 i més;Alumnes (total). Total
Alt Camp;1;7;22;46;4;72;18;88;17;123;40;134;21;195
Alt Empordà;4;36;212;593;15;820;96;256;19;371;308;849;34;1191
Alt Penedès;2;10;40;85;8;133;32;100;17;149;72;185;25;282
Alt Urgell;1;6;32;64;17;113;13;133;30;176;45;197;47;289
Alta Ribagorça;1;1;3;5;0;8;7;19;0;26;10;24;0;34
Anoia;1;4;18;51;2;71;13;52;1;66;31;103;3;137
Aran;1;3;3;39;1;43;9;94;7;110;12;133;8;153
Bages;3;35;101;597;25;723;77;294;26;397;178;891;51;1120
Baix Camp;4;41;157;248;26;431;154;453;49;656;311;701;75;1087
Baix Ebre;2;17;63;74;19;156;62;188;30;280;125;262;49;436
Baix Empordà;5;32;117;354;41;512;108;502;70;680;225;856;111;1192
Baix Llobregat;19;191;666;2359;236;3261;517;2573;455;3545;1183;4932;691;6806
Baix Penedès;2;13;58;49;4;111;54;150;13;217;112;199;17;328
Barcelonès;51;489;2076;3567;673;6316;1668;6794;1553;10015;3744;10361;2226;16331
Berguedà;1;5;23;52;4;79;19;80;6;105;42;132;10;184
Cerdanya;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Conca de Barberà;1;4;27;26;9;62;12;67;12;91;39;93;21;153
Garraf;3;28;150;254;19;423;124;393;48;565;274;647;67;988
Garrigues;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Garrotxa;1;12;184;165;17;366;79;168;44;291;263;333;61;657
Gironès;4;57;459;395;16;870;218;717;24;959;677;1112;40;1829
Maresme;14;90;433;1033;74;1540;248;1441;172;1861;681;2474;246;3401
Moianès;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Montsià;1;6;40;43;8;91;13;130;21;164;53;173;29;255
Noguera;1;4;14;50;15;79;10;86;34;130;24;136;49;209
Osona;6;41;111;315;11;437;94;376;27;497;205;691;38;934
Pallars Jussà;1;3;18;34;13;65;9;117;8;134;27;151;21;199
Pallars Sobirà;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pla d'Urgell;1;9;35;79;32;146;33;225;61;319;68;304;93;465
Pla de l'Estany;1;8;85;113;13;211;59;212;24;295;144;325;37;506
Priorat;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ribera d'Ebre;1;7;27;95;18;140;15;139;26;180;42;234;44;320
Ripollès;1;3;8;36;8;52;17;80;5;102;25;116;13;154
Segarra;1;4;17;67;5;89;17;96;11;124;34;163;16;213
Segrià;4;43;213;847;89;1149;63;426;163;652;276;1273;252;1801
Selva;5;42;198;308;24;530;133;597;35;765;331;905;59;1295
Solsonès;1;7;24;67;7;98;11;123;16;150;35;190;23;248
Tarragonès;7;78;285;590;61;936;180;680;97;957;465;1270;158;1893
Terra Alta;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Urgell;1;6;30;75;31;136;14;167;46;227;44;242;77;363
Vallès Occidental;20;168;735;1272;256;2263;639;2700;583;3922;1374;3972;839;6185
Vallès Oriental;16;132;808;1351;124;2283;299;1494;198;1991;1107;2845;322;4274
Catalunya;189;1642;7492;15398;1925;24815;5134;22210;3948;31292;12626;37608;5873;56107
