Població de 15 anys o més segons nivell de formació ampliat assolit. Comarques i Aran, àmbits i províncies;;;;;;;;;;;;
2020;;;;;;;;;;;;
Font: Idescat. Estadística dels estudis de la població.;;;;;;;;;;;;
Nota: Els resultats estan arrodonits a valors múltiples de 5. Per aquesta raó algun total pot no coincidir amb la suma de la seva desagregació.;;;;;;;;;;;;
Institut d'Estadística de Catalunya;;;;;;;;;;;;
https://www.idescat.cat/indicadors/?id=aec&n=15743&t=202000;;;;;;;;;;;;
comarca;Analfabets;Educació primària incompleta;Educació primària;Primera etapa d'educació secundària i similar;Segona etapa d'educació secundària amb orientació general;Segona etapa d'educació secundària amb orientació professional;Ensenyament de grau superior de formació professional i similars;Graus universitaris de fins a 240 crèdits i similars;Graus universitaris de més de 240 crèdits i similars;Màster universitari i similars;Doctorat universitari;Total
Alt Camp;105;1370;4445;13665;3740;4410;4015;3060;2400;705;220;38135
Alt Empordà;335;5810;15730;42440;17880;11620;7180;9130;8030;1830;655;120640
Alt Penedès;185;2155;11870;28265;10210;11605;9155;8410;7065;1825;640;91385
Alt Urgell;40;650;2085;5315;2640;1860;1485;1605;1355;430;135;17600
Alta Ribagorça;10;130;375;885;505;335;315;365;335;65;30;3350
Anoia;340;3180;11920;35455;11460;13035;10460;8320;6590;1795;490;103055
Aran;10;125;665;2575;1445;1095;910;990;785;175;45;8820
Bages;360;4375;19750;50460;16845;17125;14000;14195;11535;3035;905;152580
Baix Camp;1240;5960;17960;52250;20365;17655;15125;14080;12810;3925;1220;162590
Baix Ebre;140;3050;9595;23610;7830;7390;5260;4925;3890;1435;320;67445
Baix Empordà;595;3535;14240;40195;14380;11370;8420;10855;8820;2050;750;115205
Baix Llobregat;2435;22205;77320;198035;88305;84355;79290;70710;59510;14585;5455;702210
Baix Penedès;160;2145;11415;31535;11100;11310;8575;7375;5640;1200;515;90975
Barcelonès;5485;66405;218560;447855;307505;160500;169330;221550;302080;74530;36315;2010100
Berguedà;70;690;4800;11820;3240;4025;3605;3190;2475;780;165;34860
Cerdanya;15;320;1515;4930;2605;1725;1325;1625;1565;360;120;16110
Conca de Barberà;15;565;2220;5840;1845;2180;1680;1330;1245;330;85;17325
Garraf;310;1915;14040;34565;19815;12705;11390;16020;15330;3110;1420;130620
Garrigues;20;575;2695;5880;1575;1855;1535;1280;920;295;75;16695
Garrotxa;85;1895;6905;16360;5510;5160;4395;4650;3870;1045;335;50205
Gironès;800;5410;17900;46990;24205;15510;12155;16225;16445;5135;2190;162970
Maresme;1250;14050;39185;111015;52640;40010;35705;42340;38605;9285;3630;387710
Moianès;5;160;1390;3570;1515;1365;1100;1310;1070;275;105;11865
Montsià;250;2275;8265;21800;6225;6260;5420;4040;3115;1030;210;58895
Noguera;180;1300;4705;12575;3415;3315;2685;2735;1965;590;140;33605
Osona;360;4105;17190;45080;15560;15835;11615;12865;10815;3095;980;137505
Pallars Jussà;15;455;1755;3055;1430;1300;1300;1135;935;280;75;11730
Pallars Sobirà;0;125;635;1400;880;730;760;700;640;170;60;6100
Pla d'Urgell;125;1050;4605;11350;3370;3335;2955;2415;1810;540;130;31685
Pla de l'Estany;175;1015;2995;8580;2765;2900;2395;2740;2350;920;295;27125
Priorat;25;165;1000;2840;855;905;820;690;635;160;65;8160
Ribera d'Ebre;60;600;3085;6715;1505;2300;2050;1545;1075;350;70;19345
Ripollès;75;865;2980;7190;2430;2350;2125;1830;1640;395;130;22010
Segarra;15;965;2655;7415;2130;1955;1515;1420;1195;325;75;19670
Segrià;720;6780;21010;59510;21835;16750;15590;17250;14465;4560;1755;180220
Selva;680;5075;17135;53580;21395;15985;11270;11090;9160;2175;730;148275
Solsonès;25;635;1405;3390;1280;1290;1275;1085;810;255;70;11520
Tarragonès;820;6140;25345;67045;26785;24335;22415;20315;19725;6265;2605;221795
Terra Alta;30;485;1905;3855;760;1185;620;560;525;170;30;10135
Urgell;80;785;4295;10585;4185;3325;2755;2610;2035;565;165;31390
Vallès Occidental;2935;19915;85220;225370;99780;86050;78185;79060;76245;20030;8725;781510
Vallès Oriental;830;10070;38395;104965;44750;42405;36875;31920;28230;6975;2400;347815
Catalunya;21390;209485;751160;1869810;888495;670720;609030;659540;689735;177035;74545;6620940
Metropolità;12930;132670;459110;1088120;593400;413700;399735;446020;505030;125480;56565;4232765
Comarques Gironines;2740;23605;77880;215340;88560;64900;47930;56515;50320;13550;5085;646430
Camp de Tarragona;2200;14200;50970;141640;53590;49485;44055;39475;36810;11385;4195;448005
Terres de l'Ebre;480;6410;22855;55985;16325;17135;13345;11070;8605;2980;630;155820
Ponent;1135;11460;39965;107315;36510;30535;27035;27710;22390;6870;2345;313265
Comarques Centrals;815;9940;44105;113430;38020;39260;31250;32200;26340;7355;2190;344910
Alt Pirineu i Aran;90;1800;7030;18160;9505;7045;6100;6420;5615;1480;465;63710
Penedès;995;9400;49245;129820;52590;48655;39580;40125;34625;7930;3070;416035
Barcelona;14555;149240;539650;1296580;671570;489015;460720;509785;559465;139290;61225;4891090
Girona;2760;23855;79050;219310;90800;66285;48950;57860;51580;13865;5185;659495
Lleida;1235;13635;47220;124760;45115;37490;33385;33970;27635;8310;2795;375555
Tarragona;2840;22755;85240;229160;81015;77930;65975;57920;51055;15570;5340;694800
