Renta familiar disponible bruta (RFBD). Por habitante y Indice Cataluña. Comarcas y Aran, y ámbitos
2020
Fuente: Idescat. Estadística Renta familiar disponible bruta. Comarcas y municipios.
Nota: La nueva comarca de El Moianès se creó el 1 de mayo de 2015 (Ley 4/2015, de 23 de abril, de creación de la comarca de El Moianès) a partir de la agregación de cinco municipios de la comarca de El Bages, uno de la comarca de Osona y cuatro de la comarca de El Vallès Oriental.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15917&t=202000&lang=es
;RFDB (miles de euros);RFDB por habitante (euros);RFDB por habitante (Índex Catalunya=100 por habitante)
Alt Camp;700228;15550;88,6
Alt Empordà;1949301;13934;79,4
Alt Penedès;1831259;16626;94,7
Alt Urgell;276359;13732;78,3
Alta Ribagorça;57401;14665;83,6
Anoia;1931146;15604;88,9
Aran;160974;15857;90,4
Bages;3001099;16723;95,3
Baix Camp;2983063;15221;86,7
Baix Ebre;1102507;14057;80,1
Baix Empordà;1978690;14698;83,8
Baix Llobregat;15136738;18267;104,1
Baix Penedès;1605245;14778;84,2
Barcelonès;44296484;19353;110,3
Berguedà;667228;16714;95,2
Cerdanya;281008;14986;85,4
Conca de Barberà;322793;16220;92,4
Garraf;2721589;18003;102,6
Garrigues;267488;14054;80,1
Garrotxa;973229;16839;96,0
Gironès;3211283;16757;95,5
Maresme;8105973;17840;101,7
Moianès;232504;16660;94,9
Montsià;896430;12930;73,7
Noguera;533526;13819;78,7
Osona;2802965;17292;98,5
Pallars Jussà;192060;14748;84,0
Pallars Sobirà;102376;14624;83,3
Pla d'Urgell;568568;15201;86,6
Pla de l'Estany;554195;17029;97,0
Priorat;133854;14584;83,1
Ribera d'Ebre;328537;15179;86,5
Ripollès;430005;17055;97,2
Segarra;336464;14677;83,6
Segrià;3285560;15746;89,7
Selva;2546953;14829;84,5
Solsonès;202454;14650;83,5
Tarragonès;3982679;15120;86,2
Terra Alta;157182;13927;79,4
Urgell;538682;14520;82,7
Vallès Occidental;16972034;18107;103,2
Vallès Oriental;7310175;17638;100,5
Catalunya;135668287;17549;100,0
Metropolità;91891858;18648;106,3
Comarques Gironines;11643656;15454;88,1
Camp de Tarragona;8122617;15225;86,8
Terres de l'Ebre;2484656;13751;78,4
Ponent;5530289;15205;86,6
Comarques Centrals;6835796;16869;96,1
Alt Pirineu i Aran;1070177;14667;83,6
Penedès;8089239;16385;93,4

