Paro registrado. Por sexo y grupos de edad. Total. Medias anuales. Comarcas y Aran, ámbitos y provincias;;;
2021;;;
Unidades: Personas.;;;
Fuente: Departamento de Empresa y Trabajo.;;;
Institut d'Estadística de Catalunya;;;
https://www.idescat.cat/indicadors/?id=aec&n=15957&t=202100&lang=es;;;
comarca;16-24;25+;Total
Alt Camp;227.5;2695.5;2922.9
Alt Empordà;671;7752;8423
Alt Penedès;329.4;5556.2;5885.6
Alt Urgell;70.8;873.6;944.3
Alta Ribagorça;10.8;132;142.7
Anoia;626.9;7563.1;8190
Aran;37.7;360.2;397.9
Bages;708.7;10074;10782.7
Baix Camp;1070.7;12161.7;13232.3
Baix Ebre;387.6;4321.6;4709.1
Baix Empordà;473.4;6473.6;6946.9
Baix Llobregat;2949.2;40907.8;43856.9
Baix Penedès;687.6;7999.7;8687.2
Barcelonès;7290.8;117004.1;124294.8
Berguedà;120.1;1903.6;2023.8
Cerdanya;42.7;584.7;627.3
Conca de Barberà;62.1;847.7;909.8
Garraf;523.8;8783.6;9307.4
Garrigues;60;751;810.9
Garrotxa;155.3;2207.6;2362.8
Gironès;981.1;9780.7;10761.8
Maresme;1583.3;25365;26948.2
Moianès;38.4;573;611.3
Montsià;374.5;3876.7;4251.1
Noguera;187.5;1907;2094.4
Osona;587.6;7579.5;8167
Pallars Jussà;49.3;607.4;656.7
Pallars Sobirà;21.8;277.4;299.2
Pla d'Urgell;114.8;1634.7;1749.5
Pla de l'Estany;98;1106.6;1204.6
Priorat;24.4;401.9;426.3
Ribera d'Ebre;83.1;1110.9;1194
Ripollès;70.4;953.3;1023.8
Segarra;60.5;840.1;900.6
Segrià;1049.7;11699;12748.8
Selva;839;10015.7;10854.6
Solsonès;37.6;519.2;556.8
Tarragonès;1366.3;15218.4;16584.6
Terra Alta;24.7;406.1;430.8
Urgell;127.4;1765.6;1893
Vallès Occidental;3680.8;51105.3;54786
Vallès Oriental;1589.3;21975.2;23564.6
Cataluña;29494.8;407670.9;437165.6
Metropolità;17100;256515.4;273615.3
Comarques Gironines;3288.1;38289.3;41577.4
Camp de Tarragona;2750.9;31325.2;34075.9
Terres de l'Ebre;869.8;9715.2;10584.9
Ponent;1600;18597.1;20197.2
Comarques Centrals;1501.8;20737.4;22239.2
Alt Pirineu i Aran;233;2835.1;3068
Penedès;2151.5;29656.3;31807.7
Barcelona;20033.5;298463.1;318496.6
Girona;3317.6;38695.3;42012.9
Lleida;1835.6;21472.6;23308.1
Tarragona;4308.2;49039.8;53348
