Formació d'adults. Centres, personal docent i alumnes per sexe i grups d'edat. Comarques i Aran;;;;;;;;;;;;;;
Curs 2021/2022;;;;;;;;;;;;;;
Font: Departament d'Educació. Servei d'indicadors i estadística.;;;;;;;;;;;;;;
Institut d'Estadística de Catalunya;;;;;;;;;;;;;;
https://www.idescat.cat/indicadors/?id=aec&n=15741&t=202200;;;;;;;;;;;;;;
;Centres;Personal docent;Alumnes (homes). 16-24;Alumnes (homes). 25-64;Alumnes (homes). 65 i més;Alumnes (homes). Total;Alumnes (dones). 16-24;Alumnes (dones). 25-64;Alumnes (dones). 65 i més;Alumnes (dones). Total;Alumnes (total). 16-24;Alumnes (total). 25-64;Alumnes (total). 65 i més;Alumnes (total). Total
Alt Camp;1;7;22;46;4;72;18;88;17;123;40;134;21;195
Alt Empordà;4;38;235;674;19;928;96;357;16;469;331;1031;35;1397
Alt Penedès;2;12;42;87;8;137;40;104;16;160;82;191;24;297
Alt Urgell;1;6;32;64;17;113;13;133;30;176;45;197;47;289
Alta Ribagorça;1;1;1;3;0;4;4;25;0;29;5;28;0;33
Anoia;1;4;20;49;2;71;11;52;1;64;31;101;3;135
Aran;1;3;4;36;2;42;8;78;4;90;12;114;6;132
Bages;3;36;105;541;116;762;89;446;41;576;194;987;157;1338
Baix Camp;4;40;169;302;27;498;141;580;61;782;310;882;88;1280
Baix Ebre;2;12;54;74;19;147;51;191;30;272;105;265;49;419
Baix Empordà;5;31;122;354;45;521;118;628;70;816;240;982;115;1337
Baix Llobregat;19;193;733;2349;275;3357;588;2937;517;4042;1321;5286;792;7399
Baix Penedès;2;15;48;63;4;115;57;193;17;267;105;256;21;382
Barcelonès;50;440;2165;3620;664;6449;1731;7378;1648;10757;3896;10998;2312;17206
Berguedà;1;6;23;52;4;79;19;80;6;105;42;132;10;184
Cerdanya;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Conca de Barberà;1;4;12;35;14;61;1;52;19;72;13;87;33;133
Garraf;3;28;126;278;20;424;138;498;44;680;264;776;64;1104
Garrigues;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Garrotxa;1;13;105;174;17;296;75;228;37;340;180;402;54;636
Gironès;4;55;454;418;15;887;233;776;31;1040;687;1194;46;1927
Maresme;14;88;451;1066;89;1606;267;1604;193;2064;718;2670;282;3670
Moianès;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Montsià;2;10;65;42;16;123;23;138;24;185;88;180;40;308
Noguera;1;4;14;52;16;82;10;92;31;133;24;144;47;215
Osona;6;42;130;369;12;511;102;430;34;566;232;799;46;1077
Pallars Jussà;1;3;18;39;17;74;9;135;11;155;27;174;28;229
Pallars Sobirà;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pla d'Urgell;1;9;40;82;32;154;35;227;61;323;75;309;93;477
Pla de l'Estany;1;8;85;113;13;211;59;215;24;298;144;328;37;509
Priorat;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ribera d'Ebre;1;8;31;97;18;146;15;156;26;197;46;253;44;343
Ripollès;1;3;12;41;5;58;21;73;4;98;33;114;9;156
Segarra;1;4;17;67;5;89;17;96;11;124;34;163;16;213
Segrià;4;42;219;842;84;1145;66;423;152;641;285;1265;236;1786
Selva;5;43;171;337;14;522;121;588;45;754;292;925;59;1276
Solsonès;1;7;20;81;8;109;16;130;14;160;36;211;22;269
Tarragonès;7;88;284;649;54;987;244;743;96;1083;528;1392;150;2070
Terra Alta;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Urgell;1;7;30;76;31;137;14;167;46;227;44;243;77;364
Vallès Occidental;19;171;777;1359;277;2413;642;3033;611;4286;1419;4392;888;6699
Vallès Oriental;17;134;886;1324;135;2345;319;1610;238;2167;1205;2934;373;4512
Catalunya;189;1615;7722;15855;2098;25675;5411;24684;4226;34321;13133;40539;6324;59996
