Població activa. Per grups d'edat. Comarques i Aran;;;;;;;;;;;;
Catalunya. 2021;;;;;;;;;;;;
Font: Idescat, a partir del Cens de població i habitatges de l'INE.;;;;;;;;;;;;
Nota: Al Cens de 2021, per garantir el secret estadístic, els resultats estan arrodonits aleatòriament a valors múltiples de 3. Per aquesta raó algun total pot no coincidir amb la suma de la seva desagregació.;;;;;;;;;;;;
Institut d'Estadística de Catalunya;;;;;;;;;;;;
https://www.idescat.cat/indicadors/?id=aec&n=15278&t=202100;;;;;;;;;;;;
comarca;De 16 a 19 anys;De 20 a 24 anys;De 25 a 29 anys;De 30 a 34 anys;De 35 a 39 anys;De 40 a 44 anys;De 45 a 49 anys;De 50 a 54 anys;De 55 a 59 anys;De 60 a 64 anys;65 anys o més;Total
Alt Camp;264;1242;1746;2058;2430;3264;3150;2937;2610;1635;300;21636
Alt Empordà;696;3696;5268;5994;7437;9441;9285;8415;7431;5082;1197;63945
Alt Penedès;654;2829;4044;4554;6051;8493;8739;7383;6087;3711;804;53352
Alt Urgell;84;462;735;789;882;1209;1200;1134;1083;798;153;8529
Alta Ribagorça;12;81;153;198;219;279;306;267;237;171;36;1959
Anoia;777;3510;4842;5466;6915;9438;9567;7947;6630;3951;546;59604
Aran;36;237;438;543;645;903;783;663;603;483;117;5448
Bages;1041;5115;6639;7590;9759;13122;12759;10965;9567;6291;807;83658
Baix Camp;999;4767;7263;8508;10464;14085;13629;11742;10062;6654;1263;89439
Baix Ebre;468;1971;2928;3291;4161;5247;5196;4668;4248;2754;786;35718
Baix Empordà;597;3102;4881;5295;6666;8745;9081;8310;7401;5100;1173;60351
Baix Llobregat;4224;22839;32070;37962;47370;62607;67278;57315;44325;26838;4023;406851
Baix Penedès;597;2904;3954;4344;5868;7815;7863;6873;5586;3489;591;49878
Barcelonès;7827;54276;103371;122262;133587;151278;148794;131535;115731;78060;16974;1063686
Berguedà;246;993;1530;1785;2094;2595;2403;2268;2289;1596;201;17997
Cerdanya;93;528;690;843;1059;1374;1362;1242;1107;801;270;9366
Conca de Barberà;99;492;753;834;1122;1383;1425;1353;1239;807;192;9696
Garraf;660;3615;5169;6168;8196;11301;11919;10677;8709;5457;918;72786
Garrigues;99;489;687;894;981;1221;1248;1122;1131;825;216;8907
Garrotxa;453;1722;2523;2763;3255;4137;4041;3612;3459;2301;423;28692
Gironès;1329;5838;8349;9540;11586;15009;13815;11922;10119;6552;1170;95226
Maresme;2061;11544;16476;19260;25116;32907;34560;30465;25530;16956;3153;218019
Moianès;117;429;564;588;723;1047;1086;987;927;549;99;7107
Montsià;399;1626;2403;2895;3804;4884;4659;4143;3570;2370;630;31380
Noguera;258;1074;1569;1728;2142;2670;2598;2397;2322;1548;495;18801
Osona;1302;5358;6783;7509;9351;12051;11712;10206;9462;6123;1068;80937
Pallars Jussà;45;315;558;555;654;810;831;795;807;621;126;6120
Pallars Sobirà;39;168;282;363;444;492;507;495;459;366;87;3696
Pla d'Urgell;207;981;1482;1644;2088;2769;2643;2496;2049;1341;429;18135
Pla de l'Estany;219;1005;1389;1476;1920;2499;2307;2067;1890;1302;279;16347
Priorat;42;207;306;399;471;624;654;576;591;432;84;4389
Ribera d'Ebre;81;468;780;936;1095;1332;1248;1212;1290;924;216;9579
Ripollès;141;621;933;1020;1284;1689;1758;1590;1629;1080;201;11946
Segarra;132;738;1032;1131;1353;1716;1734;1566;1374;777;279;11838
Segrià;1158;5688;8457;9618;11889;15279;15183;13509;11841;7743;1479;101844
Selva;981;4605;6345;7362;8967;11511;11673;10464;8802;5907;975;77595
Solsonès;99;393;501;630;762;915;918;861;813;522;150;6564
Tarragonès;1176;6384;10170;11619;14829;18759;18000;15699;13023;8397;1485;119547
Terra Alta;30;240;405;486;579;690;663;663;663;534;111;5064
Urgell;204;1014;1551;1725;2016;2613;2481;2394;2202;1422;360;17985
Vallès Occidental;5100;27006;37758;43056;53922;71103;72582;61122;50253;31182;4776;457857
Vallès Oriental;2373;12042;16275;18300;23622;31851;33171;28854;23055;14403;2244;206193
Catalunya;37403;202605;314069;363976;437773;551152;554812;484915;412228;267851;50884;3677668
