any;comarca o Aran;edat;sexe;concepte;estat;valor
2011;Alt Camp;0 anys;homes;població;;266
2011;Alt Camp;0 anys;dones;població;;272
2011;Alt Camp;0 anys;total;població;;538
2011;Alt Camp;1 any;homes;població;;277
2011;Alt Camp;1 any;dones;població;;252
2011;Alt Camp;1 any;total;població;;529
2011;Alt Camp;2 anys;homes;població;;255
2011;Alt Camp;2 anys;dones;població;;224
2011;Alt Camp;2 anys;total;població;;479
2011;Alt Camp;3 anys;homes;població;;303
2011;Alt Camp;3 anys;dones;població;;281
2011;Alt Camp;3 anys;total;població;;584
2011;Alt Camp;4 anys;homes;població;;282
2011;Alt Camp;4 anys;dones;població;;238
2011;Alt Camp;4 anys;total;població;;520
2011;Alt Camp;5 anys;homes;població;;258
2011;Alt Camp;5 anys;dones;població;;241
2011;Alt Camp;5 anys;total;població;;499
2011;Alt Camp;6 anys;homes;població;;269
2011;Alt Camp;6 anys;dones;població;;225
2011;Alt Camp;6 anys;total;població;;494
2011;Alt Camp;7 anys;homes;població;;244
2011;Alt Camp;7 anys;dones;població;;205
2011;Alt Camp;7 anys;total;població;;449
2011;Alt Camp;8 anys;homes;població;;266
2011;Alt Camp;8 anys;dones;població;;270
2011;Alt Camp;8 anys;total;població;;536
2011;Alt Camp;9 anys;homes;població;;228
2011;Alt Camp;9 anys;dones;població;;236
2011;Alt Camp;9 anys;total;població;;464
2011;Alt Camp;10 anys;homes;població;;228
2011;Alt Camp;10 anys;dones;població;;215
2011;Alt Camp;10 anys;total;població;;444
2011;Alt Camp;11 anys;homes;població;;256
2011;Alt Camp;11 anys;dones;població;;220
2011;Alt Camp;11 anys;total;població;;477
2011;Alt Camp;12 anys;homes;població;;241
2011;Alt Camp;12 anys;dones;població;;209
2011;Alt Camp;12 anys;total;població;;451
2011;Alt Camp;13 anys;homes;població;;234
2011;Alt Camp;13 anys;dones;població;;209
2011;Alt Camp;13 anys;total;població;;443
2011;Alt Camp;14 anys;homes;població;;215
2011;Alt Camp;14 anys;dones;població;;220
2011;Alt Camp;14 anys;total;població;;436
2011;Alt Camp;15 anys;homes;població;;214
2011;Alt Camp;15 anys;dones;població;;202
2011;Alt Camp;15 anys;total;població;;415
2011;Alt Camp;16 anys;homes;població;;205
2011;Alt Camp;16 anys;dones;població;;214
2011;Alt Camp;16 anys;total;població;;419
2011;Alt Camp;17 anys;homes;població;;230
2011;Alt Camp;17 anys;dones;població;;210
2011;Alt Camp;17 anys;total;població;;440
2011;Alt Camp;18 anys;homes;població;;221
2011;Alt Camp;18 anys;dones;població;;219
2011;Alt Camp;18 anys;total;població;;440
2011;Alt Camp;19 anys;homes;població;;223
2011;Alt Camp;19 anys;dones;població;;211
2011;Alt Camp;19 anys;total;població;;433
2011;Alt Camp;20 anys;homes;població;;235
2011;Alt Camp;20 anys;dones;població;;224
