Paro registrado. Por sexo y grupos de edad. Hombres. Medias anuales. Comarcas y Aran, ámbitos y provincias;;;
2022;;;
Unidades: Personas.;;;
Fuente: Departamento de Empresa y Trabajo.;;;
Institut d'Estadística de Catalunya;;;
https://www.idescat.cat/indicadors/?id=aec&n=15957&t=202200&lang=es;;;
comarca;Total_homes;Total_dones;Total
Alt Camp;1049.4;1377.2;2426.6
Alt Empordà;2708.9;3658.3;6367.2
Alt Penedès;2049.5;2948.3;4997.8
Alt Urgell;306.3;433.6;739.9
Alta Ribagorça;46.2;54.8;101
Anoia;2738.5;4198;6936.5
Aran;112.7;114.5;227.2
Bages;3992.6;5269.9;9262.5
Baix Camp;4302.3;6248.6;10550.9
Baix Ebre;1734.4;2162.6;3897
Baix Empordà;2269.1;2950.4;5219.5
Baix Llobregat;14987.7;20832.2;35819.9
Baix Penedès;3034.2;4300.1;7334.3
Barcelonès;42969.2;53731.3;96700.5
Berguedà;738.1;1033.2;1771.3
Cerdanya;198.3;269.3;467.6
Conca de Barberà;336.3;414.7;751
Garraf;3307.2;4428.4;7735.6
Garrigues;337;378.7;715.7
Garrotxa;903;1085.4;1988.4
Gironès;4065.6;4832.8;8898.4
Maresme;9349.7;12740.3;22090
Moianès;216.9;309.9;526.8
Montsià;1444.4;2035.6;3480
Noguera;843.8;1009.6;1853.4
Osona;2984.3;3997.4;6981.7
Pallars Jussà;254.3;272.2;526.5
Pallars Sobirà;97.6;111;208.6
Pla d'Urgell;647.8;870.5;1518.3
Pla de l'Estany;467.7;575.3;1043
Priorat;142.9;185.3;328.2
Ribera d'Ebre;424.3;551;975.3
Ripollès;361.6;475;836.6
Segarra;321.7;436.1;757.8
Segrià;4440.4;5934.1;10374.5
Selva;3582.3;4904.2;8486.5
Solsonès;195.4;267.3;462.7
Tarragonès;5430.8;7672.3;13103.1
Terra Alta;163.8;196;359.8
Urgell;647.9;961.7;1609.6
Vallès Occidental;19217.6;27176.1;46393.7
Vallès Oriental;8211.2;11608.3;19819.5
Cataluña;151632.6;203011.1;354643.7
Metropolità;94796.3;126175.6;220971.9
Comarques Gironines;14358.2;18481.5;32839.7
Camp de Tarragona;11261.7;15897.9;27159.6
Terres de l'Ebre;3766.9;4945.2;8712.1
Ponent;7238.6;9590.6;16829.2
Comarques Centrals;8152.3;10911.5;19063.8
Alt Pirineu i Aran;1015.3;1255.3;2270.6
Penedès;11043.3;15753.5;26796.8
Barcelona;110797.3;148306.5;259103.8
Girona;14481.1;18665.9;33147
Lleida;8291.4;10895.5;19186.9
Tarragona;18062.8;25143.2;43206
