any;comarca o Aran;sexe;nivell de formació assolit;concepte;estat;valor
2022;Alt Camp;homes;analfabetisme;població de 15 anys o més;;27
2022;Alt Camp;homes;educació primària incompleta;població de 15 anys o més;;501
2022;Alt Camp;homes;educació primària;població de 15 anys o més;;1944
2022;Alt Camp;homes;primera etapa d’educació secundària i similar;població de 15 anys o més;;7527
2022;Alt Camp;homes;segona etapa d’educació secundària, amb orientació general;població de 15 anys o més;;1974
2022;Alt Camp;homes;segona etapa d’educació secundària, amb orientació professional;població de 15 anys o més;;2454
2022;Alt Camp;homes;ensenyaments de grau superior de formació professional i similars;població de 15 anys o més;;2325
2022;Alt Camp;homes;graus universitaris de fins a 240 crèdits i similars;població de 15 anys o més;;1350
2022;Alt Camp;homes;graus universitaris de més de 240 crèdits i similars;població de 15 anys o més;;1080
2022;Alt Camp;homes;màsters universitaris i similars;població de 15 anys o més;;366
2022;Alt Camp;homes;doctorat universitari;població de 15 anys o més;;108
2022;Alt Camp;homes;total;població de 15 anys o més;;19653
2022;Alt Camp;dones;analfabetisme;població de 15 anys o més;;60
2022;Alt Camp;dones;educació primària incompleta;població de 15 anys o més;;720
2022;Alt Camp;dones;educació primària;població de 15 anys o més;;2214
2022;Alt Camp;dones;primera etapa d’educació secundària i similar;població de 15 anys o més;;6198
2022;Alt Camp;dones;segona etapa d’educació secundària, amb orientació general;població de 15 anys o més;;1824
2022;Alt Camp;dones;segona etapa d’educació secundària, amb orientació professional;població de 15 anys o més;;2124
2022;Alt Camp;dones;ensenyaments de grau superior de formació professional i similars;població de 15 anys o més;;1899
2022;Alt Camp;dones;graus universitaris de fins a 240 crèdits i similars;població de 15 anys o més;;1944
2022;Alt Camp;dones;graus universitaris de més de 240 crèdits i similars;població de 15 anys o més;;1326
2022;Alt Camp;dones;màsters universitaris i similars;població de 15 anys o més;;546
2022;Alt Camp;dones;doctorat universitari;població de 15 anys o més;;126
2022;Alt Camp;dones;total;població de 15 anys o més;;18978
2022;Alt Camp;total;analfabetisme;població de 15 anys o més;;84
