any;comarca o Aran;sexe;concepte;estat;valor
1975;Alt Camp;homes;població;;15242
1975;Alt Camp;dones;població;;15869
1975;Alt Camp;total;població;;31111
1975;Alt Empordà;homes;població;;38608
1975;Alt Empordà;dones;població;;38993
1975;Alt Empordà;total;població;;77601
1975;Alt Penedès;homes;població;;30124
1975;Alt Penedès;dones;població;;30363
1975;Alt Penedès;total;població;;60487
1975;Alt Urgell;homes;població;;9650
1975;Alt Urgell;dones;població;;9108
1975;Alt Urgell;total;població;;18758
1975;Alta Ribagorça;homes;població;;2386
1975;Alta Ribagorça;dones;població;;2119
1975;Alta Ribagorça;total;població;;4505
1975;Anoia;homes;població;;36034
1975;Anoia;dones;població;;36804
1975;Anoia;total;població;;72838
1975;Aran;homes;població;;2770
1975;Aran;dones;població;;2513
1975;Aran;total;població;;5283
1975;Bages;homes;població;;72228
1975;Bages;dones;població;;76212
1975;Bages;total;població;;148440
1975;Baix Camp;homes;població;;53280
1975;Baix Camp;dones;població;;53906
1975;Baix Camp;total;població;;107186
1975;Baix Ebre;homes;població;;32319
1975;Baix Ebre;dones;població;;33447
1975;Baix Ebre;total;població;;65766
1975;Baix Empordà;homes;població;;38048
1975;Baix Empordà;dones;població;;38714
1975;Baix Empordà;total;població;;76762
1975;Baix Llobregat;homes;població;;256649
1975;Baix Llobregat;dones;població;;255275
1975;Baix Llobregat;total;població;;511924
1975;Baix Penedès;homes;població;;13674
1975;Baix Penedès;dones;població;;13496
1975;Baix Penedès;total;població;;27170
1975;Barcelonès;homes;població;;1154675
1975;Barcelonès;dones;població;;1257938
1975;Barcelonès;total;població;;2412613
1975;Berguedà;homes;població;;21094
1975;Berguedà;dones;població;;21870
1975;Berguedà;total;població;;42964
1975;Cerdanya;homes;població;;6377
1975;Cerdanya;dones;població;;6094
1975;Cerdanya;total;població;;12471
1975;Conca de Barberà;homes;població;;9263
1975;Conca de Barberà;dones;població;;9456
1975;Conca de Barberà;total;població;;18719
1975;Garraf;homes;població;;31237
1975;Garraf;dones;població;;31708
1975;Garraf;total;població;;62945
1975;Garrigues;homes;població;;10484
1975;Garrigues;dones;població;;10324
1975;Garrigues;total;població;;20808
1975;Garrotxa;homes;població;;21667
1975;Garrotxa;dones;població;;22823
1975;Garrotxa;total;població;;44490
1975;Gironès;homes;població;;52163
1975;Gironès;dones;població;;54931
1975;Gironès;total;població;;107094
1975;Maresme;homes;població;;112998
1975;Maresme;dones;població;;118192
1975;Maresme;total;població;;231190
1975;Moianès;homes;població;..;null
1975;Moianès;dones;població;..;null
1975;Moianès;total;població;..;null
1975;Montsià;homes;població;;23987
1975;Montsià;dones;població;;24414
1975;Montsià;total;població;;48401
1975;Noguera;homes;població;;18351
1975;Noguera;dones;població;;17907
1975;Noguera;total;població;;36258
1975;Osona;homes;població;;52567
1975;Osona;dones;població;;55301
1975;Osona;total;població;;107868
1975;Pallars Jussà;homes;població;;7521
1975;Pallars Jussà;dones;població;;7386
1975;Pallars Jussà;total;població;;14907
1975;Pallars Sobirà;homes;població;;3063
1975;Pallars Sobirà;dones;població;;2699
1975;Pallars Sobirà;total;població;;5762
1975;Pla d'Urgell;homes;població;;14351
1975;Pla d'Urgell;dones;població;;14222
1975;Pla d'Urgell;total;població;;28573
1975;Pla de l'Estany;homes;població;;9705
1975;Pla de l'Estany;dones;població;;9803
1975;Pla de l'Estany;total;població;;19508
1975;Priorat;homes;població;;5483
1975;Priorat;dones;població;;5586
1975;Priorat;total;població;;11069
1975;Ribera d'Ebre;homes;població;;12051
1975;Ribera d'Ebre;dones;població;;12308
1975;Ribera d'Ebre;total;població;;24359
1975;Ripollès;homes;població;;14496
1975;Ripollès;dones;població;;15216
1975;Ripollès;total;població;;29712
1975;Segarra;homes;població;;8633
1975;Segarra;dones;població;;8923
1975;Segarra;total;població;;17556
1975;Segrià;homes;població;;75056
1975;Segrià;dones;població;;76404
1975;Segrià;total;població;;151460
1975;Selva;homes;població;;37900
1975;Selva;dones;població;;38309
1975;Selva;total;població;;76209
1975;Solsonès;homes;població;;5931
1975;Solsonès;dones;població;;5724
1975;Solsonès;total;població;;11655
1975;Tarragonès;homes;població;;65299
1975;Tarragonès;dones;població;;67217
1975;Tarragonès;total;població;;132516
1975;Terra Alta;homes;població;;7044
1975;Terra Alta;dones;població;;6985
1975;Terra Alta;total;població;;14029
1975;Urgell;homes;població;;14567
1975;Urgell;dones;població;;14997
1975;Urgell;total;població;;29564
1975;Vallès Occidental;homes;població;;269341
1975;Vallès Occidental;dones;població;;276080
1975;Vallès Occidental;total;població;;545421
1975;Vallès Oriental;homes;població;;95879
1975;Vallès Oriental;dones;població;;96745
1975;Vallès Oriental;total;població;;192624
1975;Catalunya;homes;població;;2763030
1975;Catalunya;dones;població;;2897183
1975;Catalunya;total;població;;5660213
1981;Alt Camp;homes;població;;16230
1981;Alt Camp;dones;població;;16558
1981;Alt Camp;total;població;;32788
1981;Alt Empordà;homes;població;;40402
1981;Alt Empordà;dones;població;;40388
1981;Alt Empordà;total;població;;80790
1981;Alt Penedès;homes;població;;32258
1981;Alt Penedès;dones;població;;32636
1981;Alt Penedès;total;població;;64894
1981;Alt Urgell;homes;població;;9850
1981;Alt Urgell;dones;població;;9485
1981;Alt Urgell;total;població;;19335
1981;Alta Ribagorça;homes;població;;2420
1981;Alta Ribagorça;dones;població;;2129
1981;Alta Ribagorça;total;població;;4549
