Població activa. Per grups d'edat. Comarques i Aran
Catalunya. 2022
Font: Idescat, a partir del Cens de població i habitatges de l'INE.
Nota: Al Cens de 2021, per garantir el secret estadístic, els resultats estan arrodonits aleatòriament a valors múltiples de 3. Per aquesta raó algun total pot no coincidir amb la suma de la seva desagregació.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15278&t=202200
;De 16 a 19 anys;De 20 a 24 anys;De 25 a 29 anys;De 30 a 34 anys;De 35 a 39 anys;De 40 a 44 anys;De 45 a 49 anys;De 50 a 54 anys;De 55 a 59 anys;De 60 a 64 anys;65 anys o més;Total
Alt Camp;270;1269;1746;2055;2373;3177;3222;2955;2661;1719;333;21786
Alt Empordà;816;3912;5310;5865;7137;9201;9435;8499;7599;5211;1305;64287
Alt Penedès;741;3174;4077;4410;5739;8112;8994;7611;6282;3894;891;53922
Alt Urgell;105;504;714;780;879;1137;1230;1119;1074;813;174;8532
Alta Ribagorça;24;87;153;183;210;273;318;291;231;180;45;2001
Anoia;897;3780;4872;5463;6594;9177;9777;8262;6831;4107;630;60387
Aran;90;285;444;546;648;903;837;699;627;489;144;5700
Bages;1209;5472;6717;7404;9339;12567;13065;11322;9717;6372;957;84138
Baix Camp;1158;5268;7422;8562;10173;13557;14232;12171;10356;6882;1362;91140
Baix Ebre;441;2133;2856;3177;3972;5109;5316;4758;4263;2853;825;35691
Baix Empordà;729;3288;4866;5361;6393;8571;9198;8454;7650;5274;1338;61125
Baix Llobregat;5148;24894;31872;36807;44964;59373;67818;58983;46194;27567;4503;408111
Baix Penedès;606;3018;3927;4350;5565;7620;8094;7059;5901;3750;627;50520
Barcelonès;9453;58065;102771;122130;128298;145674;149421;132354;117528;79431;18399;1063527
Berguedà;294;1047;1542;1728;2073;2541;2496;2250;2334;1623;222;18138
Cerdanya;153;627;732;870;1056;1335;1452;1281;1185;810;291;9798
Conca de Barberà;114;522;768;834;1065;1356;1410;1398;1245;855;198;9768
Garraf;795;3858;5184;6141;7947;10809;12234;10989;9027;5694;1035;73713
Garrigues;111;486;696;855;969;1179;1254;1107;1128;870;228;8889
Garrotxa;570;1887;2562;2874;3219;4119;4149;3672;3534;2295;501;29382
Gironès;1572;6378;8487;9672;11151;14523;14268;12165;10290;6672;1314;96489
Maresme;2367;12321;16593;18816;23985;31635;35175;31122;26340;17427;3495;219270
Moianès;132;480;603;612;711;996;1134;1014;939;603;111;7329
Montsià;390;1692;2403;2817;3456;4770;4704;4341;3555;2448;672;31248
Noguera;216;1113;1608;1698;2025;2583;2751;2406;2292;1668;537;18891
Osona;1521;5700;6888;7632;8943;11742;12141;10278;9591;6225;1182;81840
Pallars Jussà;48;336;555;591;630;768;840;777;795;669;141;6159
Pallars Sobirà;45;183;273;369;435;483;528;474;486;393;96;3765
Pla d'Urgell;237;1083;1464;1614;1995;2694;2757;2439;2145;1440;444;18315
Pla de l'Estany;273;1038;1389;1470;1851;2415;2385;2103;1962;1296;333;16512
Priorat;33;225;315;408;417;606;672;585;588;417;105;4374
Ribera d'Ebre;90;537;780;882;1041;1320;1287;1191;1293;915;225;9567
Ripollès;195;654;927;1047;1290;1593;1794;1629;1623;1095;216;12063
Segarra;186;786;1065;1074;1299;1716;1770;1581;1389;822;270;11961
Segrià;1374;6048;8427;9615;11316;14754;15369;13731;11910;8178;1710;102426
Selva;1188;4905;6435;7452;8607;11298;11901;10893;9114;6120;1080;78996
Solsonès;105;444;531;642;708;903;948;864;816;570;168;6696
Tarragonès;1437;6750;10254;11532;14118;18087;18696;15888;13455;8763;1665;120648
Terra Alta;48;273;405;465;573;675;681;660;666;573;108;5115
Urgell;237;1101;1485;1677;1911;2550;2598;2340;2205;1503;423;18042
Vallès Occidental;5922;28992;37851;42312;51246;67947;73788;62859;51819;31992;5238;459963
Vallès Oriental;2919;13182;16479;18057;22524;30702;33792;29466;24120;14844;2535;208617
Catalunya;44254;217779;314433;360833;418844;530549;563941;494055;422751;275326;56069;3698834

