Població inactiva. Per sexe. Total. Comarques i Aran, àmbits i províncies;;;;;
Catalunya. 2022;;;;;
Font: Idescat, a partir del Cens de població i habitatges de l'INE.;;;;;
Institut d'Estadística de Catalunya;;;;;
https://www.idescat.cat/indicadors/?id=aec&n=15273&t=202200;;;;;
;Població pensionista de jubilació, prejubilació;Població pensionista d'invalidesa;Població estudiant;Població amb una altra situació d'inactivitat;Total població inactiva
Alt Camp;7558;1094;2090;5614;16356
Alt Empordà;20492;2163;5896;27505;56056
Alt Penedès;16105;2289;4900;14457;37751
Alt Urgell;3528;477;893;4222;9120
Alta Ribagorça;592;102;195;569;1458
Anoia;20332;3393;5609;14134;43468
Aran;1236;171;360;1344;3111
Bages;33629;5641;7761;20018;67049
Baix Camp;28171;4373;9794;30283;72621
Baix Ebre;13779;1991;3494;12907;32171
Baix Empordà;21845;2071;5693;25838;55447
Baix Llobregat;117915;18117;39481;112806;288319
Baix Penedès;17420;3218;4670;18179;43487
Barcelonès;369532;41323;98711;379141;888707
Berguedà;9272;1601;1471;4226;16570
Cerdanya;2674;245;777;3164;6860
Conca de Barberà;3903;388;916;2342;7549
Garraf;22849;2986;7094;25616;58545
Garrigues;3906;429;754;2439;7528
Garrotxa;11537;906;2202;6432;21077
Gironès;26636;2965;9142;26291;65034
Maresme;73183;8996;22513;63803;168495
Moianès;2524;310;587;1467;4888
Montsià;11309;1732;3311;11087;27439
Noguera;6493;826;1608;5423;14350
Osona;27551;3626;6699;17325;55201
Pallars Jussà;2849;311;521;1720;5401
Pallars Sobirà;1259;158;295;791;2503
Pla d'Urgell;5309;846;1632;5011;12798
Pla de l'Estany;5272;424;1521;3327;10544
Priorat;2035;178;367;1214;3794
Ribera d'Ebre;4265;493;923;3775;9456
Ripollès;6168;602;866;2453;10089
Segarra;3436;598;1011;2720;7765
Segrià;30638;4913;9522;30005;75078
Selva;26182;3435;7380;33085;70082
Solsonès;2308;369;576;1589;4842
Tarragonès;36188;5829;12698;44132;98847
Terra Alta;2741;206;472;1448;4867
Urgell;5935;798;1718;4740;13191
Vallès Occidental;137239;22767;46768;110925;317699
Vallès Oriental;59998;9142;19685;50652;139477
Catalunya;1205793;162502;352576;1134219;2855090
Metropolità;758595;100431;227331;717738;1804095
Comarques Gironines;118132;12566;32700;124931;288329
Camp de Tarragona;77855;11862;25865;83585;199167
Terres de l'Ebre;32094;4422;8200;29217;73933
Ponent;55717;8410;16245;50338;130710
Comarques Centrals;75539;11616;17153;44845;149153
Alt Pirineu i Aran;12138;1464;3041;11810;28453
Penedès;75723;11731;22041;71755;181250
Barcelona;890088;120227;261283;814630;2086228
Girona;120136;12716;33344;127510;293706
Lleida;68200;10057;19214;61098;158569
Tarragona;127369;19502;38735;130981;316587
