Població a 1 de gener. Per nacionalitat. Comarques i Aran, àmbits i províncies
2022
Unitats: Persones.
Font: Idescat, a partir del Cens de població anual de l'INE.
Nota: A partir de 2021, les dades de la Unió Europea no contenen les del Regne Unit.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15236&t=202200
;Espanyola;Resta UE;Resta d'Europa;Àfrica;Amèrica del Nord i Central;Amèrica del Sud;Àsia i Oceania;Total
Alt Camp;39463;1320;491;2884;240;741;330;45469
Alt Empordà;108698;10998;2780;13567;2558;4222;1127;143950
Alt Penedès;98944;1801;792;5725;693;2022;833;110810
Alt Urgell;17783;944;301;457;182;668;123;20458
Alta Ribagorça;3473;179;62;140;37;89;9;3989
Anoia;113208;2018;664;5788;660;1789;946;125073
Aran;8570;838;97;259;107;329;43;10243
Bages;157910;3783;1322;10883;1659;3291;1601;180449
Baix Camp;164349;9127;2792;12747;1351;5517;1807;197690
Baix Ebre;65553;4137;1778;5045;503;1089;1840;79945
Baix Empordà;110768;6570;4472;10778;2406;2227;974;138195
Baix Llobregat;741791;20896;6745;21512;7329;22469;11337;832079
Baix Penedès;94994;4342;1530;6198;868;3319;1009;112260
Barcelonès;1797823;105540;39312;41800;52615;111410;110535;2259035
Berguedà;36253;891;214;1433;333;907;275;40306
Cerdanya;16758;736;251;361;237;1041;85;19469
Conca de Barberà;17800;760;288;947;72;178;166;20211
Garraf;132856;8930;3641;3492;1549;4294;1569;156331
Garrigues;16217;1237;78;1252;55;128;60;19027
Garrotxa;49207;1910;777;2757;1283;1104;2656;59694
Gironès;157744;6375;2058;16186;7974;4073;3037;197447
Maresme;405563;11786;4804;20445;3771;8948;6110;461427
Moianès;13068;282;96;326;70;320;226;14388
Montsià;56693;5640;926;3089;329;1294;1037;69008
Noguera;32085;2682;271;3168;112;683;187;39188
Osona;137829;3508;948;15215;1120;2842;3317;164779
Pallars Jussà;11357;680;128;570;124;344;51;13254
Pallars Sobirà;6496;381;34;83;46;148;29;7217
Pla d'Urgell;29696;3001;279;3621;101;528;184;37410
Pla de l'Estany;28055;952;258;2231;594;503;300;32893
Priorat;8187;444;126;402;44;95;13;9311
Ribera d'Ebre;18270;1162;759;1268;83;167;208;21917
Ripollès;22875;432;128;1118;302;537;186;25578
Segarra;16971;2185;1393;2477;112;376;100;23614
Segrià;169756;11953;1835;19266;1306;4785;2572;211473
Selva;141320;10068;5882;9337;2398;4062;3905;176972
Solsonès;12102;615;85;612;61;162;48;13685
Tarragonès;216607;10742;4276;16311;1985;9251;4504;263676
Terra Alta;9852;981;130;116;90;104;146;11419
Urgell;30115;2333;645;3349;178;551;199;37370
Vallès Occidental;830725;18305;5869;33882;11005;26862;11708;938356
Vallès Oriental;378367;6926;2412;14359;2789;8346;3559;416758
Catalunya;6526151;288390;101729;315456;109331;241815;178951;7761823
Metropolità;4158113;163516;59170;132066;77526;178124;143314;4911829
Comarques Gironines;618667;37305;16355;55974;17515;16728;12185;774729
Camp de Tarragona;446406;22393;7973;33291;3692;15782;6820;536357
Terres de l'Ebre;150368;11920;3593;9518;1005;2654;3231;182289
Ponent;294840;23391;4501;33133;1864;7051;3302;368082
Comarques Centrals;357887;9197;2687;28929;3231;7479;5416;414826
Alt Pirineu i Aran;64437;3758;873;1870;733;2619;340;74630
Penedès;435433;16910;6577;20675;3765;11378;4343;499081
Barcelona;4844199;184653;66820;174849;83589;193492;152000;5699602
Girona;631903;37937;16582;56324;17738;17688;12260;790432
Lleida;358281;27145;5231;35276;2439;8880;3631;440883
Tarragona;691768;38655;13096;49007;5565;21755;11060;830906

