Renta familiar disponible bruta (RFBD). Por principales componentes. Comarcas y Aran, y ámbitos
2021 (p)
Unidades: Milers d'euros.
Fuente: Idescat. Estadística Renta familiar disponible bruta. Comarcas y municipios.
(p) Dato provisional.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15918&lang=es
;Recursos. Remuneración asalariados;Recursos. Excedente bruto explotación;Recursos. Prestaciones sociales;Usos. Cotizaciones sociales;Usos. Impuestos
Alt Camp;593173;173872;240921;179399;96508
Alt Empordà;1583386;657018;598935;512052;329330
Alt Penedès;1652972;474524;592603;490413;277769
Alt Urgell;197416;91423;97949;63921;36509
Alta Ribagorça;42647;22887;18521;14839;8501
Anoia;1696788;486069;651790;506399;282287
Aran;125690;59200;45755;43448;27134
Bages;2476425;682107;1129607;733868;462625
Baix Camp;2673489;786124;977987;809751;484351
Baix Ebre;879457;323935;392050;275172;155446
Baix Empordà;1607331;689956;608321;514827;352342
Baix Llobregat;13534309;3890264;4612811;3956360;2571756
Baix Penedès;1312514;462921;571986;406048;235821
Barcelonès;36156593;12537642;14486022;10838689;8616994
Berguedà;454422;177582;291493;143506;82141
Cerdanya;211457;131247;70517;72945;52641
Conca de Barberà;260563;87284;108004;80077;44074
Garraf;2414220;832888;812974;724294;529977
Garrigues;199056;81098;95717;65986;33160
Garrotxa;832725;236445;319085;246963;147934
Gironès;2986923;837731;944858;878255;602061
Maresme;6838929;2446202;2430651;2075576;1442106
Moianès;198306;74843;69532;61459;37111
Montsià;690049;273157;319980;222477;111182
Noguera;425318;158858;180643;138353;73637
Osona;2435174;703086;869606;722990;432348
Pallars Jussà;141136;56847;75459;45973;27550
Pallars Sobirà;76338;44018;31391;27279;14439
Pla d'Urgell;480832;141893;163877;147434;80651
Pla de l'Estany;495932;154105;151314;146441;91903
Priorat;94095;47450;46794;32215;15869
Ribera d'Ebre;248566;86360;126346;77177;48320
Ripollès;314266;121904;170576;98107;63175
Segarra;296926;87902;100229;91516;46945
Segrià;2961208;787493;1047600;886421;583938
Selva;2063512;724494;853605;659519;356642
Solsonès;156428;64507;68777;51273;27598
Tarragonès;3656818;1027691;1347972;1095165;711513
Terra Alta;94694;56645;61732;35248;14771
Urgell;455009;140902;175954;140556;75366
Vallès Occidental;15494579;4403453;5083026;4513779;2954908
Vallès Oriental;6530722;1979605;2177147;1929047;1172642
Catalunya;116040392;37303632;43220118;34755216;23811978
Metropolità;78614563;25282412;28808918;23332109;16770194
Comarques Gironines;9884075;3421654;3646694;3056165;1943388
Camp de Tarragona;7278138;2122420;2721677;2196606;1352315
Terres de l'Ebre;1912766;740098;900109;610074;329719
Ponent;4818349;1398147;1764020;1470266;893697
Comarques Centrals;5661324;1676877;2409755;1694437;1030036
Alt Pirineu i Aran;794684;405622;339591;268406;166775
Penedès;7076493;2256401;2629353;2127154;1325856

