Comarques i Aran ;;
Institut d'Estadística de Catalunya;;
https://www.idescat.cat/codis/?id=50&n=10;;
Nivell;Codi;Nom
Comarca;1;Alt Camp
Municipi;430017;Aiguamúrcia
Municipi;430056;Alcover
Municipi;430108;Alió
Municipi;430347;Bràfim
Municipi;430363;Cabra del Camp
Municipi;430593;Figuerola del Camp
Municipi;430666;Garidells, els
Municipi;430803;Masó, la
Municipi;430831;Milà, el
Municipi;430897;Montferri
Municipi;430918;Mont-ral
Municipi;430982;Nulles
Municipi;431080;Pla de Santa Maria, el
Municipi;431135;Pont d'Armentera, el
Municipi;431191;Puigpelat
Municipi;431205;Querol
Municipi;431248;Riba, la
Municipi;431325;Rodonyà
Municipi;431346;Rourell, el
Municipi;431606;Vallmoll
Municipi;431613;Valls
Municipi;431652;Vilabella
Municipi;431704;Vila-rodona
Comarca;2;Alt Empordà
Municipi;170010;Agullana
Municipi;170031;Albanyà
Municipi;170059;Far d'Empordà, el
Municipi;170118;Armentera, l'
Municipi;170123;Avinyonet de Puigventós
Municipi;170144;Vajol, la
Municipi;170160;Bàscara
Municipi;170268;Borrassà
Municipi;170293;Boadella i les Escaules
Municipi;170307;Cabanes
Municipi;170314;Cabanelles
Municipi;170329;Cadaqués
Municipi;170412;Cantallops
Municipi;170427;Capmany
Municipi;170470;Castelló d'Empúries
Municipi;170519;Cistella
Municipi;170524;Siurana
Municipi;170545;Colera
Municipi;170600;Darnius
Municipi;170622;Escala, l'
Municipi;170643;Espolla
Municipi;170669;Figueres
Municipi;170741;Fortià
Municipi;170754;Garrigàs
Municipi;170773;Garriguella
Municipi;170865;Jonquera, la
Municipi;170887;Lladó
Municipi;170926;Llançà
Municipi;170932;Llers
Municipi;171002;Masarac i Vilarnadal
Municipi;171024;Maçanet de Cabrenys
Municipi;171061;Mollet de Peralada
Municipi;171117;Navata
Municipi;171156;Ordis
Municipi;171194;Palau de Santa Eulàlia
Municipi;171208;Palau-saverdera
Municipi;171289;Pau
Municipi;171292;Pedret i Marzà
Municipi;171328;Peralada
Municipi;171352;Pont de Molins
Municipi;171365;Pontós
Municipi;171387;Portbou
Municipi;171404;Port de la Selva, el
Municipi;171432;Rabós
Municipi;171518;Riumors
Municipi;171523;Roses
Municipi;171582;Sant Climent Sescebes
Municipi;171714;Sant Llorenç de la Muga
Municipi;171753;Sant Miquel de Fluvià
Municipi;171766;Sant Mori
Municipi;171788;Sant Pere Pescador
Municipi;171827;Santa Llogaia d'Àlguema
Municipi;171870;Saus, Camallera i Llampaies
Municipi;171886;Selva de Mar, la
Municipi;171962;Terrades
Municipi;171984;Torroella de Fluvià
Municipi;172109;Ventalló
Municipi;172142;Vilabertran
Municipi;172174;Viladamat
Municipi;172214;Vilafant
Municipi;172229;Vilaür
Municipi;172235;Vilajuïga
Municipi;172253;Vilamacolum
Municipi;172266;Vilamalla
