Població a 1 de gener. Per nacionalitat. Comarques i Aran, àmbits i províncies;;;;;;;;
2021;;;;;;;;
Unitats: Persones.;;;;;;;;
Font: Idescat, a partir del Cens de població i habitatges de l'INE.;;;;;;;;
Nota: A partir de 2021, les dades de la Unió Europea no contenen les del Regne Unit.;;;;;;;;
Institut d'Estadística de Catalunya;;;;;;;;
https://www.idescat.cat/indicadors/?id=aec&n=15236&t=202100;;;;;;;;
comarca;Espanyola;Resta UE;Resta d'Europa;Àfrica;Amèrica del Nord i Central;Amèrica del Sud;Àsia i Oceania;Total
Alt Camp;39062;1310;502;2989;229;702;284;45078
Alt Empordà;108103;11083;2766;13636;2481;4201;1127;143397
Alt Penedès;98205;1811;769;5958;680;1935;840;110198
Alt Urgell;17788;971;314;446;164;634;127;20444
Alta Ribagorça;3455;177;56;147;35;84;6;3960
Anoia;112293;2037;640;5858;677;1637;988;124130
Aran;8637;882;107;261;95;339;40;10361
Bages;157700;3942;1346;11179;1657;3202;1661;180687
Baix Camp;162592;9135;2712;12453;1299;5219;1686;195096
Baix Ebre;65222;4040;1746;4829;471;1017;1642;78967
Baix Empordà;110079;6386;4110;11092;2295;2142;929;137033
Baix Llobregat;742520;20635;6708;22342;7162;21845;11162;832374
Baix Penedès;93315;4235;1453;6145;842;3220;947;110157
Barcelonès;1809716;104414;38990;42740;51659;110144;112259;2269922
Berguedà;36085;936;217;1388;318;785;257;39986
Cerdanya;16469;800;277;380;208;1030;84;19248
Conca de Barberà;17720;771;275;982;71;172;168;20159
Garraf;131585;8478;3457;3548;1472;4175;1492;154207
Garrigues;16275;1282;71;1177;50;127;50;19032
Garrotxa;49000;1824;783;2584;1256;973;2594;59014
Gironès;156412;6511;2122;16231;7993;3996;3013;196278
Maresme;403239;11349;4685;22257;3593;8900;6164;460187
Moianès;12893;286;91;317;72;307;253;14219
Montsià;56592;5746;948;2851;300;1172;914;68523
Noguera;32050;2727;284;3195;95;595;197;39143
Osona;137199;3585;953;15186;1000;2624;3320;163867
Pallars Jussà;11269;657;126;564;122;326;48;13112
Pallars Sobirà;6415;391;32;84;39;131;24;7116
Pla d'Urgell;29699;3010;271;3502;88;451;179;37200
Pla de l'Estany;27919;973;240;2311;568;509;297;32817
Priorat;8172;458;117;382;39;105;10;9283
Ribera d'Ebre;18287;1169;740;1274;65;146;218;21899
Ripollès;22830;418;130;1110;303;486;171;25448
Segarra;16940;2237;1391;2366;93;320;108;23455
Segrià;170037;12213;1707;18662;1256;4369;2459;210703
Selva;140089;10018;5658;9335;2362;3960;3913;175335
Solsonès;12130;618;81;592;55;129;43;13648
Tarragonès;215057;10563;4364;17295;1929;8929;4731;262868
Terra Alta;9941;979;120;93;81;72;119;11405
Urgell;30174;2331;655;3270;156;466;187;37239
Vallès Occidental;829649;18188;5903;34127;10991;26858;11670;937386
Vallès Oriental;376778;6808;2514;14896;2722;8200;3397;415315
Catalunya;6519592;286384;100431;320034;107043;236634;179778;7749896
Metropolità;4165695;161456;58823;136422;76142;176047;144715;4919300
Comarques Gironines;614432;37213;15809;56299;17258;16267;12044;769322
Camp de Tarragona;442603;22237;7970;34101;3567;15127;6879;532484
Terres de l'Ebre;150042;11934;3554;9047;917;2407;2893;180794
Ponent;295175;23800;4379;32172;1738;6328;3180;366772
Comarques Centrals;356754;9494;2710;29151;3094;6981;5489;413673
Alt Pirineu i Aran;64033;3878;912;1882;663;2544;329;74241
Penedès;430858;16372;6274;20960;3664;10933;4249;493310
Barcelona;4846649;197054;81450;180174;95422;236690;159917;5797356
Girona;637190;38043;22467;57667;19436;21207;12662;808672
Lleida;358987;27146;6448;36775;2753;11372;3862;447343
Tarragona;697156;39795;16505;50438;6352;26828;11518;848592
